,Coefficient
ESRRA,0.0027094887067079343
ZIC2,5.1417415986508483e-05
ARID5B,0.000910393495999634
PDX1,0.0201227778636131
TFEB,0.0015763516457732358
MAFK,0.013631889454821602
HOXB3,0.016916792647815756
MAFB,-0.06378127865587147
TBX5,0.0
REL,0.10538547016753035
MEIS1,-0.08946040326158139
PRDM1,-0.006656532040878965
HOXA13,0.0659922105098893
FOXC2,-0.07684756292482846
SOX7,0.0
ZEB1,0.0
TBX20,-0.0004255729426613072
FOXA2,0.0
IRF2,0.008737575245583315
MNT,0.0037261826576668404
HNF4A,0.12436361643042877
NR3C1,-0.030395247383094695
NFE2,-4.7049871311376995e-05
KLF7,0.0
RUNX1,-0.0009078239365905215
HOXA4,0.0012877488628199418
MNX1,0.122349380875156
TCF21,-0.001278609492615658
NFIL3,0.12297753946245439
BCL6,0.0
TCF7L1,0.0
HOXD11,0.0013026755555252422
HMGA2,0.0
SMAD1,0.0
NR2F6,0.018046219951371904
KLF12,0.0011370713943118828
FOXD1,-0.010643150511083636
