,out_degree_aligned
SNAI2,20
BCL6,14
SOX2,12
ZEB1,11
GLI3,10
TBX5,10
HOXD11,9
IRF6,9
FOXF2,9
TCF21,9
PRRX1,8
NFIL3,8
FOXD3,8
NFE2L2,8
ARID5B,7
EBF1,7
NFATC4,7
MSC,6
NR3C1,6
RUNX3,6
KLF7,6
ARID5A,6
RUNX1,6
SOX15,6
FOXC2,6
RXRA,6
RARB,6
PRDM1,6
DLX2,5
DLX5,5
KLF12,5
ZBTB4,5
TCF7L1,5
MEIS1,5
STAT1,5
HOXA1,5
MEOX2,5
GTF2A1,5
BACH1,5
BHLHE22,5
TFAP2C,5
MAF,5
HIC1,5
MNT,5
FOXD1,4
PAX9,4
GLI2,4
NFE2L1,4
TP63,4
ZNF423,4
MEF2A,4
HOXD10,4
LEF1,4
LHX2,4
HES7,4
TEAD1,4
GLIS1,4
BACH2,3
CEBPD,3
BBX,3
GLIS2,3
HOXA7,3
RUNX2,3
OSR1,3
SMAD1,3
KLF11,3
TFEC,3
RBPJ,3
IRX4,3
TEAD3,3
ZIC2,3
IKZF1,3
PKNOX2,3
REL,3
HOXD9,3
HIF1A,2
EOMES,2
DMRT2,2
TBX2,2
TBX21,2
PAX3,2
MAFB,2
HOXA4,2
ESR1,2
IRF9,2
GATA3,2
GSC,2
POU2AF1,2
TNFRSF4,2
HMGA2,2
TEF,1
SP3,1
TFAP2E,1
GBX2,1
NKX1-2,1
KLF14,1
HES5,1
HOXC5,1
TBX18,1
ESR2,1
ID4,1
POU6F1,1
HLF,1
IRF2,1
TBX20,1
FOXP3,1
ZNF410,1
EPAS1,1
GLI1,1
FOXJ2,1
CTF1,1
MEOX1,1
EN1,1
NKX6-1,1
PITX2,1
PGR,1
DLX3,1
SPI1,1
FOXG1,1
IRX3,1
TBX15,0
SHOX2,0
DMRT3,0
PAX1,0
HOXD8,0
MEIS3,0
LHX5,0
AR,0
EN2,0
WT1,0
SIX2,0
C10orf90,0
PRRX2,0
TBX1,0
LHX1,0
CREM,0
IRF5,0
GRHL1,0
SOX7,0
