,out_degree_aligned
TCF7L2,15
HNF4A,14
GATA6,11
HNF1A,10
HOXA13,8
HNF1B,8
MYB,7
ONECUT2,7
HOXB5,7
FOXA1,6
NR1I2,5
NR2C2,5
MSX2,5
ZNF524,5
HOXA11,5
ZNF784,5
MECOM,5
ESRRA,5
MZF1,4
PPARG,4
HOXB3,4
ELF3,4
KLF16,4
PDX1,4
CDX2,3
HOXB6,3
PROX1,3
NR6A1,3
ARID3A,3
FOXQ1,3
HOXA6,3
ZBTB7B,3
TRAF4,3
CDX1,3
HOXB8,3
HOXA10,2
PPARA,2
FOXO4,2
MAFK,2
IRF8,2
MNX1,2
NR5A2,2
NR2F6,2
TFEB,2
SPDEF,2
FOXA3,2
EGR4,1
SOX14,1
THRA,1
ARX,1
EHF,1
CEBPG,1
IRF3,1
HOXB9,1
FOXA2,1
STAT6,1
SOX30,1
NFE2,1
GC,1
MLXIPL,1
FOXD2,1
EMX1,1
DRGX,0
NFIB,0
EVX1,0
HIC2,0
HOXC10,0
FOXJ1,0
BARX2,0
ZBTB18,0
TCF7,0
ZBTB3,0
ONECUT3,0
ASCL2,0
POU5F1,0
ZNF35,0
CREB3,0
INSM1,0
