,Alt_ID,in_degree,out_degree,out/in
HNF4A,HNF4A,2.0,15.0,7.5
HNF1B,HNF1B,2.0,8.0,4.0
HOXA6,HOXA6,1.0,3.0,3.0
PROX1,PROX1,1.0,3.0,3.0
HOXA13,HOXA13,3.0,8.0,2.6666666666666665
ONECUT2,ONECUT2,3.0,7.0,2.3333333333333335
ZNF524,ZNF524,3.0,5.0,1.6666666666666667
HOXA11,HOXA11,3.0,5.0,1.6666666666666667
KLF16,KLF16,3.0,5.0,1.6666666666666667
MECOM,MECOM,3.0,5.0,1.6666666666666667
NFE2,NFE2,2.0,2.0,1.0
FOXA3,FOXA3,2.0,2.0,1.0
IRF8,IRF8,3.0,3.0,1.0
ZBTB3,ZBTB3,2.0,1.0,0.5
CEBPG,CEBPG,2.0,1.0,0.5
ZNF35,ZNF35,2.0,0.0,0.0
BARX2,BARX2,2.0,0.0,0.0
