,Source,Edge,Target
0,HNF4A,0.8646499327459085,HNF1A
1,GLIS1,0.2218313446418253,RUNX2
2,PRRX1,0.321182763193077,RUNX2
3,RUNX2,-0.1017531850289029,ASCL2
4,MAFK,-0.0931447110551189,ASCL2
5,CDX2,0.1309131094393101,ASCL2
6,PROX1,0.1404624868479574,ASCL2
7,MSX2,0.2063566268505398,ASCL2
8,NFIL3,0.2180077071647291,GLIS1
9,HIF1A,0.1763761081603457,GLIS1
10,ARID5B,0.0773046874231632,FOXP3
11,MEIS1,0.0579189072166607,FOXP3
12,PRDM1,0.1509451541119664,FOXP3
13,ZEB1,0.3216406405978007,FOXP3
14,MSC,0.0697336354468229,FOXP3
15,IRF6,-0.0848169549406666,FOXP3
16,ARID5B,0.1245265541735927,ARID5A
17,IKZF1,0.2351669272630076,ARID5A
18,ZEB1,0.1901477136436112,ARID5A
19,RUNX3,0.0729301467400254,ARID5A
20,MEOX2,0.1143188322050522,ARID5A
21,NFIL3,0.0615351767225042,ARID5A
22,MEOX1,0.1639258687632963,POU2AF1
23,IKZF1,0.44094267249272,POU2AF1
24,TEAD1,-0.0965479767591688,POU2AF1
25,GLIS2,0.2975465103349117,NFATC4
26,ZNF423,0.4076726626178433,NFATC4
27,CEBPD,0.2286660707290854,SNAI2
28,IRF6,0.4106212326998503,SNAI2
29,ZNF524,-0.2200476063176787,SNAI2
30,REL,0.1818693340966146,SMAD1
31,NFE2L1,0.2042261029815643,SMAD1
32,LEF1,0.2496792445913958,SMAD1
33,IRF6,0.1759523217163527,SMAD1
34,PKNOX2,-0.0015152169008742,GTF2A1
35,ZIC2,0.0208765668602832,GTF2A1
36,HOXB5,0.0002129927832504,GTF2A1
37,MSC,-0.0316106637931538,GTF2A1
38,ZNF784,-0.004395059038668,GTF2A1
39,FOXF2,-0.0001935687880134,GTF2A1
40,HOXA1,0.0132610719789517,GTF2A1
41,KLF7,0.0658850131709058,GTF2A1
42,IRF5,-0.0401551893151319,GTF2A1
43,CDX1,-0.0638466541475552,GTF2A1
44,GLI3,0.0358807829173316,GTF2A1
46,TBX2,-0.0006660084206225,GTF2A1
48,PRRX1,0.2654892555363379,GTF2A1
49,FOXD1,0.0003374688551599,GTF2A1
50,TFAP2C,0.2804031769273959,RUNX3
51,TNFRSF4,0.224503336946979,RUNX3
52,KLF12,0.2605857720851089,RUNX3
53,FOXA1,0.3081153036073072,ELF3
54,PDX1,0.3107552442621945,ELF3
55,EHF,0.2580447752988949,ELF3
56,MYB,-0.1581172493282266,MAF
57,NR3C1,0.1510835496324694,MAF
58,PRDM1,0.1341067061493574,MAF
59,SNAI2,0.4185878088211541,MAF
60,FOXF2,0.1405842800572506,TBX2
61,EBF1,0.3730528821434052,TBX2
62,MZF1,0.1175092554493063,TBX2
63,STAT1,-0.0857326619265534,TBX2
64,HNF1A,0.6831991794381576,NR5A2
65,MEOX2,0.0973472062479616,NR5A2
66,HES7,0.1571386622010629,SP3
67,RUNX1,0.3251628435242918,SP3
68,ESRRA,-0.1716446993908441,TBX5
69,FOXF2,0.2414050469499432,TBX5
70,LEF1,0.1470180738115989,TBX5
71,OSR1,0.1349659151627122,TBX5
72,ZNF423,0.2447341532153039,TBX5
73,NFATC4,0.1792237582508604,ID4
74,OSR1,0.150968209304922,ID4
75,MEF2A,0.3290281355852278,NFE2L1
76,HOXD10,0.3046244293506432,NFE2L1
77,HNF1B,0.1194352368633321,SPDEF
78,FOXA3,0.4406390827880855,SPDEF
79,FOXA1,0.1189806762325307,SPDEF
80,FOXD3,0.3464472186531099,LHX2
81,SNAI2,0.3758046125173442,LHX2
82,ZEB1,0.2437656462278148,OSR1
83,SNAI2,0.4817756205741774,LHX5
84,ONECUT2,0.2138020304118207,PDX1
85,HNF1B,0.4467712675421953,PDX1
86,GLI3,-0.2109984960278584,PDX1
87,ARID5B,0.0472387855051114,MEOX1
88,TFEB,0.0007727332720907,MEOX1
89,FOXF2,0.1582838279013412,MEOX1
90,BACH2,0.0166485406832721,MEOX1
92,ZBTB3,0.0111970043211481,MEOX1
93,DLX2,-0.0252622201231878,MEOX1
95,NFATC4,0.0198941552717515,MEOX1
98,TCF7L2,-0.0015381087457939,MEOX1
99,GLI2,0.0064178361902058,MEOX1
101,NFIL3,0.0003270881095226,MEOX1
102,RARB,0.0024253998488432,MEOX1
103,ZBTB18,0.0320583492824207,MEOX1
104,IRF6,-0.0001792096404774,MEOX1
105,BCL6,0.0025738322894266,MEOX1
106,FOXA1,0.0014269941290013,MEOX1
107,SOX2,0.0033733697946443,MEOX1
108,MEOX2,0.3100416090538412,MEOX1
109,EVX1,0.0133228828622394,MEOX1
110,HMGA2,-0.014711813467508,MEOX1
111,NFE2L2,0.002727485068287,MEOX1
114,DLX5,0.2948630712777605,EN1
115,HOXD11,0.2949803986216966,EN1
116,SNAI2,0.2040476030066859,EN1
117,HES5,-0.1561947515240052,RBPJ
