,Alt_ID,in_degree,out_degree,out/in
HNF1A,HNF1A,1.0,10.0,10.0
NFE2L2,NFE2L2,1.0,9.0,9.0
HNF4A,HNF4A,2.0,15.0,7.5
DLX2,DLX2,1.0,7.0,7.0
FOXC2,FOXC2,1.0,7.0,7.0
SNAI2,SNAI2,3.0,20.0,6.666666666666667
ZNF784,ZNF784,1.0,6.0,6.0
MSX2,MSX2,1.0,6.0,6.0
NFIL3,NFIL3,2.0,11.0,5.5
HOXD11,HOXD11,2.0,10.0,5.0
FOXD1,FOXD1,1.0,5.0,5.0
HES7,HES7,1.0,5.0,5.0
GLI3,GLI3,2.0,10.0,5.0
RARB,RARB,2.0,10.0,5.0
FOXF2,FOXF2,2.0,10.0,5.0
HOXA1,HOXA1,1.0,5.0,5.0
PAX9,PAX9,1.0,5.0,5.0
SOX2,SOX2,3.0,13.0,4.333333333333333
FOXD3,FOXD3,2.0,8.0,4.0
NFATC4,NFATC4,2.0,8.0,4.0
TNFRSF4,TNFRSF4,1.0,4.0,4.0
HNF1B,HNF1B,2.0,8.0,4.0
TFEB,TFEB,1.0,4.0,4.0
ARID5B,ARID5B,2.0,8.0,4.0
GATA6,GATA6,3.0,11.0,3.6666666666666665
MSC,MSC,2.0,7.0,3.5
ZEB1,ZEB1,4.0,13.0,3.25
CDX2,CDX2,1.0,3.0,3.0
HOXD9,HOXD9,1.0,3.0,3.0
PROX1,PROX1,1.0,3.0,3.0
PRDM1,PRDM1,3.0,9.0,3.0
OSR1,OSR1,1.0,3.0,3.0
HOXA6,HOXA6,1.0,3.0,3.0
NR3C1,NR3C1,2.0,6.0,3.0
TCF21,TCF21,3.0,9.0,3.0
TCF7L2,TCF7L2,5.0,15.0,3.0
IRF6,IRF6,4.0,11.0,2.75
HOXA13,HOXA13,3.0,8.0,2.6666666666666665
BACH1,BACH1,2.0,5.0,2.5
TFAP2C,TFAP2C,2.0,5.0,2.5
ZBTB4,ZBTB4,2.0,5.0,2.5
PKNOX2,PKNOX2,2.0,5.0,2.5
HMGA2,HMGA2,2.0,5.0,2.5
NR1I2,NR1I2,2.0,5.0,2.5
KLF12,KLF12,3.0,7.0,2.3333333333333335
BCL6,BCL6,6.0,14.0,2.3333333333333335
FOXA1,FOXA1,3.0,7.0,2.3333333333333335
ESRRA,ESRRA,3.0,7.0,2.3333333333333335
RUNX3,RUNX3,3.0,7.0,2.3333333333333335
ONECUT2,ONECUT2,3.0,7.0,2.3333333333333335
TBX5,TBX5,5.0,11.0,2.2
FOXQ1,FOXQ1,2.0,4.0,2.0
SOX14,SOX14,1.0,2.0,2.0
DLX5,DLX5,3.0,6.0,2.0
ZIC2,ZIC2,2.0,4.0,2.0
GLIS1,GLIS1,2.0,4.0,2.0
PRRX1,PRRX1,4.0,8.0,2.0
RBPJ,RBPJ,3.0,6.0,2.0
