,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
5993,9,HOXA13,5993,-1.0,6.603696641516038,0.6782602330240202,3.822184777573873e-26,-6.556083727470606,9.17280772131414,0.6666666666666666,0.08,25,3
6003,9,HOXA13,6003,-1.0,6.603696641516038,0.6249237275933223,2.5267100126905097e-21,-5.938145983413278,1.973173404027615,0.6666666666666666,0.08,25,3
296,9,HNF1B,296,-1.0,6.93469915681749,-0.2947404012128953,4.8779454413211034e-05,6.491290420675876,1.41227285592378,0.7777777777777778,0.28,25,9
289,9,HNF1B,289,-1.0,6.93469915681749,-0.1846388578421646,0.012103699507460505,8.143785216775534,1.3834234705126054,0.7777777777777778,0.28,25,9
290,9,HNF1B,290,-1.0,6.93469915681749,-0.7193689334691651,1.2915793341779333e-30,6.773765229554583,9.774990093942373,0.7777777777777778,0.28,25,9
285,9,HNF1B,285,-1.0,6.93469915681749,0.5000568307408083,4.932354779984292e-13,-6.959687136495725,7.09795149312083,0.7777777777777778,0.28,25,9
302,9,HNF1B,302,-1.0,6.93469915681749,-0.21278913652647063,0.003731278204576309,4.389339472677386,4.659908139942477,0.7777777777777778,0.28,25,9
295,9,HNF1B,295,-1.0,6.93469915681749,-0.511343912541414,1.1954340301728377e-13,7.225546872271773,2.4445482217450145,0.7777777777777778,0.28,25,9
280,9,HNF1B,280,-1.0,6.93469915681749,0.826969942247442,2.1845029743745798e-47,-6.578550826699005,3.487026528722131,0.7777777777777778,0.28,25,9
4800,9,FOXC2,4800,1.0,1.927007858068811,-0.4209570225963668,2.6808385264975972e-09,-6.499428621406503,8.67367183101981,0.6666666666666666,0.08,25,3
4810,9,FOXC2,4810,1.0,1.927007858068811,-0.45434493652597713,9.28038019733492e-11,-4.848702727372796,1.3087427195229198,0.6666666666666666,0.08,25,3
8138,9,HOXA2,8138,1.0,5.236646349971936,0.22681705226252624,0.001960288923966758,8.08066262714429,1.3676872651109366,1.0,0.1,10,1
1235,9,NR1I2,1235,-1.0,6.647042578043206,-0.3417469374590944,2.0561753055285066e-06,7.2273854455297,1.4402566791765348,1.0,0.09090909090909091,11,1
7173,9,CEBPZ,7173,1.0,4.634473218237867,0.5321010961067981,7.66510722235041e-15,5.971647247239204,1.58652471508865,1.0,0.04,25,1
952,9,HNF1A,952,-1.0,8.215989454443774,0.8286374756795285,9.813593983471337e-48,-6.962869779941041,4.822036740620436,0.6,0.12,25,5
972,9,HNF1A,972,-1.0,8.215989454443774,0.6376143784554332,2.1937443771162915e-22,-3.8274415253397063,1.6831927101247417,0.6,0.12,25,5
963,9,HNF1A,963,-1.0,8.215989454443774,0.6586426768892912,2.9456218619541095e-24,-7.295672509976906,4.457574444047249,0.6,0.12,25,5
10429,9,SF1,10429,1.0,3.352484473957009,0.3708154341083778,2.1994525581232027e-07,20.059939257856776,14.206926736410667,0.6666666666666666,0.11764705882352941,17,3
10420,9,SF1,10420,1.0,3.352484473957009,0.4190672497158598,3.2084322661840535e-09,7.1868677094523745,1.510817329632867,0.6666666666666666,0.11764705882352941,17,3
1655,9,SPDEF,1655,-1.0,1.9228967456884696,0.3742944655275375,1.6579587465429894e-07,-7.355433613439455,10.794936629156272,1.0,0.16,25,4
1663,9,SPDEF,1663,-1.0,1.9228967456884696,-0.2542158694688987,0.0004972424808452286,7.981060538646159,1.8168880442090236,1.0,0.16,25,4
1651,9,SPDEF,1651,-1.0,1.9228967456884696,0.7186954595365144,1.5515537511852955e-30,-7.725134977700089,11.436433166145147,1.0,0.16,25,4
1666,9,SPDEF,1666,-1.0,1.9228967456884696,-0.38209242742386007,8.693481721327452e-08,20.68552912230998,17.672998536638932,1.0,0.16,25,4
6671,9,NR3C1,6671,1.0,5.565584322238505,-0.6187339870162393,7.99472225599963e-21,-6.5096764689838835,7.389497827627244,1.0,0.16,25,4
6684,9,NR3C1,6684,1.0,5.565584322238505,0.7013657991562482,1.4562878762499275e-28,9.954067454973613,18.175452706019005,1.0,0.16,25,4
6683,9,NR3C1,6683,1.0,5.565584322238505,-0.5242299319989981,2.2207311194138018e-14,-9.91601708238013,4.57590360774563,1.0,0.16,25,4
6693,9,NR3C1,6693,1.0,5.565584322238505,0.6668971894203541,4.9280733347604175e-25,8.735001171300263,14.806063448265093,1.0,0.16,25,4
5878,9,SHOX2,5878,1.0,2.4972995810689445,-0.39613184103561866,2.6039473736977703e-08,-8.098330338194591,2.4571356415048267,1.0,0.1875,16,3
5870,9,SHOX2,5870,1.0,2.4972995810689445,0.44214328369709693,3.3101319672469535e-10,8.078826481099226,5.9739801930255405,1.0,0.1875,16,3
5869,9,SHOX2,5869,1.0,2.4972995810689445,-0.46945926682206074,1.7884064037116735e-11,-4.9853992401508345,3.679627765121126,1.0,0.1875,16,3
5155,9,LHX5,5155,1.0,5.089338894928517,-0.5232046607097371,2.5456383021788752e-14,-7.51418463149757,2.8966829858217804,1.0,0.08,25,2
5151,9,LHX5,5151,1.0,5.089338894928517,-0.6896104556100844,2.644007395426637e-27,-7.552634314989347,11.692334201844774,1.0,0.08,25,2
9937,9,E2F3,9937,1.0,2.6808660976170504,0.2596713605979465,0.00037140930507688753,12.047236773264473,7.61281282124371,1.0,0.2222222222222222,9,2
9936,9,E2F3,9936,1.0,2.6808660976170504,0.39134287530581185,3.953446497278139e-08,7.43371887566884,1.566776123624126,1.0,0.2222222222222222,9,2
8507,9,E2F2,8507,1.0,3.817352796706416,0.28701816570669025,7.808274246814563e-05,8.077357245714373,1.8592822868713912,1.0,0.14285714285714285,7,1
9012,9,HOXD12,9012,1.0,1.983503385305946,0.47065076871623784,1.5652747418955236e-11,14.955142673741719,5.0085251343443575,1.0,0.16,25,4
9010,9,HOXD12,9010,1.0,1.983503385305946,0.42312135741826123,2.1793084046430002e-09,10.356665310394408,15.513609398057309,1.0,0.16,25,4
9016,9,HOXD12,9016,1.0,1.983503385305946,0.35817746879166285,5.973498263686985e-07,7.31759907843635,2.0338390911503508,1.0,0.16,25,4
9030,9,HOXD12,9030,1.0,1.983503385305946,0.3718402866079475,2.0244494306411308e-07,15.158532821348997,2.279701555442473,1.0,0.16,25,4
10176,9,PATZ1,10176,1.0,2.259855030345392,0.08523241702144053,0.24999380416566075,5.266320394307417,6.219311618711602,1.0,0.14285714285714285,7,1
6379,9,POLR3A,6379,1.0,5.340388538001498,0.3292481362331683,5.028506205057574e-06,5.782513429831207,1.387768078341707,0.75,0.12,25,4
6384,9,POLR3A,6384,1.0,5.340388538001498,0.17392267534819209,0.018218436188614975,5.902072015947738,2.3264220470905146,0.75,0.12,25,4
6385,9,POLR3A,6385,1.0,5.340388538001498,0.3882683824237637,5.15095124014908e-08,4.842132610244964,3.2100476556898627,0.75,0.12,25,4
8953,9,ZNF384,8953,1.0,1.3224357264823956,0.31800003852747966,1.0880212461781301e-05,14.145016191748802,20.03021751594283,1.0,0.2857142857142857,21,6
8935,9,ZNF384,8935,1.0,1.3224357264823956,0.5260542081639729,1.7397495693938544e-14,9.412368726833925,1.8083373521945423,1.0,0.2857142857142857,21,6
8941,9,ZNF384,8941,1.0,1.3224357264823956,0.33954653156363773,2.4136187958587925e-06,8.871639796374799,4.056670319431423,1.0,0.2857142857142857,21,6
8938,9,ZNF384,8938,1.0,1.3224357264823956,0.5991215734622719,2.612421835119973e-19,16.364055268448258,3.423292554271107,1.0,0.2857142857142857,21,6
8937,9,ZNF384,8937,1.0,1.3224357264823956,0.4278322513532777,1.3813951077713144e-09,7.1899543044841545,1.4723569577507887,1.0,0.2857142857142857,21,6
