,Source,Edge,Target
0,ZBTB7A,0.3780607638573283,GMEB2
1,NFAT5,0.1005776147025359,RARG
2,GMEB2,0.1499032024907916,RARG
3,GLIS3,-0.0363814054878972,RARG
4,FOXO3,-0.0422651451447065,RARG
5,GMEB1,0.0558919533578429,RARG
6,NR3C1,-0.0411974801406499,RARG
7,HOXA3,0.0262998886311724,RARG
8,RREB1,0.2294487152070287,RARG
9,ZBTB7A,0.0265464250182488,RARG
10,NFAT5,-0.0037787716490805,EVX2
11,NFAT5,0.0487986929516376,LHX4
12,MNT,0.2347075692070577,LHX4
14,TEAD1,0.0090715533994536,LHX4
15,MEIS2,0.0866730643141556,LHX4
16,ELK4,0.0026983635489827,LHX4
17,NRF1,0.3052384437151039,LHX4
18,SP3,0.4208758519872493,ZFX
19,ARNT,0.2154932799242747,ZFX
20,TFE3,-0.026765090577933,SP3
21,RREB1,0.3058999542495295,SP3
22,RFX5,0.2807053464252179,SP3
23,ZBTB7A,-0.0963587911542163,SP3
24,RARG,0.0451966137563953,SP3
25,ZFX,0.2795869156330967,YY2
26,RREB1,0.2626878461572255,YY2
27,FOXO3,0.2721534935747225,ZNF282
28,NRF1,0.2975116717967191,ZNF282
29,ZFX,0.0519170178212432,E4F1
30,GMEB1,0.1973903040671335,NRF1
31,LHX4,0.3586522375612567,NRF1
32,GLIS3,0.1337874349122062,BBX
33,TEAD1,0.2190593855426315,BBX
34,ETV2,-0.0847044329407405,BBX
35,SP1,0.1642597597566811,BBX
36,NR2C2,0.1374887432514504,BBX
37,MNT,0.5603953395764176,MAFG
38,TFE3,0.2209033567972289,MAFG
39,TEAD1,0.2221819835839334,FOXO3
40,PARP1,0.1259657430368868,FOXO3
41,YY1,0.1651760774840502,FOXO3
42,NR2C2,0.1278367625796796,FOXO3
43,ZBTB4,0.1294820535087706,FOXO3
44,NR2C2,0.0865207784755533,NR4A1
45,RFX5,0.3030936812834827,POU3F4
46,SP1,0.2377212036652664,RREB1
47,ELK4,0.330226113878044,RREB1
48,ZBTB7A,0.2336248811267647,RREB1
49,NR2C2,0.155510525233413,NANOG
50,GLIS3,0.0567754424606124,ELK4
51,ZBTB4,0.3369690751004777,ELK4
52,EVX2,0.0264162579602466,GMEB1
53,BBX,0.1780982438578534,SP1
54,E2F7,0.1847395477142615,SP1
55,ELK4,0.5600062930357627,SP1
56,FOXO3,0.0114467330534134,ELF1
57,SP3,0.0934289293487082,ELF1
58,NR3C1,0.2931556476961182,ELF1
59,LHX4,-0.1079929111462648,ELF1
60,TBX18,0.1203686436648975,ELF1
61,NANOG,-0.0584113480091652,ELF1
62,ELK4,0.0760328118792317,ELF1
63,SP3,0.2556980663952323,YY1
64,NRF1,0.1776298097890845,YY1
65,PARP1,0.1971298135619668,YY1
66,MLX,-0.1792452001822947,YY1
67,RREB1,0.4229422706598038,MNT
68,NR2F1,0.2741456693957251,GLIS3
69,SP1,0.2149660325162112,GLIS3
70,MNT,0.2806596652567785,NR2C2
71,TEAD1,0.408367749945657,NR2C2
72,RREB1,0.1484536635749864,IRF9
73,NFAT5,0.1748041735178434,TEAD1
74,FOXO3,0.2338138969326385,TEAD1
75,ZFX,0.1795334369715465,TEAD1
76,ZBTB4,0.2515313710960675,TEAD1
77,BBX,0.5031496867887207,AR
78,RREB1,0.4388877445251895,TFE3
79,TEAD1,0.227396748672632,NR2F1
80,MNT,0.1141981477334332,NR2F1
81,PARP1,0.0818110975616747,NR2F1
82,TBX18,-0.206908838195241,NR2F1
83,NFAT5,-0.0783451922972089,TFEB
84,MNT,0.1423785809804739,TFEB
85,MAFG,0.1112895833946335,TFEB
86,IRF9,0.2035871749058335,TFEB
87,ELK4,0.0615999744849669,E2F7
88,ZFX,0.2020585124736668,E2F7
89,NR2C2,0.1739985234903429,E2F7
90,GLIS3,0.1857136562360579,ZBTB4
91,FOXO3,0.2294417270310838,ZBTB4
92,GMEB1,-0.0642760535361207,ZBTB4
93,TFEB,0.0764035875190005,ZBTB4
94,NR2C2,0.2590234246880085,ZBTB4
95,PARP1,0.0625468085582762,HOXA3
96,SP3,0.0598124527725057,HOXA3
97,FOXO3,0.2932986388357889,PARP1
98,TEAD1,0.0888603072285276,PARP1
99,NR3C1,0.0007314086708841,PARP1
100,HOXA3,0.0272535302365239,PARP1
101,TBX18,0.060991069398819,PARP1
102,MAFG,0.007227908023504,PARP1
103,E2F7,0.2380321316692779,PARP1
105,IRF9,0.006466130738676,ARNT
106,E4F1,0.0975956146471102,RFX5
107,ELK4,0.3249744110358082,RFX5
108,GLIS3,0.0288022083186106,RFX5
110,GLIS3,2.5196829443231943e-05,NFAT5
111,SP3,0.0762807507761179,NFAT5
113,ARNT,0.365632459471563,NFAT5
114,MLX,-0.3238956103459414,NFAT5
115,E2F7,0.0273771686293579,NFAT5
116,ELF1,0.1262649767732468,TBX18
117,RREB1,-0.2429442954712427,MLX
118,TEAD1,0.1911688713899001,NR3C1
119,BBX,0.2725676227860952,NR3C1
120,ELF1,0.1946720393044074,NR3C1
121,POU3F4,0.1275466482652265,NR3C1
122,ZBTB4,-0.2654973616320722,ETV2
123,TEAD1,0.1664201055719064,MEIS2
