,Alt_ID,in_degree,out_degree,out/in
MNT,MNT,1.0,5.0,5.0
GLIS3,GLIS3,2.0,6.0,3.0
GMEB1,GMEB1,1.0,3.0,3.0
TBX18,TBX18,1.0,3.0,3.0
ELK4,ELK4,2.0,6.0,3.0
NR2C2,NR2C2,2.0,6.0,3.0
RREB1,RREB1,3.0,7.0,2.3333333333333335
MLX,MLX,1.0,2.0,2.0
ZFX,ZFX,2.0,4.0,2.0
ARNT,ARNT,1.0,2.0,2.0
TFE3,TFE3,1.0,2.0,2.0
TEAD1,TEAD1,4.0,8.0,2.0
IRF9,IRF9,1.0,2.0,2.0
NRF1,NRF1,2.0,3.0,1.5
FOXO3,FOXO3,5.0,6.0,1.2
GMEB2,GMEB2,1.0,1.0,1.0
HOXA3,HOXA3,2.0,2.0,1.0
NFAT5,NFAT5,5.0,5.0,1.0
ETV2,ETV2,1.0,1.0,1.0
E2F7,E2F7,3.0,3.0,1.0
MEIS2,MEIS2,1.0,1.0,1.0
SP1,SP1,3.0,3.0,1.0
NANOG,NANOG,1.0,1.0,1.0
POU3F4,POU3F4,1.0,1.0,1.0
EVX2,EVX2,1.0,1.0,1.0
MAFG,MAFG,2.0,2.0,1.0
SP3,SP3,5.0,5.0,1.0
E4F1,E4F1,1.0,1.0,1.0
ZBTB4,ZBTB4,5.0,4.0,0.8
NR3C1,NR3C1,4.0,3.0,0.75
RFX5,RFX5,3.0,2.0,0.6666666666666666
BBX,BBX,5.0,3.0,0.6
PARP1,PARP1,7.0,4.0,0.5714285714285714
LHX4,LHX4,6.0,2.0,0.3333333333333333
ELF1,ELF1,7.0,2.0,0.2857142857142857
YY1,YY1,4.0,1.0,0.25
TFEB,TFEB,4.0,1.0,0.25
NR2F1,NR2F1,4.0,1.0,0.25
RARG,RARG,9.0,1.0,0.1111111111111111
ZNF282,ZNF282,2.0,0.0,0.0
YY2,YY2,2.0,0.0,0.0
AR,AR,1.0,0.0,0.0
NR4A1,NR4A1,1.0,0.0,0.0
