,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
5621,2,NFAT5,5621,1.0,9.529525674025466,0.6257481130495723,1.915637644204947e-18,7.726073643076445,7.73041721059449,1.0,0.5789473684210527,19,11
5636,2,NFAT5,5636,1.0,9.529525674025466,0.4946663028175565,4.55088363356959e-11,2.5719061806384667,1.5424819036711905,1.0,0.5789473684210527,19,11
5625,2,NFAT5,5625,1.0,9.529525674025466,0.43205117868505755,1.6031227346272127e-08,4.54498791951437,3.0726222622013823,1.0,0.5789473684210527,19,11
5624,2,NFAT5,5624,1.0,9.529525674025466,0.37566903788785594,1.2453362740270136e-06,3.542986160539783,2.6039232982622083,1.0,0.5789473684210527,19,11
5635,2,NFAT5,5635,1.0,9.529525674025466,-0.43582818052704375,1.1627534814983234e-08,-5.620718955446755,4.886935477220773,1.0,0.5789473684210527,19,11
5631,2,NFAT5,5631,1.0,9.529525674025466,0.32024510199145373,4.335983651012453e-05,2.663784788568168,1.6063445917320143,1.0,0.5789473684210527,19,11
5633,2,NFAT5,5633,1.0,9.529525674025466,-0.3526535143482656,5.903386991949762e-06,-2.704649114938173,1.6349434047700602,1.0,0.5789473684210527,19,11
5629,2,NFAT5,5629,1.0,9.529525674025466,0.5206649755952344,2.7510781832885462e-12,4.112884726052364,3.057379393325855,1.0,0.5789473684210527,19,11
5632,2,NFAT5,5632,1.0,9.529525674025466,0.5633159471343782,1.5891004091589567e-14,3.5395567906802117,2.319825825871897,1.0,0.5789473684210527,19,11
5630,2,NFAT5,5630,1.0,9.529525674025466,-0.26264427340779833,0.000890026068667652,-3.520611241914491,2.329189503351539,1.0,0.5789473684210527,19,11
5637,2,NFAT5,5637,1.0,9.529525674025466,0.48694174486321545,1.0018577697758663e-10,4.671856186221883,3.6130785543524,1.0,0.5789473684210527,19,11
3211,2,TCF7L2,3211,1.0,1.3402760356531884,0.4460862446430454,4.763935036846011e-09,6.359231813990353,5.533821248903948,0.9166666666666666,0.44,25,12
3208,2,TCF7L2,3208,1.0,1.3402760356531884,0.2120268669490632,0.0076796468879835895,2.278699399441443,1.3433999246787476,0.9166666666666666,0.44,25,12
3207,2,TCF7L2,3207,1.0,1.3402760356531884,0.42530343155191985,2.8180219228971126e-08,2.8309018602524083,1.8682219943947707,0.9166666666666666,0.44,25,12
3214,2,TCF7L2,3214,1.0,1.3402760356531884,0.2750110085029056,0.0004906632284185212,3.6143997249838398,2.3168864496615846,0.9166666666666666,0.44,25,12
3190,2,TCF7L2,3190,1.0,1.3402760356531884,-0.270427750110085,0.0006138407245153682,-6.042861322995349,5.092524695864894,0.9166666666666666,0.44,25,12
3212,2,TCF7L2,3212,1.0,1.3402760356531884,0.3290177934618796,2.5834265827072503e-05,2.9457394900094744,1.856909859032791,0.9166666666666666,0.44,25,12
3205,2,TCF7L2,3205,1.0,1.3402760356531884,0.45586675680201444,1.9785275860757352e-09,2.472605403683842,1.460866083445055,0.9166666666666666,0.44,25,12
3193,2,TCF7L2,3193,1.0,1.3402760356531884,0.346463944827244,8.79121842670892e-06,3.787065730589996,2.692114654601142,0.9166666666666666,0.44,25,12
3195,2,TCF7L2,3195,1.0,1.3402760356531884,0.3917817649576095,3.89298252900855e-07,3.379233566365336,2.240760612208768,0.9166666666666666,0.44,25,12
3202,2,TCF7L2,3202,1.0,1.3402760356531884,0.36340463535497,2.8968074652932244e-06,3.9799588663430625,2.881457006863695,0.9166666666666666,0.44,25,12
3191,2,TCF7L2,3191,1.0,1.3402760356531884,0.4545643423737433,2.2277073582178433e-09,8.69413025719282,10.718169918961783,0.9166666666666666,0.44,25,12
328,2,CREB1,328,1.0,2.8018843051741507,0.5437456198562383,1.851330276042889e-13,3.542317240591631,2.4107881298808476,1.0,0.4782608695652174,23,11
307,2,CREB1,307,1.0,2.8018843051741507,-0.17038061511172856,0.03288965618011759,-5.483344649065036,4.429073694591084,1.0,0.4782608695652174,23,11
324,2,CREB1,324,1.0,2.8018843051741507,-0.24892240710994237,0.0016682662968150437,-2.649958064209971,1.5825765441667712,1.0,0.4782608695652174,23,11
