,Regulon_ID,Regulator,Gene
0,0,ETS1,AIP
1,0,ETS1,SYK
2,0,ETS1,UBE2F
3,0,ETS1,HSPBP1
4,0,ETS1,THAP7
5,0,ETS1,CKS1B
6,0,ETS1,PEX11G
7,0,ETS1,SCRN2
8,0,ETS1,TOMM20L
9,0,ETS1,CLDN23
10,0,ETS1,SUPT4H1
11,0,ETS1,TRIM45
12,0,ETS1,PARP1
13,0,ETS1,PRDX5
14,0,ETS1,NR4A2
15,0,ETS1,CNTROB
16,0,ETS1,TAF11
17,0,ETS1,DTNB
18,0,ETS1,JPH1
19,0,ETS1,GHDC
20,0,ETS1,E2F5
21,0,ETS1,BRICD5
22,0,ETS1,FDX2
23,0,ETS1,RBPJ
24,0,ETS1,NDUFS3
25,0,ETS1,CTBP2
26,0,ETS1,TMTC2
27,0,ETS1,ELAVL1
28,0,ETS1,KBTBD4
29,0,ETS1,MRPS25
30,0,ETS1,OXNAD1
31,0,ETS1,WDR83
32,0,ETS1,GFI1B
33,0,ETS1,CFDP1
34,0,ETS1,SNRPF
35,0,ETS1,ZNF473
36,0,ETS1,CNPY2
37,0,ETS1,NUDT21
38,0,ETS1,ABHD8
39,0,ETS1,POLR2G
40,0,ETS1,HMGN5
41,0,ETS1,MVB12A
42,0,ETS1,SPATC1
43,0,ETS1,ZNF718
44,0,ETS1,WBP1
45,0,ETS1,COL21A1
46,0,ETS1,GPRC5C
47,0,ETS1,MNS1
48,0,ETS1,TEX264
49,0,ETS1,GTF3C5
50,0,ETS1,RAF1
51,0,ETS1,ACADVL
52,0,ETS1,PSMB1
53,0,ETS1,ZNF397
54,0,ETS1,TSEN54
55,0,ETS1,NME1
56,0,ETS1,KRTCAP2
57,0,ETS1,TCEANC2
58,0,ETS1,OGG1
59,0,ETS1,PMCH
60,0,ETS1,TSPO
61,0,ETS1,IRAK3
62,0,ETS1,NABP2
63,0,ETS1,SNU13
64,0,ETS1,MRPL23
65,0,ETS1,RNF150
66,0,ETS1,EYA3
67,0,ETS1,TTLL4
68,0,ETS1,TMEM39B
69,0,ETS1,C2orf68
70,0,ETS1,LIG1
71,0,ETS1,USP37
72,0,ETS1,GLOD5
73,0,ETS1,PTPN6
74,0,ETS1,EME2
75,0,ETS1,SMUG1
76,0,ETS1,GEN1
77,0,ETS1,ICAM2
78,0,ETS1,PGP
79,0,ETS1,RPP21
80,0,ETS1,GPR35
81,0,ETS1,FOXD3
82,0,ETS1,SMAP2
83,0,ETS1,BORCS6
84,0,ETS1,PTMS
85,0,ETS1,TRA2B
86,0,ETS1,KCP
87,0,ETS1,SCYL3
88,0,ETS1,MRPS34
89,0,ETS1,RPL19
90,0,ETS1,IFT27
91,0,ETS1,SPSB3
92,0,ETS1,NOP10
93,0,ETS1,RAB36
94,0,ETS1,NSUN5
95,0,ETS1,ZNF837
96,0,ETS1,RAB20
97,0,ETS1,TFPT
98,0,ETS1,WNK3
99,0,ETS1,ITPR1
100,0,ETS1,PSTK
101,0,ETS1,CDK11A
102,0,ETS1,TMEM178B
103,0,ETS1,RBPMS
104,0,ETS1,DDX49
105,0,ETS1,PFDN6
106,0,ETS1,ADCY6
107,0,ETS1,TIGD3
108,0,ETS1,SYF2
109,0,ETS1,SENP1
110,0,ETS1,ALDH16A1
111,0,ETS1,DGUOK
112,0,ETS1,ZNF564
113,0,ETS1,GLRX2
114,0,ETS1,C12orf43
115,0,ETS1,RPL23
116,0,ETS1,CLDN16
117,0,ETS1,KRI1
118,0,ETS1,OGFOD2
119,0,ETS1,AP3M2
120,0,ETS1,SNRPA
121,0,ETS1,KRT86
122,0,ETS1,STAMBPL1
123,0,ETS1,GTF3A
124,0,ETS1,PSMC5
125,0,ETS1,ESCO2
126,0,ETS1,HOXA3
127,0,ETS1,NME1-NME2
128,0,ETS1,RBM8A
129,0,ETS1,RHOT2
130,0,ETS1,HELQ
131,0,ETS1,ZNF408
132,0,ETS1,CP
133,0,ETS1,ZNF780A
134,0,ETS1,YBEY
135,0,ETS1,LENG1
136,0,ETS1,SLF2
137,0,ETS1,MCAT
138,0,ETS1,KYAT1
139,0,ETS1,ALKBH6
140,0,ETS1,ZNF195
141,0,ETS1,HYPK
142,0,ETS1,PPP1R12C
143,0,ETS1,C9orf50
144,0,ETS1,GSS
145,0,ETS1,MED18
146,0,ETS1,TEKT2
147,0,ETS1,GNPTG
148,0,ETS1,NCKIPSD
149,0,ETS1,RCC1
150,0,ETS1,ZSCAN16
151,0,ETS1,COX6A1
152,0,ETS1,GXYLT1
153,0,ETS1,SURF6
154,0,ETS1,TADA3
155,0,ETS1,DGCR6L
156,0,ETS1,ZMYND12
157,0,ETS1,AAMDC
158,0,ETS1,MCIDAS
159,0,ETS1,CHTOP
160,0,ETS1,ZNF593
161,0,ETS1,FCHO1
162,0,ETS1,UCKL1
163,0,ETS1,CACNB4
164,0,ETS1,RRM2
165,0,ETS1,RBP7
166,0,ETS1,MYL6
167,0,ETS1,PQBP1
168,0,ETS1,ZMAT3
169,0,ETS1,MRPS23
170,0,ETS1,ANAPC15
171,0,ETS1,MND1
172,0,ETS1,TRADD
173,0,ETS1,ZFP3
174,0,ETS1,DBF4
175,0,ETS1,P2RX1
176,0,ETS1,FCGRT
177,0,ETS1,NSMCE1
178,0,ETS1,DHFR
179,0,ETS1,YIPF2
180,0,ETS1,CTU2
181,0,ETS1,TPX2
182,0,ETS1,C2CD2
183,0,ETS1,HVCN1
184,0,ETS1,MRPL53
185,0,ETS1,MAP3K14
186,0,ETS1,PIK3IP1
187,0,ETS1,NT5M
188,0,ETS1,POC1B
189,0,ETS1,RBBP4
190,0,ETS1,BUB1B
191,0,ETS1,OTUD5
192,0,ETS1,FBXL15
193,0,ETS1,NPTXR
194,0,ETS1,C14orf39
195,0,ETS1,PODXL
196,0,ETS1,ERMARD
197,0,ETS1,COPS3
198,0,ETS1,OST4
199,0,ETS1,EPN1
200,0,ETS1,SAP30
201,0,ETS1,VAV1
202,0,ETS1,KATNA1
203,0,ETS1,BRCA1
204,0,ETS1,ABCA7
205,0,ETS1,YBX2
206,0,ETS1,SNRNP40
207,0,ETS1,TBC1D17
208,0,ETS1,MRPL54
209,0,ETS1,EXOSC4
210,0,ETS1,CUTA
211,0,ETS1,ARL6IP1
212,0,ETS1,IFT20
213,0,ETS1,CNP
214,0,ETS1,ACSF3
215,0,ETS1,RAD54L
216,0,ETS1,HCAR3
217,0,ETS1,ERH
218,0,ETS1,IMP3
219,0,ETS1,HELLS
220,0,ETS1,RPL24
221,0,ETS1,LHFPL1
222,0,ETS1,REPIN1
223,0,ETS1,SVIP
224,0,ETS1,ZNF768
225,0,ETS1,DUSP15
226,0,ETS1,CHMP4B
227,0,ETS1,SLIRP
228,0,ETS1,MTG1
229,0,ETS1,IFI27L2
230,0,ETS1,INO80B
231,0,ETS1,ANXA2R
232,0,ETS1,ZNF155
233,0,ETS1,C6orf52
234,0,ETS1,SLC25A28
235,0,ETS1,PLEKHJ1
236,0,ETS1,SNRPE
237,0,ETS1,TMSB4X
238,0,ETS1,CTU1
239,0,ETS1,GAD1
240,0,ETS1,DNAJC9
241,0,ETS1,ADARB2
242,0,ETS1,TEFM
243,0,ETS1,FAAH
244,0,ETS1,CENPM
245,0,ETS1,RPL26
246,0,ETS1,RAB13
247,0,ETS1,SHISA8
248,0,ETS1,MRPL51
249,0,ETS1,CEP55
250,0,ETS1,TMEM175
251,0,ETS1,TRAPPC1
252,0,ETS1,ZNF444
253,0,ETS1,ID2
254,0,ETS1,NUF2
255,0,ETS1,TSPAN32
256,0,ETS1,CPSF3
257,0,ETS1,RPL38
258,0,ETS1,LDHC
259,0,ETS1,PSRC1
260,0,ETS1,CDKL3
261,0,ETS1,CYBA
262,0,ETS1,RILPL2
263,0,ETS1,FANCC
264,0,ETS1,TTC23L
265,0,ETS1,ZNHIT2
266,0,ETS1,PRSS21
267,0,ETS1,ARHGAP19
268,0,ETS1,PTGES3
269,0,ETS1,SMIM19
270,0,ETS1,BCL2L11
271,0,ETS1,TOMM6
272,0,ETS1,QRICH1
273,0,ETS1,IRF3
274,0,ETS1,NOL11
275,0,ETS1,CUEDC2
276,0,ETS1,P4HTM
277,0,ETS1,MKKS
278,0,ETS1,EMC6
279,0,ETS1,SLC25A40
280,0,ETS1,NEDD8
281,0,ETS1,PCBD2
282,0,ETS1,PUM2
283,0,ETS1,E2F1
284,0,ETS1,ZNF653
285,0,ETS1,CBY1
286,0,ETS1,MED11
287,0,ETS1,RAD9B
288,0,ETS1,RFXANK
289,0,ETS1,CENPK
290,0,ETS1,TARBP2
291,0,ETS1,NDUFV3
292,0,ETS1,DAPK3
293,0,ETS1,UHRF1
294,0,ETS1,CBARP
295,0,ETS1,ORC1
296,0,ETS1,IFT43
297,0,ETS1,ZNF740
298,0,ETS1,TPGS2
299,0,ETS1,DALRD3
300,0,ETS1,PRPF38A
301,0,ETS1,ISCU
302,0,ETS1,INPP5F
303,0,ETS1,PRPF31
304,0,ETS1,CPAMD8
305,0,ETS1,COA3
306,0,ETS1,COPE
307,0,ETS1,NIF3L1
308,0,ETS1,ZBTB8OS
309,0,ETS1,IKBKE
310,0,ETS1,CCDC174
311,0,ETS1,POMP
312,0,ETS1,COX14
313,0,ETS1,C2CD4D
314,0,ETS1,PTTG1
315,0,ETS1,NCAPD2
316,0,ETS1,ADIRF
317,0,ETS1,INPP5B
318,0,ETS1,GPR132
319,0,ETS1,HLA-DQA2
320,0,ETS1,SMC4
321,0,ETS1,TMEM141
322,0,ETS1,POLR2L
323,0,ETS1,DMAP1
324,0,ETS1,LTC4S
325,0,ETS1,PLCL1
326,0,ETS1,IL17RC
327,0,ETS1,TNFSF15
328,0,ETS1,CMC4
329,0,ETS1,REM2
330,0,ETS1,CCDC85B
331,0,ETS1,BABAM1
332,0,ETS1,PPWD1
333,0,ETS1,TSR2
334,0,ETS1,KCND1
335,0,ETS1,HMGN1
336,0,ETS1,DEPDC4
337,0,ETS1,DCLRE1C
338,0,ETS1,AURKB
339,0,ETS1,TMEM258
340,0,ETS1,TMEM147
341,0,ETS1,BCL11A
342,0,ETS1,PPM1K
343,0,ETS1,ZFHX2
344,0,ETS1,NDUFA9
345,0,ETS1,PRR5
346,0,ETS1,DPM2
347,0,ETS1,PRPF38B
348,0,ETS1,PDRG1
349,0,ETS1,CYB561
350,0,ETS1,MANEAL
351,0,ETS1,RP9
352,0,ETS1,DOHH
353,0,ETS1,DPH7
354,0,ETS1,HNRNPL
355,0,ETS1,DPM3
356,0,ETS1,TNFRSF14
357,0,ETS1,RIPPLY3
358,0,ETS1,TCEA3
359,0,ETS1,ADPRM
360,0,ETS1,BTC
361,0,ETS1,FKBP2
362,0,ETS1,NR2F6
363,0,ETS1,SERTAD4
364,0,ETS1,PMVK
