,Alt_ID,in_degree,out_degree,out/in
ELK4,ELK4,2.0,15.0,7.5
EBF1,EBF1,2.0,9.0,4.5
LMO2,LMO2,2.0,4.0,2.0
ZEB1,ZEB1,6.0,11.0,1.8333333333333333
BCL6B,BCL6B,3.0,5.0,1.6666666666666667
KLF7,KLF7,5.0,8.0,1.6
BHLHE41,BHLHE41,4.0,6.0,1.5
REST,REST,5.0,7.0,1.4
CREB3L1,CREB3L1,3.0,4.0,1.3333333333333333
MEIS3,MEIS3,3.0,4.0,1.3333333333333333
MEIS2,MEIS2,4.0,5.0,1.25
GABPB1,GABPB1,3.0,3.0,1.0
ZNF281,ZNF281,10.0,7.0,0.7
PITX3,PITX3,3.0,2.0,0.6666666666666666
ZBTB16,ZBTB16,4.0,2.0,0.5
ZBTB6,ZBTB6,4.0,2.0,0.5
HOXC4,HOXC4,4.0,2.0,0.5
GZF1,GZF1,2.0,1.0,0.5
PKNOX1,PKNOX1,9.0,2.0,0.2222222222222222
CEBPZ,CEBPZ,6.0,1.0,0.16666666666666666
FOXD1,FOXD1,4.0,0.0,0.0
