,Source,Edge,Target
0,ZEB1,0.3928286696987538,RUNX2
1,GLIS1,0.2133675678241717,RUNX2
2,KLF7,0.1186857249829065,RUNX2
3,MSC,-0.0962381819782565,ELF5
4,FOXL1,-0.1769465539896415,ELF5
5,BPTF,0.1513312000845375,ELF5
6,IRF1,-0.0863103484478564,ELF5
7,GTF2I,0.4569084615057076,CUX1
8,PKNOX1,-0.0343712322679088,CUX1
9,NFAT5,0.0711560230646051,CUX1
10,FOXF2,0.0414637266744298,CUX1
11,HIF1A,0.0309659280757584,GLIS1
12,ATF1,-0.0526134393316275,GLIS1
13,NFIL3,0.0826341315666896,GLIS1
14,WT1,0.0005991528700705,GLIS1
15,BCL6B,0.15874097437776,GLIS1
16,TEAD3,0.1755790666450544,ZSCAN26
17,ATF2,0.3001738436288587,ZSCAN26
18,RUNX2,0.0616883576561239,ZSCAN26
19,KLF7,-0.0868705950721456,ZSCAN26
20,NR2F2,0.1814911305356387,ZSCAN26
21,NFKB1,0.1663522591516516,ELF4
22,NFE2L1,0.0689225690823722,ELF4
23,PRDM4,0.1125889079133668,ELF4
24,HOXA1,0.0595101459182788,ELF4
25,ATF7,0.0656494108389511,ELF4
26,SF1,0.1330161106906587,ELF4
27,CUX1,0.0626868372749679,ELF4
28,ZNF281,0.136801682802068,ELF4
29,ELK4,0.0772113683252756,ELF4
30,ATF7,-0.1629636020291079,NFATC4
31,CREB3L1,0.2766785368192834,NFATC4
32,EBF1,0.4815395018090275,NFATC4
33,GTF2A1,0.211722923475788,SMAD1
34,GTF2I,0.3825446157742437,SMAD1
35,NFKB1,0.2887122603815354,SMAD1
36,MEIS2,0.1413864456695668,GTF2A1
37,ETV3,0.4395296800625951,GTF2A1
38,ETV1,0.0660951697215116,GTF2A1
39,KLF7,0.1045009757287704,GTF2A1
40,GLIS3,0.0786269972642893,RARA
41,ELF4,0.034967179443681,RARA
42,MSC,0.0833740898520352,RARA
43,SF1,0.0967410801742058,RARA
44,NFATC4,0.0582471847733466,RARA
45,GLIS1,0.062310442251901,RARA
46,BCL6B,0.0413543837157847,RARA
47,NR2F2,0.0662075542757398,RARA
48,NFE2L1,0.1244689890999206,RARA
49,DLX1,0.0373828608658464,RARA
50,TCF7L1,0.1750637459931371,RARA
51,GRHL1,0.2517619637088294,ELF3
52,TCF7L2,0.0556151681029461,ELF3
53,LHX1,-0.1382140127645644,ELF3
54,GLIS1,-0.0596158764988938,ELF3
55,DLX1,-0.1471391699914976,ELF3
56,ETV3,0.0598173660192591,ELF3
57,PITX1,0.1793431685013924,ELF3
58,BHLHE40,0.0791768556481972,ELF3
59,GLI3,-0.1365827747589865,ELF3
60,ATF2,0.1443395379087684,SP4
61,ZSCAN26,0.1904204376837257,SP4
62,CREB1,0.1713817188105567,SP4
63,FOXK1,0.1199185438878057,SP4
