,Alt_ID,in_degree,out_degree,out/in
ELK4,ELK4,2.0,15.0,7.5
HEY1,HEY1,1.0,5.0,5.0
HIF1A,HIF1A,1.0,5.0,5.0
EBF1,EBF1,2.0,9.0,4.5
LHX8,LHX8,1.0,4.0,4.0
GTF2I,GTF2I,3.0,12.0,4.0
NR2F2,NR2F2,3.0,12.0,4.0
NFATC4,NFATC4,3.0,12.0,4.0
FOXL1,FOXL1,2.0,8.0,4.0
STAT1,STAT1,2.0,7.0,3.5
DLX1,DLX1,3.0,10.0,3.3333333333333335
ATF7,ATF7,3.0,10.0,3.3333333333333335
CREB1,CREB1,2.0,6.0,3.0
MAFA,MAFA,1.0,3.0,3.0
MEOX2,MEOX2,4.0,11.0,2.75
SF1,SF1,2.0,5.0,2.5
GLIS3,GLIS3,2.0,5.0,2.5
ZBTB4,ZBTB4,2.0,5.0,2.5
ETV1,ETV1,3.0,7.0,2.3333333333333335
IRF1,IRF1,3.0,7.0,2.3333333333333335
NFAT5,NFAT5,3.0,7.0,2.3333333333333335
ETV3,ETV3,4.0,9.0,2.25
TCF7L2,TCF7L2,5.0,11.0,2.2
ARID5B,ARID5B,5.0,11.0,2.2
HOXA11,HOXA11,3.0,6.0,2.0
EGR2,EGR2,1.0,2.0,2.0
TEAD1,TEAD1,3.0,6.0,2.0
LMO2,LMO2,2.0,4.0,2.0
MYOG,MYOG,1.0,2.0,2.0
WT1,WT1,1.0,2.0,2.0
RFX2,RFX2,3.0,6.0,2.0
MYF6,MYF6,2.0,4.0,2.0
RFX7,RFX7,3.0,6.0,2.0
GLI3,GLI3,6.0,11.0,1.8333333333333333
ZEB1,ZEB1,6.0,11.0,1.8333333333333333
MSC,MSC,4.0,7.0,1.75
NFIL3,NFIL3,4.0,7.0,1.75
GTF2A1,GTF2A1,4.0,7.0,1.75
BCL6B,BCL6B,3.0,5.0,1.6666666666666667
RUNX2,RUNX2,3.0,5.0,1.6666666666666667
FOXC2,FOXC2,3.0,5.0,1.6666666666666667
GLIS1,GLIS1,5.0,8.0,1.6
KLF7,KLF7,5.0,8.0,1.6
ATF1,ATF1,4.0,6.0,1.5
BHLHE41,BHLHE41,4.0,6.0,1.5
PKNOX2,PKNOX2,4.0,6.0,1.5
PURA,PURA,2.0,3.0,1.5
CUX1,CUX1,4.0,6.0,1.5
AHR,AHR,4.0,6.0,1.5
FOXK1,FOXK1,5.0,7.0,1.4
REST,REST,5.0,7.0,1.4
MEIS3,MEIS3,3.0,4.0,1.3333333333333333
GATA6,GATA6,3.0,4.0,1.3333333333333333
IRX2,IRX2,3.0,4.0,1.3333333333333333
CREB3L1,CREB3L1,3.0,4.0,1.3333333333333333
MEIS2,MEIS2,4.0,5.0,1.25
NFE2L1,NFE2L1,5.0,6.0,1.2
TFCP2,TFCP2,5.0,6.0,1.2
BACH1,BACH1,5.0,5.0,1.0
BPTF,BPTF,5.0,5.0,1.0
YY1,YY1,3.0,3.0,1.0
ETS1,ETS1,5.0,5.0,1.0
MEF2D,MEF2D,5.0,5.0,1.0
BDP1,BDP1,4.0,4.0,1.0
MYBL2,MYBL2,2.0,2.0,1.0
ELK3,ELK3,5.0,5.0,1.0
ATF2,ATF2,5.0,5.0,1.0
PEBP1,PEBP1,4.0,4.0,1.0
GABPB1,GABPB1,3.0,3.0,1.0
PAX3,PAX3,1.0,1.0,1.0
HLX,HLX,4.0,4.0,1.0
LEF1,LEF1,4.0,4.0,1.0
SOX17,SOX17,3.0,3.0,1.0
FOXO1,FOXO1,6.0,5.0,0.8333333333333334
RARA,RARA,11.0,9.0,0.8181818181818182
GRHL1,GRHL1,5.0,4.0,0.8
PROX1,PROX1,4.0,3.0,0.75
KLF13,KLF13,4.0,3.0,0.75
ZNF281,ZNF281,10.0,7.0,0.7
PRDM4,PRDM4,6.0,4.0,0.6666666666666666
PLAG1,PLAG1,3.0,2.0,0.6666666666666666
SMAD1,SMAD1,3.0,2.0,0.6666666666666666
TBX15,TBX15,3.0,2.0,0.6666666666666666
IRX4,IRX4,3.0,2.0,0.6666666666666666
PITX3,PITX3,3.0,2.0,0.6666666666666666
ZNF148,ZNF148,3.0,2.0,0.6666666666666666
TEAD3,TEAD3,3.0,2.0,0.6666666666666666
GSC,GSC,3.0,2.0,0.6666666666666666
ZSCAN26,ZSCAN26,5.0,3.0,0.6
HLF,HLF,7.0,4.0,0.5714285714285714
RELA,RELA,2.0,1.0,0.5
CREB5,CREB5,4.0,2.0,0.5
ZBTB16,ZBTB16,4.0,2.0,0.5
BBX,BBX,6.0,3.0,0.5
NFKB1,NFKB1,8.0,4.0,0.5
HOXC4,HOXC4,4.0,2.0,0.5
BHLHE40,BHLHE40,6.0,3.0,0.5
LHX1,LHX1,6.0,3.0,0.5
MEOX1,MEOX1,2.0,1.0,0.5
NR5A2,NR5A2,2.0,1.0,0.5
HOXA1,HOXA1,8.0,4.0,0.5
ZBTB6,ZBTB6,4.0,2.0,0.5
GZF1,GZF1,2.0,1.0,0.5
PITX1,PITX1,6.0,3.0,0.5
ELF4,ELF4,9.0,4.0,0.4444444444444444
BACH2,BACH2,5.0,2.0,0.4
NKX3-1,NKX3-1,5.0,2.0,0.4
HDX,HDX,3.0,1.0,0.3333333333333333
TCF7L1,TCF7L1,3.0,1.0,0.3333333333333333
FOXD2,FOXD2,3.0,1.0,0.3333333333333333
SATB1,SATB1,3.0,1.0,0.3333333333333333
SOX9,SOX9,6.0,2.0,0.3333333333333333
SP4,SP4,6.0,2.0,0.3333333333333333
KLF14,KLF14,7.0,2.0,0.2857142857142857
NKX3-2,NKX3-2,4.0,1.0,0.25
SP100,SP100,4.0,1.0,0.25
FOXF2,FOXF2,4.0,1.0,0.25
PKNOX1,PKNOX1,9.0,2.0,0.2222222222222222
ZNF410,ZNF410,5.0,1.0,0.2
HSF1,HSF1,5.0,1.0,0.2
MSX2,MSX2,11.0,2.0,0.18181818181818182
CEBPZ,CEBPZ,6.0,1.0,0.16666666666666666
ZNF35,ZNF35,7.0,1.0,0.14285714285714285
FOXP1,FOXP1,10.0,1.0,0.1
SOX7,SOX7,9.0,0.0,0.0
ELF5,ELF5,4.0,0.0,0.0
ZIC4,ZIC4,4.0,0.0,0.0
PPARA,PPARA,3.0,0.0,0.0
FOXD1,FOXD1,4.0,0.0,0.0
PAX7,PAX7,3.0,0.0,0.0
ELF3,ELF3,9.0,0.0,0.0
ARID3A,ARID3A,4.0,0.0,0.0
LHX6,LHX6,6.0,0.0,0.0
LHX5,LHX5,10.0,0.0,0.0
VENTX,VENTX,3.0,0.0,0.0
NFIX,NFIX,6.0,0.0,0.0
