,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
4692,4,TFAP2C,4692,1.0,2.4569521316013567,-0.20869505869570612,2.402195329496267e-06,-4.311554507413089,3.662059316452202,0.6923076923076923,0.391304347826087,23,13
4704,4,TFAP2C,4704,1.0,2.4569521316013567,-0.3497502946630639,6.852957498797564e-16,-5.867618353301954,5.190173390868864,0.6923076923076923,0.391304347826087,23,13
4698,4,TFAP2C,4698,1.0,2.4569521316013567,0.24393681331150913,3.099740030039178e-08,3.511870423447224,2.6962180428005436,0.6923076923076923,0.391304347826087,23,13
4702,4,TFAP2C,4702,1.0,2.4569521316013567,0.3276023891007558,5.052622257805238e-14,2.91302962634878,2.0769783779119404,0.6923076923076923,0.391304347826087,23,13
4696,4,TFAP2C,4696,1.0,2.4569521316013567,0.14768734255724808,0.0009035465814234125,3.24882247529653,2.418211225551032,0.6923076923076923,0.391304347826087,23,13
4691,4,TFAP2C,4691,1.0,2.4569521316013567,-0.2274825413527851,2.5797454922593906e-07,-6.1810605502450295,6.203393450368055,0.6923076923076923,0.391304347826087,23,13
4701,4,TFAP2C,4701,1.0,2.4569521316013567,0.2783821440941867,2.1869400303615548e-10,2.095457668034079,1.3250826220801926,0.6923076923076923,0.391304347826087,23,13
4713,4,TFAP2C,4713,1.0,2.4569521316013567,0.1947463535697806,1.1096186872522058e-05,3.3261904685813057,2.5515764847162656,0.6923076923076923,0.391304347826087,23,13
4694,4,TFAP2C,4694,1.0,2.4569521316013567,-0.24363042348528294,3.229114036606305e-08,-3.250426481914162,2.447281017719288,0.6923076923076923,0.391304347826087,23,13
2130,4,MGA,2130,-1.0,3.9526059658627486,0.325468189503151,7.510115993335255e-14,-6.772654723898527,7.089290228075363,0.6666666666666666,0.4,5,3
2132,4,MGA,2132,-1.0,3.9526059658627486,0.30724444515482197,1.9544380330248184e-12,-3.3064820148840743,2.5223022666645667,0.6666666666666666,0.4,5,3
8832,4,NFATC4,8832,1.0,3.8427429433687683,-0.24275621647645915,3.6276115477750485e-08,-3.334361917381432,2.5295703969908594,0.7142857142857143,0.4,25,14
8846,4,NFATC4,8846,1.0,3.8427429433687683,0.5801652143109092,1.7069726776017045e-46,4.204060769907463,3.4009169930246657,0.7142857142857143,0.4,25,14
8823,4,NFATC4,8823,1.0,3.8427429433687683,0.7339739505093162,4.758861897834193e-86,4.558226578635995,3.7675769826673537,0.7142857142857143,0.4,25,14
8826,4,NFATC4,8826,1.0,3.8427429433687683,0.3383802915265996,6.506881813118045e-15,4.801180535006337,4.089857707433709,0.7142857142857143,0.4,25,14
8829,4,NFATC4,8829,1.0,3.8427429433687683,0.4406454372033419,2.922150140492649e-25,5.364003638980535,4.735500959651806,0.7142857142857143,0.4,25,14
8837,4,NFATC4,8837,1.0,3.8427429433687683,0.43834798779430206,5.49132080655189e-25,2.745274256487729,1.9215572777534244,0.7142857142857143,0.4,25,14
8839,4,NFATC4,8839,1.0,3.8427429433687683,0.5377612417913256,5.732767923998139e-39,3.7444217250580754,2.9654023728597565,0.7142857142857143,0.4,25,14
8827,4,NFATC4,8827,1.0,3.8427429433687683,0.6082940769392283,3.963363673217355e-52,2.5151305072030623,1.6945982721851658,0.7142857142857143,0.4,25,14
8831,4,NFATC4,8831,1.0,3.8427429433687683,0.6126962252536265,4.619976178030471e-53,3.5044328520900576,2.673219427644764,0.7142857142857143,0.4,25,14
8836,4,NFATC4,8836,1.0,3.8427429433687683,0.4137527579234378,3.507309360189475e-22,2.3299866141278813,1.5336569630299883,0.7142857142857143,0.4,25,14
3434,4,NKX2-5,3434,1.0,1.672036329446035,0.280731950961584,1.519201318330312e-10,4.279836069530835,3.4166751810396274,0.6,0.3,10,5
3430,4,NKX2-5,3430,1.0,1.672036329446035,0.19026081540350367,1.774730719004267e-05,2.0759404337001377,1.317902814317785,0.6,0.3,10,5
3435,4,NKX2-5,3435,1.0,1.672036329446035,0.2818107439433677,1.283733281416321e-10,4.010068007359913,3.1871139510224826,0.6,0.3,10,5
2362,4,OTX1,2362,1.0,1.4537598068701831,0.33792250908035576,7.110433353299277e-15,2.6870493270102687,1.8642650716758429,0.6,0.36,25,15
2352,4,OTX1,2352,1.0,1.4537598068701831,0.7099751847955139,3.600720000204759e-78,2.8213609359303193,2.051977798391949,0.6,0.36,25,15
2368,4,OTX1,2368,1.0,1.4537598068701831,0.41993206208747946,7.273013149436572e-23,2.509911895879551,1.6830969325067398,0.6,0.36,25,15
2371,4,OTX1,2371,1.0,1.4537598068701831,0.1382491130465104,0.001904592993498886,3.167043350405078,2.376900286585978,0.6,0.36,25,15
2364,4,OTX1,2364,1.0,1.4537598068701831,0.45902873191938387,1.572991583927936e-27,3.2507832141125226,2.490545714419781,0.6,0.36,25,15
2358,4,OTX1,2358,1.0,1.4537598068701831,0.6400015347948571,3.39660166937986e-59,4.520532445663967,4.000901540592865,0.6,0.36,25,15
2365,4,OTX1,2365,1.0,1.4537598068701831,0.34877041636432804,8.350235485619877e-16,4.305112400999318,3.5728022124457346,0.6,0.36,25,15
2351,4,OTX1,2351,1.0,1.4537598068701831,0.5589711012262185,1.3466145506583731e-42,3.11995820451498,2.359872172977959,0.6,0.36,25,15
2374,4,OTX1,2374,1.0,1.4537598068701831,0.11412437653108948,0.010497718860706934,2.8183061977474613,1.9874261645759468,0.6,0.36,25,15
7383,4,PAX3,7383,1.0,3.837853803946288,0.1479418853695211,0.0008850101135610867,2.79308518902097,2.0217431838169757,1.0,0.8333333333333334,6,5
7385,4,PAX3,7385,1.0,3.837853803946288,0.17474366331804442,8.293523271012692e-05,6.028015827117657,5.315035577218733,1.0,0.8333333333333334,6,5
7381,4,PAX3,7381,1.0,3.837853803946288,0.1698331950374744,0.00013157155803325324,3.284395717333254,2.533454749858911,1.0,0.8333333333333334,6,5
7386,4,PAX3,7386,1.0,3.837853803946288,0.2308690586668502,1.689289189587579e-07,2.4172338069139885,1.5991748118836135,1.0,0.8333333333333334,6,5
7382,4,PAX3,7382,1.0,3.837853803946288,0.32126642354437474,1.624007540860625e-13,5.350196511908025,4.605751012394873,1.0,0.8333333333333334,6,5
7030,4,NFKB1,7030,1.0,3.965829603171718,0.37198281314332676,6.405233273138438e-18,3.0296300254029394,2.237697105985413,0.6,0.36,25,15
7018,4,NFKB1,7018,1.0,3.965829603171718,0.47918889791247504,3.506254521714437e-30,3.720449878847262,2.9243743086127125,0.6,0.36,25,15
7025,4,NFKB1,7025,1.0,3.965829603171718,0.2986619254342969,8.404531265760379e-12,3.554579208136052,2.7272880464345333,0.6,0.36,25,15
7013,4,NFKB1,7013,1.0,3.965829603171718,0.32315414002612664,1.150151100043703e-13,5.190093000633479,4.540838052207885,0.6,0.36,25,15
7026,4,NFKB1,7026,1.0,3.965829603171718,-0.1502795143161595,0.0007304850953177242,-2.7901932700828525,1.9655157417331512,0.6,0.36,25,15
