,state
580c059f-1b04-4229-8047-dcb3bc29fb01,2.0
1fdbec79-d894-4b18-b515-9462c959f503,14.0
5bfbb7a5-0b75-4db0-9ed0-03b97a1cbd0d,14.0
1eeeaafd-6e5c-42a5-8889-1cec2b8dbb11,1.0
7aeafd8c-31a0-4f4b-8381-23edaaa3dc13,6.0
ab4b5f5e-35af-4609-a0d1-6e1771356d17,7.0
9980293d-af0a-4215-9688-c576b1f8b519,13.0
5f28e34b-2267-4352-bbd2-17d86f2ae220,11.0
655ea93e-3bc3-4218-86f5-9cdac536d424,1.0
ddae4bcb-c5db-4aa7-944b-39f13cd91b2c,16.0
14b4be11-4576-4511-946e-28eb079aba3e,10.0
066b10c1-777f-4863-acca-6684310b913e,6.0
8a529c29-26be-42c9-a03e-c9cb406e6843,10.0
f0a7c257-b704-4969-93e0-c555c4904a43,1.0
754eb254-ee63-493d-9518-6de9ee1c3d5b,9.0
f6e0aca6-1c1e-4401-b187-e2ad84e30f63,1.0
4ffc0c70-254b-42df-87d1-a616f24a9d6c,1.0
a5b3738d-d197-4463-8fed-51f69ac17873,5.0
c44c898c-eef9-4e03-911a-9d951312c380,16.0
6ccb94b6-2af8-4cb7-8261-7a051aba4783,9.0
b88c71e6-9239-4c74-b874-64bf27edfa89,12.0
b23a1419-0406-48bf-813b-b6ed6fd98789,11.0
5e03e52f-957d-455b-a007-19714faa818a,1.0
b3cca12d-4569-4ab8-ac41-457448268d90,7.0
ca2cbbf1-225a-43bb-a197-04f521329592,10.0
fe7b013b-9204-40bc-b644-7b3a5f170a96,15.0
a5b70c7a-cc78-45ed-bc19-741012bc6e97,14.0
836c94cc-2f01-4137-9cfa-8e1619c1969a,7.0
31322670-76a2-4308-a71f-d8e00049519d,14.0
6a57d69c-8e19-47f2-8261-1419a45995a3,11.0
7ec3a540-c207-4c4d-bb25-2565e5df81a9,7.0
afdbe143-6c36-4d68-a0d2-45ca3f0410b0,10.0
e895e2c8-a302-4e56-af2f-a78c2f8be7b2,10.0
08c438cb-fdba-4f47-a3e5-87b949c129b4,7.0
302d0175-90a1-43c4-a0d6-d24f540e08bb,7.0
065e1906-cbe9-4f9a-ac33-269852ce9aca,6.0
7893db86-cda3-45de-931f-cfbb52b64ace,7.0
654b538f-f998-439f-8b00-d5b9c3c470dc,7.0
5ab5396f-925b-469c-b240-fb37991004dd,9.0
d2140732-b8f2-4fda-9aa4-8cc30e4dd6e0,3.0
d18b79be-2a49-4a4c-b5e3-ab8ae34e00e1,10.0
80105919-54fa-4be7-8b88-d26aa563c6e7,13.0
a2a34964-65c3-4175-89b2-85405c5abfe9,14.0
1a8716ba-1c57-4354-bb23-67916f8983ed,4.0
db82192f-fe52-4ff5-baa9-2b266b3678f3,2.0
e929b058-865b-4eff-a701-1a8fe202b9ff,4.0
4287781b-8c52-4b61-9cf8-47a3fcc83201,3.0
1469d134-06e6-42ef-9c5a-c30dc2b34c01,10.0
a77dda16-167d-4444-8c58-526c99f2b406,11.0
945b6e64-04b1-4d45-a0fd-ad09967bb108,9.0
02bb39e5-7db7-4a83-ab23-2f425cd4e00a,1.0
4032d247-79a3-4ac6-a3b6-51149b75df0f,1.0
82e7e988-a12f-425c-b363-cb3559f49f0f,6.0
a72cb3ab-d1ca-4d45-8f10-e2bf57fad114,11.0
24dc719a-9c27-4cc8-90d3-f33e5e944818,9.0
afc2c1b1-d696-4797-ab1e-67f8d10a121b,14.0
4872963f-dee8-46a2-9173-90ef52be061e,5.0
1e9bd546-c4b9-46c1-8a93-a90f2c38ba1e,12.0
8feabf7b-e48d-48a9-8d60-90ccbb68a320,4.0
1d1cccca-5a5b-4139-ba62-7706d6163c20,9.0
bc4e01c4-adec-44d3-9784-e1bcb39d8c23,7.0
311d089c-33f1-4722-9118-f56427c5c128,9.0
15d73bc1-c622-445f-adb3-4bf34207c928,9.0
ab839bd2-bac0-48cb-af5c-c31acdf6272f,12.0
5bbc6cf0-367a-44ee-955f-b02fcf82e030,1.0
0e9d2afd-1923-4656-bc89-5a6eb3604b35,7.0
40467950-a95c-4731-ad93-0a128442c837,7.0
