,Source,Edge,Target
0,CUX1,-0.0183939903345592,NFATC2
1,NFKB1,-0.0036372394189981,NFATC2
2,CDC5L,0.0424154333976958,NFATC2
3,TEAD1,0.0354393445098817,NFATC2
4,TBX18,0.0711861820615136,NFATC2
5,PRDM1,0.2326689060337159,NFATC2
6,PBX1,0.0418648250655447,NFATC2
7,EP300,0.0039629744186968,NFATC2
8,HOXA1,-0.0145987332957636,NFATC2
9,SOX7,0.0124987032190409,NFATC2
10,ZFX,0.0560466077562412,NFATC2
11,HENMT1,0.0321064588300412,NFATC2
12,PARP1,0.0015922660148641,NFATC2
13,STAT1,0.0502757137915212,NFATC2
14,FOXF1,-0.0291992059940823,NFATC2
15,GMEB1,0.0339178091601909,NFATC2
16,ZBTB4,-0.0034111606373505,NFATC2
17,IKZF3,0.0021345350934536,CUX1
18,HBP1,0.2983287867304294,CUX1
19,NR3C1,0.0153294582944189,CUX1
20,PRDM1,-0.0385780306589302,CUX1
21,SMAD1,0.273330793755067,CUX1
22,REL,-0.1353542906589687,CUX1
23,NFATC2,-0.0098371916126631,CUX1
24,TERF1,0.0501817272883854,CUX1
25,HOXC4,0.08707052315552,CUX1
26,EHF,-0.0259074167505943,CUX1
27,LHX9,0.1239473134477154,CUX1
28,ZFX,0.6639836468311492,RORA
29,NFKB1,0.1208285521798354,SMAD1
30,HBP1,0.1632269412115683,SMAD1
31,TEAD1,0.258047313286267,SMAD1
32,MGA,0.2915282887201209,SMAD1
33,SOX21,0.0852035650574824,SMAD1
34,NFKB1,0.0368169772556182,NR5A2
35,HENMT1,0.0169858522818622,NR5A2
36,PRDM1,0.4911988195145136,NR5A2
37,ATF3,0.0554089258048036,NR5A2
38,ZBTB4,0.0905802875584652,NR5A2
39,NFKB1,0.2946246901043172,ZFX
40,TEAD1,0.3116309050381025,ZFX
41,EP300,0.1905750108741545,ZFX
42,CUX1,-0.0739526373087136,MEOX1
43,NFKB1,0.1051601101002522,MEOX1
44,RORA,0.0832177958539882,MEOX1
