,Alt_ID,in_degree,out_degree,out/in
RORA,RORA,1.0,9.0,9.0
ZBTB4,ZBTB4,1.0,6.0,6.0
REL,REL,2.0,10.0,5.0
NFKB1,NFKB1,2.0,9.0,4.5
HOXA1,HOXA1,1.0,4.0,4.0
EP300,EP300,1.0,4.0,4.0
HENMT1,HENMT1,1.0,4.0,4.0
TEAD1,TEAD1,3.0,10.0,3.3333333333333335
PRDM1,PRDM1,2.0,6.0,3.0
HBP1,HBP1,3.0,9.0,3.0
SOX17,SOX17,1.0,3.0,3.0
LHX9,LHX9,1.0,3.0,3.0
STAT1,STAT1,3.0,8.0,2.6666666666666665
ATF3,ATF3,2.0,5.0,2.5
FOXO1,FOXO1,2.0,5.0,2.5
SOX21,SOX21,2.0,5.0,2.5
DLX3,DLX3,1.0,2.0,2.0
IKZF3,IKZF3,1.0,2.0,2.0
ZFX,ZFX,3.0,6.0,2.0
NR3C1,NR3C1,2.0,4.0,2.0
FOXF1,FOXF1,2.0,4.0,2.0
HOXC4,HOXC4,2.0,4.0,2.0
MEF2A,MEF2A,2.0,3.0,1.5
SOX7,SOX7,2.0,3.0,1.5
GMEB1,GMEB1,2.0,3.0,1.5
MGA,MGA,3.0,4.0,1.3333333333333333
ZNF423,ZNF423,1.0,1.0,1.0
BBX,BBX,2.0,2.0,1.0
TBX18,TBX18,3.0,3.0,1.0
BATF3,BATF3,1.0,1.0,1.0
TAL1,TAL1,1.0,1.0,1.0
MYCN,MYCN,1.0,1.0,1.0
TFEC,TFEC,1.0,1.0,1.0
MEOX1,MEOX1,4.0,4.0,1.0
PARP1,PARP1,8.0,6.0,0.75
ELF1,ELF1,3.0,2.0,0.6666666666666666
BPTF,BPTF,3.0,2.0,0.6666666666666666
POU2F3,POU2F3,2.0,1.0,0.5
TERF1,TERF1,2.0,1.0,0.5
SATB1,SATB1,2.0,1.0,0.5
ZBTB33,ZBTB33,2.0,1.0,0.5
CDC5L,CDC5L,4.0,2.0,0.5
SMAD1,SMAD1,5.0,2.0,0.4
NR5A2,NR5A2,5.0,2.0,0.4
EHF,EHF,13.0,5.0,0.38461538461538464
CUX1,CUX1,11.0,4.0,0.36363636363636365
VBP1,VBP1,4.0,1.0,0.25
BCL6B,BCL6B,11.0,2.0,0.18181818181818182
PBX1,PBX1,18.0,3.0,0.16666666666666666
VSX1,VSX1,15.0,2.0,0.13333333333333333
NFATC2,NFATC2,17.0,2.0,0.11764705882352941
NKX6-1,NKX6-1,1.0,0.0,0.0
