,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
8019,3,HOXD3,8019,1.0,2.691158915145601,0.21799394635215533,0.07868496079900385,2.4157195355059984,1.5013304349170555,1.0,0.8333333333333334,12,10
8009,3,HOXD3,8009,1.0,2.691158915145601,0.1893121803569565,0.12790963622644705,5.000584711813915,3.709000572223074,1.0,0.8333333333333334,12,10
8014,3,HOXD3,8014,1.0,2.691158915145601,-0.15779146226907423,0.2057440434142485,-4.226749249565575,3.8905580401059097,1.0,0.8333333333333334,12,10
8020,3,HOXD3,8020,1.0,2.691158915145601,0.1987892704310615,0.10956982879193705,3.522157066761001,2.431057548951821,1.0,0.8333333333333334,12,10
8018,3,HOXD3,8018,1.0,2.691158915145601,-0.27610896566120446,0.02482727750244315,-2.87462092869226,1.9522862776040444,1.0,0.8333333333333334,12,10
8012,3,HOXD3,8012,1.0,2.691158915145601,0.0157186097484605,0.9003126533338384,4.160865809415686,2.960701678407281,1.0,0.8333333333333334,12,10
8010,3,HOXD3,8010,1.0,2.691158915145601,0.23022648992798253,0.06292803747040823,3.919837578993813,2.668636912027428,1.0,0.8333333333333334,12,10
8017,3,HOXD3,8017,1.0,2.691158915145601,-0.27126604738545046,0.027583593659138386,-2.49649685409039,1.5978325244390328,1.0,0.8333333333333334,12,10
8013,3,HOXD3,8013,1.0,2.691158915145601,0.14393069616950216,0.24892175063087577,3.1489404053295185,2.093702438997803,1.0,0.8333333333333334,12,10
8015,3,HOXD3,8015,1.0,2.691158915145601,-0.19043941133493372,0.12561349396643295,-5.869022280655982,4.418418322822931,1.0,0.8333333333333334,12,10
4598,3,ZNF350,4598,-1.0,3.113727303449026,-0.11750339213025783,0.34741084492491603,5.443077621215661,3.9433725255118386,0.7142857142857143,0.4166666666666667,12,7
4599,3,ZNF350,4599,-1.0,3.113727303449026,0.5828410395574576,2.826581324950636e-07,-2.3159137898142768,1.4538571854928581,0.7142857142857143,0.4166666666666667,12,7
4593,3,ZNF350,4593,-1.0,3.113727303449026,0.7085064189541803,2.8337583813750065e-11,-3.9540374561541607,3.1444795333564373,0.7142857142857143,0.4166666666666667,12,7
4590,3,ZNF350,4590,-1.0,3.113727303449026,-0.09479177538879031,0.44899877990788095,2.6999717763362607,1.7690755786866,0.7142857142857143,0.4166666666666667,12,7
4597,3,ZNF350,4597,-1.0,3.113727303449026,-0.20254670702431898,0.1028878571750058,2.9113160181959614,1.943792235100526,0.7142857142857143,0.4166666666666667,12,7
6104,3,SH2D1A,6104,1.0,2.003157808089036,0.3988518943742825,0.0009092843546414708,2.2240644733867443,1.3649507291347676,1.0,0.5,12,6
6103,3,SH2D1A,6103,1.0,2.003157808089036,0.25707128692203324,0.037186303851280016,5.092471596317006,3.877980931512356,1.0,0.5,12,6
6106,3,SH2D1A,6106,1.0,2.003157808089036,0.6120237970984241,4.760474804263333e-08,5.481204782772358,4.018288741427392,1.0,0.5,12,6
6102,3,SH2D1A,6102,1.0,2.003157808089036,0.33301325540131516,0.006291719413131837,2.643169085883222,1.7363731012472612,1.0,0.5,12,6
6109,3,SH2D1A,6109,1.0,2.003157808089036,0.15545350172215847,0.21262735083639378,3.0045698268270256,1.997775247753218,1.0,0.5,12,6
6110,3,SH2D1A,6110,1.0,2.003157808089036,0.2786139233900428,0.023495451553646244,4.342441847564042,3.322253187791277,1.0,0.5,12,6
3221,3,GMEB1,3221,1.0,1.6880408710184565,0.6673416136102704,9.412222194009103e-10,4.216516483830267,3.1305223916331864,1.0,0.16666666666666666,6,1
3906,3,SREBF2,3906,-1.0,3.2481791443660497,0.6932261768082665,1.1129934323804102e-10,-4.687965940120734,3.9651689336583944,1.0,0.6666666666666666,15,10
3907,3,SREBF2,3907,-1.0,3.2481791443660497,0.47078593048742307,6.62863376837598e-05,-2.618921720701984,1.7087937481135809,1.0,0.6666666666666666,15,10
3901,3,SREBF2,3901,-1.0,3.2481791443660497,0.5447239327836344,2.262408384037498e-06,-2.4784243785681785,1.5719990791110023,1.0,0.6666666666666666,15,10
3909,3,SREBF2,3909,-1.0,3.2481791443660497,0.3641582298298717,0.002648388209984089,-5.22001215823021,3.913409448556812,1.0,0.6666666666666666,15,10
3905,3,SREBF2,3905,-1.0,3.2481791443660497,0.5438889468740216,2.361181180695041e-06,-2.7920653097329886,1.9131646944637155,1.0,0.6666666666666666,15,10
3908,3,SREBF2,3908,-1.0,3.2481791443660497,0.6278885293810668,1.6718684238278856e-08,-4.1826258012701,3.523545115334953,1.0,0.6666666666666666,15,10
3903,3,SREBF2,3903,-1.0,3.2481791443660497,0.4113766830184742,0.0006003468863459495,-4.1585821573012405,3.174664407027156,1.0,0.6666666666666666,15,10
3904,3,SREBF2,3904,-1.0,3.2481791443660497,0.31643878509550155,0.009638672660127036,-3.5480944930809923,2.6846872568311966,1.0,0.6666666666666666,15,10
3898,3,SREBF2,3898,-1.0,3.2481791443660497,-0.267383362905751,0.029975504205476036,4.152981917563757,2.8349338937591195,1.0,0.6666666666666666,15,10
3896,3,SREBF2,3896,-1.0,3.2481791443660497,-0.30082454858574265,0.01411367450337048,2.5903519777434507,1.6681443228480894,1.0,0.6666666666666666,15,10
5599,3,KLF16,5599,1.0,2.5306383728232125,-0.13904602859826742,0.26551466797340173,-2.9692712361650413,2.016815011085578,0.6666666666666666,0.4,25,15
5593,3,KLF16,5593,1.0,2.5306383728232125,0.4609330967539924,9.82936326850294e-05,3.385035806390516,2.2829297609976,0.6666666666666666,0.4,25,15
5597,3,KLF16,5597,1.0,2.5306383728232125,0.5271892286817661,5.420557167510897e-06,4.496572016027288,3.258006385626394,0.6666666666666666,0.4,25,15
5612,3,KLF16,5612,1.0,2.5306383728232125,0.3773927564972342,0.0017855677174760747,3.0556751721359117,2.063678804496303,0.6666666666666666,0.4,25,15
5609,3,KLF16,5609,1.0,2.5306383728232125,0.2728525206137147,0.02665359516417418,2.4428280870366144,1.5393695954943993,0.6666666666666666,0.4,25,15
5598,3,KLF16,5598,1.0,2.5306383728232125,0.4692829558501201,7.044704557611917e-05,2.592239071561668,1.656597935352619,0.6666666666666666,0.4,25,15
5589,3,KLF16,5589,1.0,2.5306383728232125,0.3396931426782174,0.005263503318234166,3.9177781957037827,2.648337798991372,0.6666666666666666,0.4,25,15
5590,3,KLF16,5590,1.0,2.5306383728232125,0.06231082350485337,0.6191700982195024,4.7200809715606695,3.505321716856377,0.6666666666666666,0.4,25,15
5588,3,KLF16,5588,1.0,2.5306383728232125,0.14714539192151133,0.23839615331589553,2.602334956576024,1.703550815600525,0.6666666666666666,0.4,25,15
5603,3,KLF16,5603,1.0,2.5306383728232125,0.36582820164909724,0.002522133649352487,3.9295015072909396,2.895827215446513,0.6666666666666666,0.4,25,15
8851,3,HOXB4,8851,-1.0,3.7192200522372074,0.3289218244442126,0.007005225518702283,-2.591675087510125,1.8701029387221968,1.0,0.6153846153846154,13,8
8855,3,HOXB4,8855,-1.0,3.7192200522372074,-0.2675921093831542,0.029842620525014515,4.584686770428132,3.31901311209414,1.0,0.6153846153846154,13,8
8854,3,HOXB4,8854,-1.0,3.7192200522372074,-0.37008662978812235,0.0022241674727788746,4.9208189438576735,3.627360778726749,1.0,0.6153846153846154,13,8
8856,3,HOXB4,8856,-1.0,3.7192200522372074,0.4908673416136103,2.858105444738457e-05,-5.816388542919249,5.014000612347133,1.0,0.6153846153846154,13,8
8859,3,HOXB4,8859,-1.0,3.7192200522372074,0.2562780503079011,0.0377961137420913,-5.042140811226047,3.7848092594648466,1.0,0.6153846153846154,13,8
8857,3,HOXB4,8857,-1.0,3.7192200522372074,0.49270431061475845,2.6393913346499898e-05,-2.510686441897971,1.6521344787533687,1.0,0.6153846153846154,13,8
8848,3,HOXB4,8848,-1.0,3.7192200522372074,-0.23882684479699406,0.05345660711129387,3.018537384611066,2.048844801251529,1.0,0.6153846153846154,13,8
8853,3,HOXB4,8853,-1.0,3.7192200522372074,-0.27151654315833423,0.027434960535160403,4.457261785664284,3.189392671766294,1.0,0.6153846153846154,13,8
6095,3,OTX1,6095,1.0,2.27337299967797,-0.11166141445949317,0.3720687389720505,-6.0807074034854915,5.457176724450823,1.0,0.625,24,15
