,Regulon_ID,Regulator,Gene
0,0,ETS1,UVRAG
1,0,ETS1,TEX10
2,0,ETS1,RELL1
3,0,ETS1,RANBP6
4,0,ETS1,DNAJC10
5,0,ETS1,EXOC6
6,0,ETS1,PIK3C3
7,0,ETS1,KLHL28
8,0,ETS1,DHX8
9,0,ETS1,QSER1
10,0,ETS1,USP32
11,0,ETS1,CNOT6L
12,0,ETS1,ADAM9
13,0,ETS1,SLC4A1AP
14,0,ETS1,COG3
15,0,ETS1,ABCB10
16,0,ETS1,SERINC3
17,0,ETS1,MIEF1
18,0,ETS1,RNF168
19,0,ETS1,KDM3B
20,0,ETS1,ASB7
21,0,ETS1,SNX1
22,0,ETS1,SOCS7
23,0,ETS1,SMC5
24,0,ETS1,ZSCAN20
25,0,ETS1,TM9SF3
26,0,ETS1,TIAM2
27,0,ETS1,ZNF792
28,0,ETS1,MSMP
29,0,ETS1,MAP3K4
30,0,ETS1,PABPC4L
31,0,ETS1,CTR9
32,0,ETS1,MED17
33,0,ETS1,SUPT6H
34,0,ETS1,ATL2
35,0,ETS1,ACER2
36,0,ETS1,LRCH1
37,0,ETS1,RPRD2
38,0,ETS1,LACC1
39,0,ETS1,ZNF790
40,0,ETS1,DICER1
41,0,ETS1,NSD1
42,0,ETS1,NUP54
43,0,ETS1,ACTR6
44,0,ETS1,SON
45,0,ETS1,CEP97
46,0,ETS1,SPTAN1
47,0,ETS1,FGL2
48,0,ETS1,AP1G1
49,0,ETS1,ZBTB4
50,0,ETS1,MYNN
51,0,ETS1,TMF1
52,0,ETS1,SLFN12
53,0,ETS1,KLHL24
54,0,ETS1,BTBD7
55,0,ETS1,ITGA4
56,0,ETS1,PTPN11
57,0,ETS1,AKAP13
58,0,ETS1,SLC26A2
59,0,ETS1,ZFYVE16
60,0,ETS1,PRKAR1A
61,0,ETS1,TOR1B
62,0,ETS1,PTPRG
63,0,ETS1,BMPR2
64,0,ETS1,BRWD1
65,0,ETS1,TRIP12
66,0,ETS1,REEP3
67,0,ETS1,UGGT2
68,0,ETS1,DNAJC13
69,0,ETS1,PRDM10
70,0,ETS1,ZNF280D
71,0,ETS1,THOC2
72,0,ETS1,ZIK1
73,0,ETS1,TSPYL4
74,0,ETS1,AIDA
75,0,ETS1,DDX18
76,0,ETS1,FAF2
77,0,ETS1,ALG10
78,0,ETS1,TM9SF2
79,0,ETS1,GIN1
80,0,ETS1,APBA1
81,0,ETS1,MTRF1L
82,0,ETS1,ZNF366
83,0,ETS1,TBK1
84,0,ETS1,DYNC1LI2
85,0,ETS1,SHROOM4
86,0,ETS1,RSC1A1
87,0,ETS1,CREBRF
88,0,ETS1,CNST
89,0,ETS1,NIPBL
90,0,ETS1,CREB3L2
91,0,ETS1,SRP72
92,0,ETS1,SLF2
93,0,ETS1,PWP1
94,0,ETS1,IDE
95,0,ETS1,ASH1L
96,0,ETS1,MGAT5
97,0,ETS1,MED23
98,0,ETS1,DOCK7
99,0,ETS1,CLCN3
100,0,ETS1,CTCF
101,0,ETS1,RDX
102,0,ETS1,DDI2
103,0,ETS1,CMTR2
104,0,ETS1,RSF1
105,0,ETS1,ZNF462
106,0,ETS1,SIN3A
107,0,ETS1,PIGM
108,0,ETS1,USP38
109,0,ETS1,ARFGEF2
110,0,ETS1,JAK2
111,0,ETS1,USP37
112,0,ETS1,LIN9
113,0,ETS1,CEBPZ
114,0,ETS1,CAMSAP1
115,0,ETS1,ZNF222
116,0,ETS1,BBOF1
117,0,ETS1,MAPK14
118,0,ETS1,NSUN3
119,0,ETS1,ZNF561
