,Coefficient
NFATC4,0.0
TBX5,0.0
HOXB8,0.044700806433005585
PAX5,0.0
BACH2,0.07383289773908291
TBX15,0.0
HOXA11,0.005567446777652025
POU3F3,0.0
HOXB6,0.0021304364330715924
ETV4,0.09283501720196685
TCF21,0.007865620571028268
HNF1A,0.0
HOXA13,0.0
GTF2I,0.02960928143359844
NR4A2,0.0
FOXO3,0.0
TFAP2A,0.3001392106385474
SHOX2,-0.031155268646429906
TFAP2E,-0.004933578851025513
DMRT2,0.11217651143251657
USF1,0.0
MTF1,0.010208951728920999
LEF1,0.0008670397382271361
ERF,-0.10155732016705725
HNF1B,1.8306425923301115e-05
XBP1,0.0
NFIA,0.0
GABPA,0.0
BPTF,0.04634786471936111
FOXL1,-0.0004369513473756665
NR3C2,0.055706905351322
MZF1,-0.0014910990037086424
ZEB1,0.0
RFX3,0.0
HOXC11,0.0
NR0B1,0.08683125717898246
HBP1,0.0
GATA6,0.0
CEBPD,-0.00838380520531402
MTERF1,0.0
GMEB1,0.0
MAF,-0.00237164135084157
CREB5,0.0
FOXD1,0.0
MGA,0.0
TBX18,0.0
LMX1B,0.009685739929224661
EN1,0.0
HENMT1,0.0
HOXB7,0.0
MSX2,0.0
FOXG1,0.0
