,Coefficient
SIX1,0.0724269085067658
E2F1,0.0031762931042021115
HSF1,0.009705021580352885
TBX5,0.006643545403001827
PRRX1,0.0
ARID5A,0.0
HOXC9,0.0
ARID3A,0.001871088388222455
IRF6,0.0
ID4,0.0
SOX2,0.19829574742654255
LHX1,0.00013615750792415033
PRRX2,0.0026774180214103327
HOXA11,0.003664075047687466
TEAD1,0.0
SOX18,0.0
RBPJ,0.0003205690702915133
NR4A2,0.0
FOXO3,0.0
FOXP1,0.0
PBX1,0.003706746345278365
NR2C2,0.0
SHOX2,0.35740337290246316
TFAP2E,0.0
E4F1,0.0
NFE2L2,-0.0018974328652509801
FOXC1,0.0
ATF1,0.0
EHF,0.0
ZNF589,5.701109928948191e-05
XBP1,0.0
NFIA,0.0
ETV3,0.0
RARG,0.0
FOS,0.0
MZF1,0.0
RFX3,0.0
MEOX2,-0.00044410486831069696
PARP1,0.0
HMGA1,0.018548725847662283
GATA3,0.04156414151776192
SOX11,0.0
BORCS8-MEF2B,0.0
GATA6,0.0008397501354181982
DLX1,0.00722258290839373
HES1,0.0017160284033426664
MEF2A,-0.001603858808980127
HES7,0.0017861859235375327
TFAP2C,0.0020362335367946293
CEBPD,0.0
ZBTB18,0.0
GMEB1,0.04325315387617484
MAF,0.0
EN1,0.04199524419747641
EMX2,0.0012132474887515366
PPARA,0.0
NF1,0.0
DLX5,0.0
HOXC10,0.002246003931584705
MESP1,0.0
HENMT1,0.0
HES5,0.0
