,Coefficient
SIX1,0.08754212907683603
NFATC4,0.0
PRRX1,0.0
HLX,-0.00014539435204058987
BACH2,0.0
PAX8,0.0
ARID3A,0.007114666163002745
IRF6,0.0666562818405666
ID4,0.0
SOX2,0.0
HOXA11,0.00051583497174723
ETV4,0.0016290795257240627
TCF21,-0.00033567941843603427
FOXI1,0.4076805217609975
HOXA13,0.0
ZNF524,-0.000288941262789849
SOX8,0.0018280690438728909
TFAP2A,0.0764080728891165
PBX1,0.0
TCF3,-0.00015784894431950672
TFAP2E,0.0
HLTF,0.0
SMAD4,0.0
HNF1B,-0.0338254672683194
XBP1,0.0
NFIA,0.0
ETV3,0.0
HOXB5,0.016925045047070014
FOXL1,-0.00043906738784883325
HOXD3,0.0
MZF1,0.0
FOS,0.0
HBP1,0.0
DLX1,0.0029885653030702853
SOX11,-7.778601317038971e-05
HES1,0.0
MEF2A,0.0
CEBPD,-6.324534569487124e-05
TFAP2C,0.014154567637026862
TBX2,0.0
ESRRG,0.0
ZBTB18,0.0
GMEB1,-0.0006023406625547776
MAF,-0.019483130615468844
FOXJ3,0.0
EMX2,0.0
TFEC,-0.03529271255635315
RORA,0.0
MSX2,0.0
FOXG1,0.053067216996788645
