,out_degree_aligned
NFIA,15
POU3F3,14
TEAD1,14
PBX1,11
ZNF143,11
GTF2I,11
CLOCK,10
HBP1,10
ZEB1,9
TFEC,9
PARP1,8
GLIS3,8
RORA,8
EMX2,8
IRF6,7
ATF1,7
NF1,7
MEF2A,7
SMAD4,6
KLF15,6
GABPA,6
ETV3,6
GMEB1,5
MTF1,5
LBX2,5
MAF,5
ATF2,4
BACH1,4
PAX8,4
ESRRG,4
FOXO3,3
NFE2L2,3
CREB5,3
BDP1,3
RFX3,3
ZNF148,3
PRDM4,3
HNF1B,3
CDC5L,3
ID4,3
ZBTB18,2
HOXC10,2
ZKSCAN3,2
FOXJ3,2
BBX,2
MAFG,2
NR3C2,2
MGA,2
FOXC1,2
BPTF,2
ELF2,1
HLF,1
HSF2,1
DMRTA1,1
CEBPZ,1
PPARA,1
HNF1A,1
HLTF,1
MTERF1,1
ZBTB33,1
XBP1,1
VBP1,1
YY1,0
FOXJ2,0
AR,0
HDX,0
