,out_degree_aligned
ETV4,18
PRRX1,15
DLX1,14
NFATC4,13
HMGA1,12
HOXA11,12
TFAP2C,11
SIX1,9
DLX5,9
HES1,9
HOXD11,9
TFAP2A,9
SHOX2,9
FOXP1,8
USF1,8
EBF1,8
MSC,8
FOS,7
GATA6,7
FOSL1,7
HOXB5,7
ZNF524,7
TFAP2E,7
TCF3,7
FOXG1,7
TCF21,7
WT1,7
MZF1,7
EHF,7
HOXD12,6
SOX2,6
FOXL1,6
CNOT3,6
HIC1,6
ZNF589,6
ZNF423,6
E4F1,5
GLI2,5
HES7,5
MAZ,5
RARG,5
HLX,5
CREB3L1,5
HOXD10,4
ARID5A,4
TBX15,4
BATF3,4
BORCS8-MEF2B,4
MSX2,4
TEAD4,4
LHX1,4
MAFF,4
FOXI1,4
ARID3A,4
LEF1,4
TEAD3,4
DMRT2,3
RBPJ,3
TBX5,3
ERF,3
HOXB8,3
NR2C2,3
ZBTB7A,3
BACH2,3
CREM,3
FOXD1,3
LHX9,3
TFAP2B,3
EWSR1,3
HOXA13,3
TBX2,3
EN1,3
GATA3,3
SPIB,3
HOXC9,3
IRF7,3
HOXB6,3
HOXC11,3
SOX8,3
MNX1,2
SOX5,2
TCF7,2
ATF5,2
SOX12,2
IRF3,2
ELK1,2
E2F1,2
HSF1,2
TNFRSF4,2
ZNF784,2
MEOX2,2
PKNOX2,2
SOX11,2
CEBPD,2
HOXD3,2
NKX3-2,2
NR0B1,2
HENMT1,2
HOXB13,1
ATF3,1
TFCP2L1,1
POU2F3,1
ETV2,1
HOXB7,1
TBX1,1
PLAGL1,1
ONECUT2,1
SOX18,1
MEIS3,1
LMX1B,1
DLX4,1
TNFRSF25,1
EVX1,1
PRRX2,1
TCF7L1,0
HES5,0
NR4A2,0
AIRE,0
CDX1,0
PITX2,0
PAX5,0
MESP1,0
TBX18,0
CPEB1,0
HOXB9,0
EN2,0
RXRA,0
VAX2,0
