,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2381,13,PRRX2,R-2381,-1.0,4.49424586588277,0.4026797291024636,1.3883016063098944e-22,-3.109575640578502,2.0408922074137172,0.5882352941176471,0.4,25,17
2384,13,PRRX2,R-2384,-1.0,4.49424586588277,0.4053665336743262,6.836809628215507e-23,-2.613853013020759,1.6318803458968718,0.5882352941176471,0.4,25,17
2391,13,PRRX2,R-2391,-1.0,4.49424586588277,0.5605208594806547,3.0132991077648553e-46,-3.6813693531860414,2.4974458836164612,0.5882352941176471,0.4,25,17
2390,13,PRRX2,R-2390,-1.0,4.49424586588277,0.2341827469325711,3.3631809970073544e-08,-4.317192379497801,2.946649142127349,0.5882352941176471,0.4,25,17
2375,13,PRRX2,R-2375,-1.0,4.49424586588277,0.2628617080767764,4.942807843396633e-10,-3.8674760300955864,2.653689173582447,0.5882352941176471,0.4,25,17
2371,13,PRRX2,R-2371,-1.0,4.49424586588277,0.5993807015522803,2.910506551169666e-54,-5.457501772221671,3.8767185726593607,0.5882352941176471,0.4,25,17
2387,13,PRRX2,R-2387,-1.0,4.49424586588277,0.3389339471203111,4.609473698673438e-16,-8.524008090375625,5.689878407023237,0.5882352941176471,0.4,25,17
2393,13,PRRX2,R-2393,-1.0,4.49424586588277,0.3667689486729421,9.859329297476065e-19,-3.4465364381410977,2.32028818562777,0.5882352941176471,0.4,25,17
2380,13,PRRX2,R-2380,-1.0,4.49424586588277,0.380869444772777,3.452636759472647e-20,-3.0737019047586664,2.01110111906565,0.5882352941176471,0.4,25,17
2388,13,PRRX2,R-2388,-1.0,4.49424586588277,0.3560629539889879,1.1274875121852016e-17,-3.4677291475370855,2.3248941814317767,0.5882352941176471,0.4,25,17
4513,13,RBPJ,R-4513,-1.0,2.186692052863609,0.3627579398153422,2.4831892845975587e-18,-3.901425493938483,2.6540223418388487,1.0,0.8181818181818182,11,9
4510,13,RBPJ,R-4510,-1.0,2.186692052863609,0.3496082858537392,4.6883825572017506e-17,-6.324179768631674,4.458407358055506,1.0,0.8181818181818182,11,9
4511,13,RBPJ,R-4511,-1.0,2.186692052863609,0.4956518095811442,5.221360193851583e-35,-3.964886565346794,2.677753431318062,1.0,0.8181818181818182,11,9
4509,13,RBPJ,R-4509,-1.0,2.186692052863609,-0.4104382053732789,1.763961520247281e-23,4.666331003981891,3.300781798157447,1.0,0.8181818181818182,11,9
4514,13,RBPJ,R-4514,-1.0,2.186692052863609,-0.2748992795014073,7.172224251474416e-11,3.5727175145551153,2.4253657959623935,1.0,0.8181818181818182,11,9
4517,13,RBPJ,R-4517,-1.0,2.186692052863609,0.1567176630086093,0.0002462263831163,-4.925912356810084,3.4641566868393903,1.0,0.8181818181818182,11,9
4515,13,RBPJ,R-4515,-1.0,2.186692052863609,0.2202348366106345,2.1723785034388213e-07,-4.118457192184832,2.847713444843506,1.0,0.8181818181818182,11,9
4512,13,RBPJ,R-4512,-1.0,2.186692052863609,0.1670579660785233,9.17649650132032e-05,-3.6267299885577025,2.460639235206791,1.0,0.8181818181818182,11,9
