,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
153,3,HSF1,153,-1.0,1.8084694838571749,0.4903131284725263,3.4620180830573507e-34,-3.092744438987174,2.46685796207515,0.8888888888888888,0.64,25,18
146,3,HSF1,146,-1.0,1.8084694838571749,-0.25239246786358016,2.45205518125766e-09,3.7105691602245754,3.3407650936342437,0.8888888888888888,0.64,25,18
144,3,HSF1,144,-1.0,1.8084694838571749,0.6215095602775983,2.4406976877381243e-59,-4.527110473495512,4.410694780613798,0.8888888888888888,0.64,25,18
138,3,HSF1,138,-1.0,1.8084694838571749,-0.251047379258323,2.996849068008989e-09,4.532938005466673,4.5209536903455625,0.8888888888888888,0.64,25,18
148,3,HSF1,148,-1.0,1.8084694838571749,-0.2468578622250311,5.55695060103698e-09,6.7046312099465135,8.766662004484463,0.8888888888888888,0.64,25,18
156,3,HSF1,156,-1.0,1.8084694838571749,0.2346433843766452,3.155741184609966e-08,-4.120789244550409,3.852971181553318,0.8888888888888888,0.64,25,18
147,3,HSF1,147,-1.0,1.8084694838571749,-0.32526065307776897,7.589156341650642e-15,3.9359924059459845,3.7079959105346063,0.8888888888888888,0.64,25,18
137,3,HSF1,137,-1.0,1.8084694838571749,0.5245527764019922,1.0220735598321892e-39,-6.504943127352849,7.369006470643096,0.8888888888888888,0.64,25,18
154,3,HSF1,154,-1.0,1.8084694838571749,-0.22179683630602964,1.7733181541164505e-07,6.055066811744857,6.83414333321745,0.8888888888888888,0.64,25,18
136,3,HSF1,136,-1.0,1.8084694838571749,-0.37998550728113717,4.2806899689109663e-20,11.399472715633038,17.35613715525982,0.8888888888888888,0.64,25,18
140,3,HSF1,140,-1.0,1.8084694838571749,0.15138925032409245,0.0004000952978433808,-9.315243442972271,12.603973725223453,0.8888888888888888,0.64,25,18
142,3,HSF1,142,-1.0,1.8084694838571749,0.41866501192636235,1.864010552712475e-24,-5.639310847001588,6.011322739163093,0.8888888888888888,0.64,25,18
139,3,HSF1,139,-1.0,1.8084694838571749,-0.4008219386305011,2.257158932803414e-22,7.395257622283676,9.573734946342373,0.8888888888888888,0.64,25,18
141,3,HSF1,141,-1.0,1.8084694838571749,0.27147194936362756,1.2548407500247446e-10,-2.8691999942158817,2.2061509636984105,0.8888888888888888,0.64,25,18
151,3,HSF1,151,-1.0,1.8084694838571749,0.21115560095314964,6.863871717871756e-07,-2.7013666151374185,2.0384327779202365,0.8888888888888888,0.64,25,18
