,state
a45f3a18-fe01-4651-8421-bec9219d9201,9.0
f0eef94b-586d-415f-813a-e79579430608,3.0
ae16a3e7-f95e-4526-9137-b640bca5f014,1.0
3cad86f5-c320-492b-a32e-92e4b1b7f01e,1.0
1df936ab-8850-45f5-827a-2dc578388f24,5.0
3d8ef19b-a881-43c2-9acb-8a566954de28,2.0
95b78c91-c27c-412d-971f-8c37faa12d2f,3.0
38d5af7e-b3b6-4851-afb7-c7152b8eae30,2.0
69c63329-4865-4fb8-9e32-2ab1a2a9223b,13.0
8ef69d81-54be-42d0-a389-935020bbdd3d,4.0
8a99f72a-150f-4dea-9b61-a90abe17aa3d,9.0
e3671e10-825d-499b-b949-d5033855c744,2.0
0fb01e6c-e213-43f9-a97a-f0b7b5abce4f,2.0
b4229a89-9c48-4101-9a8f-19232a64a752,2.0
5b967921-b13c-4a5b-ae88-3020a285d454,9.0
6967bd1c-72c5-489c-a7bd-fd33445dd759,1.0
c20d869d-66bc-4c91-b837-0586f49a2060,9.0
73a5db69-a72b-41d5-86ff-73f83e249e64,2.0
3269681b-7e1a-4f7f-bfce-546d884e7267,13.0
05fe386b-0f67-44f5-9f3b-26e0fb3ecc69,9.0
b4be3c65-c5a6-4151-93eb-6427d2c55d6b,1.0
38ea4b66-bf10-4d01-8885-e0e60de1d471,6.0
a9b1912a-4b6c-4f73-b4f8-e3e2b0fd4174,1.0
cb5ad1bd-e50a-408c-8b00-1e7de1032977,1.0
3389c364-a82a-4b4e-9f8a-9f6b35a5d083,6.0
c0acbbbf-0683-4855-bb13-34563bb6c598,1.0
06e8b83e-8c3a-4b00-916d-1eaa2dac13a7,1.0
4f9d5bdc-2334-44fc-8090-aac052220bae,2.0
b2220aca-6b79-46a1-9868-502a4737a5b1,1.0
713aaac1-8592-4341-a5c1-fa653ee47ab5,10.0
55cafd5b-fa38-4f15-9ee3-d3f246226ab9,9.0
aed0c605-4800-4acb-932b-e70a79045cba,9.0
5c520e9a-b1a5-444c-8a56-699e5199cfbd,1.0
3e0752f9-7be8-4504-839e-5154bd4305c6,1.0
70e344ff-324b-4a62-a27a-aae14fc240c7,1.0
eabdcde3-9da0-4e91-96e7-46dbfb39f0d3,7.0
4ccdd956-ab6a-4d76-9912-fcfd3b2c8ed5,2.0
bcec247e-8308-4c8b-86c5-534cc3992ed5,3.0
0ecd4011-e7f3-4a87-917e-1f34d1129eda,7.0
82c9425b-47c3-431e-adcd-7953460febdf,9.0
74c33093-6863-4a92-8031-276a7ed30ee6,9.0
024e382a-6d24-48d0-8568-6297a71462e7,3.0
4274ed54-92c4-436a-915d-1cf855611bec,1.0
961bc50b-2ac4-494d-925a-598b5bf7e1f2,9.0
a8d9c649-f890-448b-bf5b-427d1c2715f4,13.0
b762920a-1e89-4ee8-a39a-153e76f9e3f6,3.0
777646e6-f734-4f24-b887-fd8dd9e906f9,5.0
28dd335d-6972-429a-979a-3665876b3bfb,11.0
d8a7179d-32b4-4bbe-8e83-628962bdd2fe,9.0
0d1385c0-d3b6-40f2-a10c-4a78cd161a04,1.0
97e25ccb-1d3a-435a-9273-75dd8b25610a,2.0
50b7c59d-ecb0-44c1-b350-01cb48ae1c0a,9.0
