,Regulon_ID,Regulator,Gene
0,0,ETS1,CRIM1
1,0,ETS1,DBR1
2,0,ETS1,SRP72
3,0,ETS1,MYLIP
4,0,ETS1,KDM5A
5,0,ETS1,ZNF136
6,0,ETS1,LCOR
7,0,ETS1,DNMT1
8,0,ETS1,ARID4A
9,0,ETS1,NCOA7
10,0,ETS1,KRR1
11,0,ETS1,TMEM161B
12,0,ETS1,INPP5F
13,0,ETS1,MIEF1
14,0,ETS1,ISOC1
15,0,ETS1,RNMT
16,0,ETS1,CANX
17,0,ETS1,TNKS2
18,0,ETS1,ZNF790
19,0,ETS1,SPTAN1
20,0,ETS1,RSF1
21,0,ETS1,ZNF543
22,0,ETS1,EIF4G2
23,0,ETS1,PCNT
24,0,ETS1,TJP1
25,0,ETS1,RYK
26,0,ETS1,FRK
27,0,ETS1,SEC24C
28,0,ETS1,RAD50
29,0,ETS1,PUM2
30,0,ETS1,BICD2
31,0,ETS1,C1GALT1C1
32,0,ETS1,SMARCC2
33,0,ETS1,WDR26
34,0,ETS1,ATM
35,0,ETS1,TBCK
36,0,ETS1,SGTB
37,0,ETS1,TRIO
38,0,ETS1,MLLT10
39,0,ETS1,PPP4R3A
40,0,ETS1,ZSCAN20
41,0,ETS1,AFF4
42,0,ETS1,SAV1
43,0,ETS1,TP53BP1
44,0,ETS1,CHD2
45,0,ETS1,EGLN1
46,0,ETS1,NPTN
47,0,ETS1,SP2
48,0,ETS1,NIN
49,0,ETS1,SUSD6
50,0,ETS1,PLS3
51,0,ETS1,SYNCRIP
52,0,ETS1,ZNF134
53,0,ETS1,SETX
54,0,ETS1,ZNF217
55,0,ETS1,KIF2A
56,0,ETS1,TXNIP
57,0,ETS1,NBAS
58,0,ETS1,RBAK-RBAKDN
59,0,ETS1,ZFX
60,0,ETS1,STK3
61,0,ETS1,TDRKH
62,0,ETS1,UBE3C
63,0,ETS1,EXOC6
64,0,ETS1,TAB2
65,0,ETS1,QRICH1
66,0,ETS1,ZC3H7B
67,0,ETS1,RAB8B
68,0,ETS1,LGR4
69,0,ETS1,PROSER1
70,0,ETS1,AKAP13
71,0,ETS1,DDX18
72,0,ETS1,CNOT2
73,0,ETS1,PHACTR4
74,0,ETS1,CDK12
75,0,ETS1,ZNF780A
76,0,ETS1,ZNF608
77,0,ETS1,MAGT1
78,0,ETS1,ABI1
79,0,ETS1,PCID2
80,0,ETS1,ERBIN
81,0,ETS1,ARHGEF12
82,0,ETS1,SDE2
83,0,ETS1,SEC24B
84,0,ETS1,RIOK3
85,0,ETS1,CNST
86,0,ETS1,EFR3A
87,0,ETS1,ELK4
88,0,ETS1,STIM1
89,0,ETS1,ZNF585B
90,0,ETS1,RIOK1
91,0,ETS1,CHD4
92,0,ETS1,CCNT1
93,0,ETS1,SEC62
94,0,ETS1,AAMP
95,0,ETS1,PAQR3
96,0,ETS1,TNKS
97,0,ETS1,AHNAK
98,0,ETS1,SMC2
99,0,ETS1,PRKAR1A
100,0,ETS1,ZNF609
101,0,ETS1,CLINT1
102,0,ETS1,CNOT8
103,0,ETS1,SENP7
104,0,ETS1,VEZF1
105,0,ETS1,SP3
106,0,ETS1,CTSO
107,0,ETS1,KDM5B
108,0,ETS1,SLMAP
109,0,ETS1,SART3
110,0,ETS1,GNG12
111,0,ETS1,RB1
112,0,ETS1,TRIP11
113,0,ETS1,LUZP1
114,0,ETS1,CDYL
115,0,ETS1,SETD7
116,0,ETS1,BIRC6
117,0,ETS1,MORC3
118,0,ETS1,LSM12
119,0,ETS1,YME1L1
120,0,ETS1,UBAP2
121,0,ETS1,MED17
122,0,ETS1,RBM43
123,0,ETS1,ZMIZ1
124,0,ETS1,QKI
125,0,ETS1,GNA13
126,0,ETS1,WDR82
127,0,ETS1,MPRIP
128,0,ETS1,PPP3R1
129,0,ETS1,ZNF25
130,0,ETS1,ASXL2
131,0,ETS1,HIVEP1
132,0,ETS1,YPEL2
133,0,ETS1,RNF168
134,0,ETS1,TIAM2
135,0,ETS1,CMTM6
136,0,ETS1,MYO1B
137,0,ETS1,UGGT1
138,0,ETS1,ZC3H11A
139,0,ETS1,LCA5
140,0,ETS1,SMG1
141,0,ETS1,FMR1
142,0,ETS1,ZRANB3
143,0,ETS1,PPP2R2A
144,0,ETS1,ZNF445
145,0,ETS1,ERCC4
146,0,ETS1,ASAP1
147,0,ETS1,CNOT1
148,0,ETS1,MED23
149,0,ETS1,ZDHHC5
150,0,ETS1,KIF5B
151,0,ETS1,SPRED1
152,0,ETS1,TAF1
153,0,ETS1,NSUN3
154,0,ETS1,USP38
155,0,ETS1,DNAJC13
156,0,ETS1,MAN2A1
157,0,ETS1,PPIP5K2
158,0,ETS1,CHSY1
159,0,ETS1,SCAF8
160,0,ETS1,CSDE1
161,0,ETS1,YIPF5
162,0,ETS1,NUP98
163,0,ETS1,RBFOX2
164,0,ETS1,APP
165,0,ETS1,KTN1
166,0,ETS1,GCN1
167,0,ETS1,ZBTB11
168,0,ETS1,BAG4
169,0,ETS1,NUDT21
170,0,ETS1,ZNF197
171,0,ETS1,SLC30A7
172,0,ETS1,ZNF354C
173,0,ETS1,ANKRD13C
174,0,ETS1,ITPR1
175,0,ETS1,DNMBP
176,0,ETS1,ITSN1
177,0,ETS1,MBLAC2
178,0,ETS1,CALCOCO2
179,0,ETS1,SYDE2
180,0,ETS1,SGMS1
181,0,ETS1,PIK3C3
182,0,ETS1,CPT1A
183,0,ETS1,ASH1L
184,0,ETS1,ZXDA
185,0,ETS1,ZNF397
186,0,ETS1,TLN1
187,0,ETS1,VCPIP1
188,0,ETS1,SIN3A
189,0,ETS1,MLLT3
190,0,ETS1,CDV3
191,0,ETS1,KDM3B
192,0,ETS1,RNASEH1
193,0,ETS1,FBXW2
194,0,ETS1,TOR1AIP1
195,0,ETS1,MTBP
196,0,ETS1,HMGN4
197,0,ETS1,PIK3R4
198,0,ETS1,FNBP1L
199,0,ETS1,DCUN1D1
200,0,ETS1,FCF1
201,0,ETS1,ZNF462
202,0,ETS1,SCYL2
203,0,ETS1,NUP153
204,0,ETS1,GART
205,0,ETS1,TECPR2
206,0,ETS1,EXTL2
207,0,ETS1,TM9SF3
208,0,ETS1,MAPK9
209,0,ETS1,MYCBP2
210,0,ETS1,MCFD2
211,0,ETS1,MEF2A
212,0,ETS1,MSH3
213,0,ETS1,FCHSD2
214,0,ETS1,ERCC6
215,0,ETS1,PTPRG
216,0,ETS1,RALBP1
217,0,ETS1,TGFBRAP1
218,0,ETS1,TOB2
219,0,ETS1,RAPGEF6
220,0,ETS1,METTL16
221,0,ETS1,PRRC2C
222,0,ETS1,RNF13
223,0,ETS1,KATNAL1
224,0,ETS1,XIAP
225,0,ETS1,ATP11A
226,0,ETS1,ZMAT3
227,0,ETS1,ZNF24
228,0,ETS1,RHBDD1
229,0,ETS1,RMI1
230,0,ETS1,ANKRD42
231,0,ETS1,GNAT2
232,0,ETS1,FIP1L1
233,0,ETS1,ARL5B
234,0,ETS1,WDR35
235,0,ETS1,ZFP91
236,0,ETS1,AP4E1
237,0,ETS1,MTOR
238,0,ETS1,IGF2R
239,0,ETS1,REV3L
240,0,ETS1,RNF217
241,0,ETS1,FBXO9
242,0,ETS1,LRRFIP1
243,0,ETS1,PLAA
244,0,ETS1,ZFR
245,0,ETS1,ZNF468
246,0,ETS1,MTMR6
247,0,ETS1,ZNF280D
248,0,ETS1,C3orf38
249,0,ETS1,CTCF
250,0,ETS1,UGGT2
251,0,ETS1,KIAA1328
252,0,ETS1,BRCC3
253,0,ETS1,CHMP1B
254,0,ETS1,BCL2L11
255,0,ETS1,C2CD3
256,0,ETS1,NDC1
257,0,ETS1,SORL1
258,0,ETS1,RSC1A1
259,0,ETS1,R3HDM1
260,0,ETS1,FZD6
261,0,ETS1,AMOTL1
262,0,ETS1,MFSD11
263,0,ETS1,LSM14A
264,0,ETS1,FAF2
265,0,ETS1,ABLIM1
266,0,ETS1,SDAD1
267,0,ETS1,STRN
268,0,ETS1,UBE2R2
269,0,ETS1,KCTD7
270,0,ETS1,VCP
271,0,ETS1,SLC25A46
272,0,ETS1,APPL1
273,0,ETS1,PTPN21
274,0,ETS1,CHUK
275,0,ETS1,M6PR
276,0,ETS1,SLC12A2
277,0,ETS1,YAP1
278,0,ETS1,KDR
279,0,ETS1,SLF2
280,0,ETS1,GTF2H1
281,0,ETS1,BAZ2B
282,0,ETS1,GOLPH3L
283,0,ETS1,SLC30A6
284,0,ETS1,VEZT
285,0,ETS1,TRAPPC8
286,0,ETS1,BMPR2
287,0,ETS1,RAB3GAP1
288,0,ETS1,PHAX
289,0,ETS1,ZNHIT6
290,0,ETS1,PPP6R3
291,0,ETS1,ANKRD27
292,0,ETS1,PANK3
293,0,ETS1,PTPN4
294,0,ETS1,BRPF3
295,0,ETS1,UBR1
296,0,ETS1,ZHX1
297,0,ETS1,CTR9
298,0,ETS1,FAM120A
299,0,ETS1,ATP8B1
300,0,ETS1,KMT2C
301,0,ETS1,ANKRD50
302,0,ETS1,LMLN
303,0,ETS1,POGK
304,0,ETS1,POFUT1
305,0,ETS1,SNX1
306,0,ETS1,ALG10
307,0,ETS1,TRAF6
308,0,ETS1,MPDZ
309,0,ETS1,ZMYND11
310,0,ETS1,ADAT1
311,0,ETS1,NPAT
312,0,ETS1,TULP4
313,0,ETS1,TMEM123
314,0,ETS1,PLAGL2
