,Coefficient
NKX2-4,0.0
ELF2,0.00011513815162142156
JUN,-0.00020393803532687245
GATA6,0.0
MYBL1,0.0
SP3,0.0
ELK3,0.0004467577209441544
PARP1,0.003937999387646968
KLF13,0.0
PKNOX1,0.07363943137293986
MGA,-0.00995124484964893
PROX1,0.04296416038894284
SF1,0.0
GLIS3,0.0
BHLHE40,0.0006143859793795526
CEBPB,0.0
TCF7L2,0.016416007537479124
RXRA,0.0
ZNF691,0.0
HMGA1,0.0
CEBPG,0.0
FOS,0.0
NF1,0.0
MAF,-0.013243704382678974
KLF12,0.0
MYB,0.0
PRRX1,0.05339721994712079
CREB3L2,0.0
IKZF2,0.0011317866589784678
EHF,0.09853367080794782
RUNX2,0.0
PRDM4,0.0
ETV6,0.0
NFAT5,0.0
ZBED6,0.0
SOX5,0.006084411534892009
IKZF1,-0.000551624746005424
TFAP2C,0.0
ZFX,0.0
NR4A2,0.00035379359187608615
CTCF,0.0
HOXA6,0.0
HMGA2,0.0
POU2F1,0.0
NFIL3,0.002110211600834682
HOXB6,0.14923206192644625
FOXL1,0.0
ETV2,0.0
REST,0.0
CENPB,0.0
HES1,0.0
SOX4,0.0
MAZ,0.0
CREB1,0.0
KLF15,-0.009451466180062209
DR1,0.007166475720290519
HOXA1,-0.02686743317128757
AHR,-0.009132211946615036
XBP1,0.007051390959238868
TEAD1,0.0
NFKB1,0.0
TBX19,-0.00042410255396586855
FOXO3,0.0
SRF,0.0
HSF2,0.0
GMEB1,0.00028053270451831565
SNAI2,0.0008482557195886882
EBF1,0.08031668440176601
NR3C1,-0.03069679944843238
GTF2A1,0.0
TCF21,-0.00023171307281713335
HBP1,0.0
GLI1,0.0
HOXA11,0.05066276739262875
ETS2,0.0
ETV3,0.00039188482700778035
RORA,-0.00036183308036745666
STAT4,0.0
FLI1,0.0
ETV1,0.0
IKZF3,0.0
ZBTB18,-0.0014149211684620659
DLX5,0.059815761705404855
MEIS2,0.035684466295983375
PKNOX2,0.04924894014818623
HENMT1,0.0
TERF1,0.0014935670967562193
ARNT,0.0
RFX7,0.0
CLOCK,0.0
ARID5A,-9.249470348090488e-05
ZNF281,0.00025471903482282966
BACH1,0.0
RUNX1,0.004222334824617889
NR2F2,0.0
PBX1,0.0
NFE2L2,0.00010168873710003205
FOXC1,-0.1496657655881533
FOXF2,0.09464535719839544
SOX9,0.0
HOXB8,0.0
EWSR1,0.0
GLI3,0.0
MEIS1,0.00016519861175332145
E2F3,0.0
ZKSCAN3,0.0
ZNF143,0.0
KLF7,0.0
FOXC2,0.01421783679820169
ELK4,0.0
NR2F1,0.0025381313983675667
RARB,-0.0001821602022232047
IRF4,-8.149591732225122e-07
ARID3A,0.047929086004720976
CUX1,-0.00024953076830249056
E2F7,0.00040446380121119703
