,Coefficient
MESP1,-0.01797577752410045
JUN,-0.01743695191742761
GATA6,0.0
SP3,-0.0007519571877382976
ELK3,0.0
SATB1,0.0
PARP1,-0.0024348261135110068
TFCP2,0.0009416070084058382
GLI1,0.0
TFAP2A,0.0
NFYA,0.0
ZNF384,0.007351839067209241
REL,0.0
ETV1,0.0
TCF7L2,-0.0005839700103639463
TBX20,0.24431532830540775
STAT6,0.002419628699578489
DLX5,-0.0017099215508428766
MEIS2,0.0
PURA,0.0
FOS,-0.06239506838053363
STAT3,0.0
CLOCK,-0.004032201953628264
PRRX1,0.0
CREB3L2,4.37644591058969e-05
BACH1,-0.004165547535929902
RUNX1,0.0
ZBTB4,0.06710748769848073
IKZF2,0.0
NR2F2,0.0011863407264921066
ELF1,-0.0035648877608158106
FOXC1,0.003257107183294672
EPAS1,0.0
SOX9,0.0
BDP1,0.0
SOX5,-0.004578975197238105
IKZF1,-0.0014343159194846915
GLI3,0.021306783276824413
MEIS1,-0.017247464172600507
SREBF2,0.0
HMGA2,0.014069821702544895
KLF7,0.0
ELK4,0.0
CENPB,0.04284032853253513
RARB,0.11990541182924151
HIVEP2,0.0
PRDM1,-0.03874161533047903
AHR,0.0
TEAD1,0.0
POLR3A,0.0
E2F7,0.0011119037651269228
