,Coefficient
SP1,0.0
BPTF,0.04229798409980959
JUN,0.0
SIRT6,-0.0014232353089039219
ELK3,0.0
NKX3-2,0.0
RARA,0.00046782811525292075
GLIS3,0.0
SF1,0.00027875859556768365
BHLHE40,0.023443454177934607
ESRRA,-0.0023103494250522986
ATF3,3.618519304235356e-05
TCF7L2,0.0874412512775458
KLF4,0.0
HMGA1,0.00019190036480024318
FOS,4.5270128007994584e-05
FOXD2,0.0
ZBTB4,0.0025320268877395634
IKZF2,0.03816503166258971
NR2F6,0.0
GABPA,0.0
HIF1A,0.023373531012856996
BRCA1,0.0
SOX5,0.02421916200997061
IKZF1,-0.00027900570449121783
BACH2,0.03347306154352546
FOXM1,-0.00020327600519012064
NFIL3,-0.0012727458290053124
SPIB,0.0
GTF2I,0.004571890166178008
ELF4,0.0
CREB1,0.057344610879708886
JDP2,0.0
HIVEP2,0.0021127620007138468
DR1,0.0
RAX,0.005866491272893153
AHR,0.006582384419518959
TCF7L1,0.0
SOX7,0.00036379388043803406
EPAS1,0.01944209729360389
ZBTB14,0.0
FOXA1,0.0066129681204282476
FOXA3,0.03858670664092431
LHX6,0.001326716456571896
NR3C1,0.007652510465026125
MEF2A,0.004526243915631014
ETS2,0.0008807124827900996
ETV3,0.03266986950246947
FLI1,0.0
STAT6,-0.0020179402448983162
MEIS2,0.00013076995248949736
PEBP1,-0.003698819683509914
NR2F2,0.001497068357484083
ATF2,0.0
MEF2D,0.010733309657541988
NFE2L2,0.0
SOX12,-0.010779613815171354
GFI1,-0.03243504728428409
GLI3,0.0
MEIS1,0.004359664146365914
PRRX2,0.0
KLF7,0.06017601579965848
NR2F1,0.008247281737726188
ZBTB7A,0.011031455672794684
LBX2,-0.09368550883306154
IRF4,0.0
SP100,0.0011875343878918884
ARID3A,0.0015349110571686705
IRF6,0.10508734852306764
SOX13,0.039142315539396136
POLR3A,0.05595646377133803
