,out_degree_aligned
CREB1,15
MEF2D,15
PRRX1,14
ELK4,14
RARA,13
FOXC1,13
ZBED6,12
HES1,12
NR2F2,12
SNAI2,11
ETV3,11
EBF1,11
ZNF143,11
MEIS2,11
RUNX1,11
TFAP2A,10
REST,10
NFAT5,10
ARID5A,10
TEAD1,9
ZIC2,9
FOXO3,9
IKZF2,9
AHR,9
FOXF2,9
ZBTB14,9
GTF2I,8
ELK3,8
CUX1,8
IKZF3,8
GTF2A1,8
BHLHE40,8
SF1,8
ELF4,7
HIVEP2,7
MEIS1,7
ZBTB4,7
ERG,7
ZNF217,7
E2F3,7
HMGA1,7
NF1,7
GLI1,7
PARP1,7
IKZF1,7
LHX6,7
CREB3L2,7
ETV6,7
GATA3,7
CLOCK,7
IRF4,7
JDP2,7
LEF1,7
ETV1,7
GMEB1,7
GMEB2,6
FOXA1,6
HOXD11,6
NFIL3,6
GRHL1,6
PRDM1,6
SOX4,6
HOXB6,6
SOX9,6
SP1,6
HBP1,6
KLF12,6
E2F7,6
NFE2L1,6
RFX7,6
ZFX,6
FLI1,6
NFYA,6
CEBPB,6
ARID3A,6
ETS2,6
ATF1,6
FOS,6
ZBTB7A,6
ZNF282,5
POLR3A,5
KLF7,5
FOXC2,5
BDP1,5
TERF1,5
IRF1,5
GFI1,5
NFKB1,5
ZNF384,5
FOSL1,5
REL,5
EPAS1,5
RFX3,5
MGA,5
RXRA,5
ELF3,5
ELF1,5
ARNT,5
TCF7,5
IRF8,5
RARG,5
NR2F1,5
TBX20,5
NFE2L2,5
SMAD1,5
NR3C1,5
TCF7L2,5
STAT6,5
HMGA2,4
E2F2,4
TFAP2C,4
EHF,4
TCF3,4
ZNF8,4
RARB,4
HIF1A,4
HOXD3,4
MEIS3,4
SP3,4
BPTF,4
HOXA11,4
MYB,4
FOXL1,4
IRF2,4
RUNX2,4
RREB1,4
MAFF,4
ZNF281,4
DLX5,4
FOXM1,4
SOX13,4
CNOT3,4
PAX5,4
KLF13,4
EOMES,4
IRF6,4
TFCP2,4
TCF4,4
SMAD3,4
STAT5B,4
STAT3,4
SP100,3
SMAD4,3
MAFA,3
FOXD2,3
PBX1,3
TBX18,3
PKNOX1,3
HOXD10,3
ELF2,3
PROX1,3
XBP1,3
GATA6,3
ZBTB6,3
PATZ1,3
PEG10,3
PKNOX2,3
SIX4,3
PURA,3
GLI3,3
TFE3,3
ATF3,3
MECP2,3
ZNF350,3
BRCA1,3
RUNX3,3
NKX3-2,3
POU2F1,3
NFATC2,3
STAT4,3
MECOM,3
ATF7,3
STAT5A,3
VENTX,3
TCF21,3
FOXJ2,3
BACH2,3
CTCF,3
DR1,3
SREBF2,2
FOXA3,2
ZKSCAN3,2
GTF2IRD1,2
NR4A2,2
MEF2A,2
FOXP3,2
HOXA6,2
ETV5,2
GSC,2
ATF2,2
THRB,2
EP300,2
HOXA1,2
VBP1,2
RELA,2
SOX5,2
GABPA,2
TCF7L1,2
PRRX2,2
BACH1,2
MTF1,2
JUN,2
SP4,2
ELK1,2
PLAG1,2
SPIB,2
E2F6,1
ZBTB33,1
ZBTB18,1
SOX17,1
TBX21,1
RAX,1
BATF3,1
TBX19,1
HENMT1,1
BCL6B,1
ETS1,1
MAFB,1
NR3C2,1
LMX1B,1
GLI2,1
ZNF148,1
NR5A2,1
SRF,1
FOXO4,1
PRDM4,1
RFX5,1
LHX1,1
SOX7,1
CEBPG,1
SATB1,1
HOXB8,1
HSF2,1
NKX3-1,1
CEBPZ,1
BBX,1
ZNF35,1
GLIS3,1
ZNF740,1
HLTF,1
MYBL1,1
KLF4,1
RORA,1
EWSR1,1
RXRG,1
NFIX,1
IRX3,0
NKX2-4,0
AR,0
YY1,0
YY2,0
ZNF713,0
HDX,0
HIC2,0
HOXB9,0
MYF6,0
HOXD1,0
