,Alt_ID,in_degree,out_degree,out/in
IKZF1,IKZF1,1.0,11.0,11.0
SNAI2,SNAI2,1.0,11.0,11.0
GMEB2,GMEB2,1.0,9.0,9.0
MEIS1,MEIS1,1.0,8.0,8.0
FLI1,FLI1,1.0,7.0,7.0
ELK4,ELK4,2.0,14.0,7.0
HOXB6,HOXB6,1.0,7.0,7.0
HES1,HES1,2.0,13.0,6.5
EBF1,EBF1,2.0,11.0,5.5
PEG10,PEG10,1.0,5.0,5.0
MEF2D,MEF2D,3.0,15.0,5.0
CREB1,CREB1,3.0,15.0,5.0
EPAS1,EPAS1,1.0,5.0,5.0
ZIC2,ZIC2,2.0,9.0,4.5
IRF4,IRF4,2.0,9.0,4.5
AHR,AHR,3.0,13.0,4.333333333333333
NFE2L1,NFE2L1,2.0,8.0,4.0
CLOCK,CLOCK,2.0,8.0,4.0
ETV3,ETV3,3.0,11.0,3.6666666666666665
MGA,MGA,3.0,11.0,3.6666666666666665
RARA,RARA,5.0,18.0,3.6
NF1,NF1,2.0,7.0,3.5
ETV1,ETV1,2.0,7.0,3.5
GLI1,GLI1,2.0,7.0,3.5
TCF7L2,TCF7L2,2.0,7.0,3.5
FOXC1,FOXC1,5.0,17.0,3.4
REST,REST,3.0,10.0,3.3333333333333335
ZBED6,ZBED6,4.0,13.0,3.25
ATF1,ATF1,2.0,6.0,3.0
FOXO3,FOXO3,3.0,9.0,3.0
GFI1,GFI1,2.0,6.0,3.0
FOXM1,FOXM1,3.0,9.0,3.0
TFE3,TFE3,1.0,3.0,3.0
ARID5A,ARID5A,4.0,12.0,3.0
ZNF143,ZNF143,4.0,12.0,3.0
LBX2,LBX2,4.0,12.0,3.0
ZBTB4,ZBTB4,3.0,8.0,2.6666666666666665
GTF2A1,GTF2A1,3.0,8.0,2.6666666666666665
JUN,JUN,3.0,8.0,2.6666666666666665
PRDM1,PRDM1,3.0,8.0,2.6666666666666665
LHX6,LHX6,3.0,8.0,2.6666666666666665
RFX7,RFX7,3.0,8.0,2.6666666666666665
NFAT5,NFAT5,5.0,13.0,2.6
ARNT,ARNT,2.0,5.0,2.5
BDP1,BDP1,2.0,5.0,2.5
HIF1A,HIF1A,2.0,5.0,2.5
PRRX1,PRRX1,6.0,15.0,2.5
NR2F2,NR2F2,6.0,15.0,2.5
ZKSCAN3,ZKSCAN3,2.0,5.0,2.5
HMGA2,HMGA2,2.0,5.0,2.5
NFE2L2,NFE2L2,2.0,5.0,2.5
RUNX1,RUNX1,5.0,12.0,2.4
ELF1,ELF1,3.0,7.0,2.3333333333333335
HIVEP2,HIVEP2,3.0,7.0,2.3333333333333335
