,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
1778,4,ELF2,1778,1.0,2.4660392743227355,0.7356052042112928,1.2283297472994968e-50,6.501973220963063,6.296390107546609,1.0,0.68,25,17
1789,4,ELF2,1789,1.0,2.4660392743227355,0.7798751963510986,1.5111617553013114e-60,7.733379939495051,7.872940409713333,1.0,0.68,25,17
1780,4,ELF2,1780,1.0,2.4660392743227355,0.7457749917892337,9.904065385002357e-53,6.557659203455377,6.020002839422563,1.0,0.68,25,17
1795,4,ELF2,1795,1.0,2.4660392743227355,0.40171251369998656,1.1334570584814074e-12,2.724497317981114,1.942647243765397,1.0,0.68,25,17
1777,4,ELF2,1777,1.0,2.4660392743227355,0.7532971608584464,2.4101264098188435e-54,9.55818485137979,9.578584241166052,1.0,0.68,25,17
1794,4,ELF2,1794,1.0,2.4660392743227355,0.29190449187349393,4.190004417620012e-07,7.187889965597006,7.500325265310659,1.0,0.68,25,17
1779,4,ELF2,1779,1.0,2.4660392743227355,0.6800957492216686,1.0198958976500044e-40,7.70047235550097,8.05489178929881,1.0,0.68,25,17
1783,4,ELF2,1783,1.0,2.4660392743227355,-0.3010508550882765,1.7292274487128002e-07,-3.5456067713879467,2.861495407585598,1.0,0.68,25,17
1771,4,ELF2,1771,1.0,2.4660392743227355,0.7230013395542445,3.5750638349612027e-48,2.6779508189212438,1.9123427184086808,1.0,0.68,25,17
1776,4,ELF2,1776,1.0,2.4660392743227355,0.617501048640949,7.099146072243066e-32,2.8328963302360677,2.073446590939151,1.0,0.68,25,17
1775,4,ELF2,1775,1.0,2.4660392743227355,0.7383807507654156,3.370143064940389e-51,7.237784560333462,6.9401314563671574,1.0,0.68,25,17
1786,4,ELF2,1786,1.0,2.4660392743227355,0.5862088646754995,3.71008015229312e-28,10.365973038686873,11.814295325286647,1.0,0.68,25,17
1787,4,ELF2,1787,1.0,2.4660392743227355,0.18082703021193003,0.0019908150799390987,2.6591089499411367,1.882942732008683,1.0,0.68,25,17
1793,4,ELF2,1793,1.0,2.4660392743227355,0.4397740593905951,3.81319050346174e-15,9.028981522298043,8.863891998744675,1.0,0.68,25,17
1788,4,ELF2,1788,1.0,2.4660392743227355,0.7087437588949969,1.51712146044801e-45,4.69047112557421,4.216787076506946,1.0,0.68,25,17
1792,4,ELF2,1792,1.0,2.4660392743227355,0.6306677966977343,1.4405618077930544e-33,3.3661162379046656,2.6624413242099116,1.0,0.68,25,17
1785,4,ELF2,1785,1.0,2.4660392743227355,0.568609901876729,3.0862438406293673e-26,2.882902267315998,2.096203389688668,1.0,0.68,25,17
1178,4,ZNF35,1178,1.0,2.0059878992259645,0.4338362299605022,9.725195108880359e-15,4.412999338815249,3.885429838191105,1.0,0.8,25,20
1184,4,ZNF35,1184,1.0,2.0059878992259645,0.25371108188994,1.2218288147661966e-05,4.410114903508992,3.9264433356824417,1.0,0.8,25,20
1170,4,ZNF35,1170,1.0,2.0059878992259645,0.48644614659815955,1.2416299662925779e-18,6.891853810541936,7.023974718103759,1.0,0.8,25,20
1165,4,ZNF35,1165,1.0,2.0059878992259645,0.4527316942962543,4.633832554474095e-16,3.360216127428266,2.6350463625945304,1.0,0.8,25,20
1186,4,ZNF35,1186,1.0,2.0059878992259645,0.17064198967473063,0.003559326841302493,6.9079795042590995,6.9533483040672985,1.0,0.8,25,20
1176,4,ZNF35,1176,1.0,2.0059878992259645,0.3697482154652706,7.966413666557604e-11,4.680642727083281,4.158893280137447,1.0,0.8,25,20
1163,4,ZNF35,1163,1.0,2.0059878992259645,0.5043614852938101,4.048785205075298e-20,3.1617494422974763,2.4300246111070747,1.0,0.8,25,20
1173,4,ZNF35,1173,1.0,2.0059878992259645,0.46131615817318755,1.0908006265909366e-16,3.4693336679580846,2.7739104235521945,1.0,0.8,25,20
1166,4,ZNF35,1166,1.0,2.0059878992259645,0.4146760529769717,1.76561589864437e-13,7.057720410137528,6.919583270523588,1.0,0.8,25,20
1171,4,ZNF35,1171,1.0,2.0059878992259645,0.4625949465961914,8.762854143712569e-17,7.539363339429462,7.445878657596626,1.0,0.8,25,20
1185,4,ZNF35,1185,1.0,2.0059878992259645,0.4085187777459324,4.3131330610768283e-13,4.183925707297695,3.488024332070871,1.0,0.8,25,20
1164,4,ZNF35,1164,1.0,2.0059878992259645,0.4432586225347712,2.1824736616772834e-15,6.134462960270064,5.762832240838506,1.0,0.8,25,20
1175,4,ZNF35,1175,1.0,2.0059878992259645,0.38091387367351537,1.9000540255930596e-11,5.287205616911575,5.188668792774786,1.0,0.8,25,20
1167,4,ZNF35,1167,1.0,2.0059878992259645,0.5056845565017585,3.119098323229088e-20,7.911264636113602,7.458278734557215,1.0,0.8,25,20
1180,4,ZNF35,1180,1.0,2.0059878992259645,-0.2807216125822153,1.1863581953418363e-06,-6.334194351326667,6.281132647185432,1.0,0.8,25,20
1187,4,ZNF35,1187,1.0,2.0059878992259645,0.4551160762500353,3.113321420899955e-16,5.760148228944681,5.415286701207983,1.0,0.8,25,20
1172,4,ZNF35,1172,1.0,2.0059878992259645,-0.1776790162333309,0.002390273785581427,-8.06444004864617,8.962406788974056,1.0,0.8,25,20
1182,4,ZNF35,1182,1.0,2.0059878992259645,0.35928911369236005,2.9046427919539117e-10,8.673782139466947,8.712261656681966,1.0,0.8,25,20
1177,4,ZNF35,1177,1.0,2.0059878992259645,0.5319722937375532,1.3724568555795978e-22,6.290324159365367,6.459638187338624,1.0,0.8,25,20
1168,4,ZNF35,1168,1.0,2.0059878992259645,0.48764768616298276,9.930973050593478e-19,8.257495084895208,8.224241637270804,1.0,0.8,25,20
6550,4,BATF3,6550,1.0,7.079122915076882,0.49034844401364397,5.991858905193395e-19,2.8637852761110483,2.1191320635757176,1.0,0.7142857142857143,7,5
6553,4,BATF3,6553,1.0,7.079122915076882,0.2754514691428944,1.907663091180438e-06,4.194073708864465,3.565944757402128,1.0,0.7142857142857143,7,5
6554,4,BATF3,6554,1.0,7.079122915076882,0.47798469045718284,5.8397098319909824e-18,4.142769995278667,3.456671570593544,1.0,0.7142857142857143,7,5
