,Regulon_ID,Regulator,Gene
0,0,ZKSCAN3,ANXA2
1,0,ZKSCAN3,PKM
2,0,ZKSCAN3,CAPZB
3,0,ZKSCAN3,DOK2
4,0,ZKSCAN3,SLC6A12
5,0,ZKSCAN3,G6PD
6,0,ZKSCAN3,TCIRG1
7,0,ZKSCAN3,MAST3
8,0,ZKSCAN3,NAGK
9,0,ZKSCAN3,BCL6
10,1,ZKSCAN3,LMTK3
11,1,ZKSCAN3,RAB40AL
12,1,ZKSCAN3,RRAS2
13,1,ZKSCAN3,SCN9A
14,1,ZKSCAN3,CA8
15,1,ZKSCAN3,ATP8A1
16,1,ZKSCAN3,GREM2
17,1,ZKSCAN3,FOXRED2
18,1,ZKSCAN3,MLLT6
19,1,ZKSCAN3,ANGPTL4
20,2,ZKSCAN3,FURIN
21,2,ZKSCAN3,TMEM160
22,2,ZKSCAN3,SF3B4
23,2,ZKSCAN3,CHCHD5
24,2,ZKSCAN3,FLYWCH2
25,2,ZKSCAN3,PPP1R14B
26,2,ZKSCAN3,PGLS
27,2,ZKSCAN3,AIP
28,3,ZKSCAN3,TSPO
29,3,ZKSCAN3,SELPLG
30,3,ZKSCAN3,IKBKG
31,3,ZKSCAN3,UBTD1
32,3,ZKSCAN3,TCIRG1
33,4,POU2F1,MYO5B
34,4,POU2F1,TUBE1
35,4,POU2F1,ZNF564
36,4,POU2F1,HEATR4
37,4,POU2F1,VEZT
38,4,POU2F1,TEX10
39,4,POU2F1,LRIG2
40,4,POU2F1,THNSL1
41,4,POU2F1,GLIPR1L1
42,4,POU2F1,ADNP
43,4,POU2F1,CA13
44,4,POU2F1,ZNF708
45,4,POU2F1,PNISR
46,4,POU2F1,ZNF845
47,4,POU2F1,TRIM23
48,4,POU2F1,ZNF550
49,4,POU2F1,ZNF10
50,4,POU2F1,ZC3HAV1L
51,4,POU2F1,MRPS30
52,4,POU2F1,ZNF326
53,4,POU2F1,ZNF85
54,4,POU2F1,KDM5B
55,4,POU2F1,ZNF343
56,4,POU2F1,ABCG1
57,4,POU2F1,AMER1
58,4,POU2F1,RCOR3
59,4,POU2F1,ZNF182
60,4,POU2F1,PTPN4
61,4,POU2F1,STAMBPL1
62,4,POU2F1,ZNF737
63,4,POU2F1,C10orf88
64,4,POU2F1,TAMM41
65,4,POU2F1,ZNF302
66,4,POU2F1,PCMTD2
67,4,POU2F1,ZNF345
68,4,POU2F1,COX11
69,4,POU2F1,UBR5
70,4,POU2F1,ZNF235
71,4,POU2F1,FOXJ3
72,4,POU2F1,AK9
73,4,POU2F1,PRPF40B
74,4,POU2F1,CHD6
75,4,POU2F1,ADPRM
76,4,POU2F1,ZNF506
77,4,POU2F1,EDRF1
78,4,POU2F1,ZNF585A
79,4,POU2F1,PTCD2
80,4,POU2F1,ZNF562
81,4,POU2F1,TBCK
82,4,POU2F1,NFATC2
83,4,POU2F1,ATXN2
84,4,POU2F1,KLHL28
85,4,POU2F1,ZNF417
86,4,POU2F1,ZNF665
87,4,POU2F1,ZNF701
88,4,POU2F1,ZNF880
89,4,POU2F1,ELMOD2
90,4,POU2F1,ZNF670
91,4,POU2F1,ZRANB2
92,4,POU2F1,ZNF431
93,4,POU2F1,FANCF
94,4,POU2F1,ZNF397
95,4,POU2F1,TPP2
96,4,POU2F1,TRMT13
