,out_degree_aligned
ELK4,12
NFAT5,8
ETV6,8
GTF2I,7
RFX3,7
MYB,7
IKZF2,7
NF1,7
NFYA,7
ZNF143,6
WT1,6
POLR3A,6
FOXP1,6
RFX7,6
HLTF,6
SF1,6
ZNF8,5
SOX12,5
PARP1,5
SREBF2,5
CNOT3,5
ZFX,5
GATA2,5
HIVEP2,4
ZNF524,4
NR2C2,4
STAT5B,4
ZSCAN26,4
PAX6,4
MZF1,4
HBP1,4
BRCA1,4
CTCF,4
PATZ1,4
CUX1,4
ERG,3
CEBPZ,3
TFAP4,3
STAT5A,3
ZBTB14,3
FOXJ3,3
MYC,3
ATF2,3
KLF16,3
HENMT1,3
HESX1,2
BRF1,2
ZEB1,2
ETV3,2
DEAF1,2
TCF4,2
BPTF,2
NFATC2,2
MECP2,2
DLX1,2
GABPB1,2
HMGA1,2
E2F6,2
SREBF1,2
HIC1,2
SMAD1,1
RFX2,1
RARB,1
LHX6,1
STAT4,1
PLAGL1,1
NFE2L1,1
ALX3,1
MESP1,1
ZNF589,1
RFX4,1
BBX,1
ZNF263,1
ZNF713,1
FOXA3,1
PKNOX1,1
FOXJ2,1
CREM,0
SOX10,0
BARHL1,0
TBX19,0
TNFRSF25,0
PAX5,0
TTF1,0
