,Alt_ID,in_degree,out_degree,out/in
ELK4,ELK4,3.0,13.0,4.333333333333333
NFAT5,NFAT5,2.0,8.0,4.0
IKZF2,IKZF2,2.0,7.0,3.5
NF1,NF1,2.0,7.0,3.5
WT1,WT1,2.0,6.0,3.0
BRCA1,BRCA1,2.0,6.0,3.0
SF1,SF1,2.0,6.0,3.0
GABPB1,GABPB1,2.0,3.0,1.5
PATZ1,PATZ1,3.0,4.0,1.3333333333333333
MZF1,MZF1,3.0,4.0,1.3333333333333333
STAT5A,STAT5A,3.0,3.0,1.0
CNOT3,CNOT3,6.0,5.0,0.8333333333333334
BRF1,BRF1,3.0,2.0,0.6666666666666666
PLAGL1,PLAGL1,2.0,1.0,0.5
E2F6,E2F6,6.0,2.0,0.3333333333333333
LHX6,LHX6,6.0,1.0,0.16666666666666666
