,Source,Edge,Target
0,FOXJ3,0.3905332281547584,NFATC2
1,GATA2,0.3221370315567012,NFATC2
2,HBP1,0.2559734562555105,CUX1
3,ETV6,0.1487702303573086,CUX1
4,STAT4,-0.0543990869589288,CUX1
5,GTF2I,0.3030188420368822,CUX1
6,ATF2,0.1631807343371966,ZSCAN26
7,ETV6,0.0983364282235913,ZSCAN26
8,BCL6,-0.1116858656151038,ZSCAN26
9,HIVEP2,0.0981420419098591,ZSCAN26
10,NFATC2,0.0880313022495552,ZSCAN26
11,POLR3A,0.1600367105719906,ZSCAN26
12,RARA,-0.2224294943353085,HLTF
13,MYB,0.1248251700655988,HLTF
14,CEBPB,-0.1698236784435473,HLTF
15,BRCA1,0.272215776041715,HLTF
16,PAX6,0.177061391088011,TTF1
17,HBP1,0.0374860838405902,TTF1
18,E2F6,0.3286237632596402,TTF1
19,ZSCAN26,0.0817879513245303,TTF1
20,RFX3,0.0129594679053102,TTF1
21,GTF2I,0.040492069154965,TTF1
22,ZNF143,0.0315457013716843,TTF1
23,GABPB1,0.2261708652751387,SMAD1
24,IKZF2,0.2854502695337441,SMAD1
25,TCF4,0.2594092656340913,SMAD1
26,TFEB,0.263810432284242,RARA
27,BRCA1,-0.1818303570588824,RARA
28,JDP2,0.2446542114550405,RARA
29,NFE2L1,0.1676141233186966,RARA
30,EGR2,0.1678802398069437,RARA
31,ZNF143,0.2204386045578427,ZFX
32,NFAT5,0.2827771739547283,ZFX
33,RFX3,0.1965498402306674,ZFX
34,RARA,-0.112824689562549,ZFX
35,HMGA1,-0.0389971636386571,ID4
36,RFX2,0.2759230063306896,NFE2L1
37,ERG,-0.1087504157799887,NFE2L1
38,STAT5A,0.2552161396430878,NFE2L1
39,STAT5B,0.1330667332129077,NFE2L1
40,TFEB,-0.1329068232812991,GABPB1
41,ELK4,0.5212198520376272,GABPB1
42,SIX1,0.3974105273991365,DLX6
43,SREBF2,-0.0763928494051049,DLX6
44,MYB,0.0684031829734823,DLX1
45,SREBF2,0.0427104434013829,DLX1
46,HIVEP2,0.0285238505306483,DLX1
47,NR4A2,-0.0574861737149102,DLX1
48,NR2F2,0.0451448875846722,DLX1
49,STAT5B,0.0759780593832245,DLX1
50,PRRX1,-0.1013480190388775,HESX1
51,FOXP1,0.0847437759446328,HESX1
52,ETV6,0.1821615852933262,HESX1
53,BCL6,-0.1265361609129178,HESX1
54,TCF4,0.0822814282513946,HESX1
55,GTF2I,0.0681155066883579,HESX1
56,ELK4,0.4014722980431391,IKZF2
57,STAT5A,0.3139945638593435,IKZF2
58,STAT4,0.0600080158989095,SIX2
59,STAT4,0.0645452090109673,NR2F2
60,PAX6,0.3935301891595203,PKNOX1
61,POU2F2,-0.1409959732291675,PKNOX1
62,SREBF2,0.1417835550738445,PKNOX1
63,ELK4,0.0456161656752427,PKNOX1
64,HIVEP2,0.023631646636208,FOXA3
65,STAT6,-0.0389226892120814,FOXA3
66,HLTF,0.0445696539561431,FOXA3
67,EGR2,-0.0225364834879802,FOXA3
69,ZBTB18,0.0048206507978519,FOXA3
70,SREBF2,0.0958317553708159,FOXA3
71,RXRA,0.0171714295911405,FOXA3
72,BRCA1,-0.0263360417962978,FOXA3
73,CTCF,0.0313214406965352,FOXA3
74,ELK4,0.0547556454102702,FOXA3
75,BCL6,-0.0005399685676301,FOXA3
76,RARB,-0.0002697268711751,FOXA3
78,JUN,-0.0001752069747915,FOXA3
79,NR2C2,0.5624667684340995,MZF1
80,ZNF143,-0.2722459818422095,MZF1
81,ZNF524,0.373511465112977,MZF1
82,ZEB1,0.1099807802472932,NF1
83,RFX7,0.620103008476607,NF1
84,PRRX1,0.0144278934378616,ZBTB18
85,GABPB1,0.0790563280317913,ZBTB18
86,ZEB1,0.0865627296691581,ZBTB18
87,SMAD1,0.1502423086152876,ZBTB18
88,PARP1,-0.0362522015524127,ZBTB18
89,STAT5A,-0.066923922205332,ZBTB18
90,SIX1,0.0250553562786594,ZBTB18
91,RARA,0.3709975274628431,ZBTB18
92,SOX12,-0.0392133362251599,ZBTB18
93,RARB,0.0437774177349429,ZBTB18
94,NR2F2,-0.1544292196639683,HLX
95,CEBPD,0.2021104448923506,HLX
96,CEBPB,0.2760038255111914,HLX
97,RARA,0.0828403718959653,SREBF2
98,RXRA,0.2604355896985202,SREBF2
99,SF1,0.1647938162539136,SREBF2
100,EGR2,0.2767279987031618,ATF5
101,ETV6,-0.2048059229597062,ATF5
102,ZNF524,0.1598714526964422,ATF5
103,NF1,0.3804541386720033,ATF2
104,HBP1,0.1150081358627306,ATF2
105,ETV3,0.156200563883667,ATF2
106,ZFX,0.1268883961599772,ATF2
107,CEBPB,-0.0791908792302365,ATF2
108,PLAGL1,0.1378502111534577,GTF2I
109,ATF2,0.1279271429868698,GTF2I
110,CUX1,0.3251877045714292,GTF2I
111,ZNF524,-0.1452746226395846,GTF2I
112,CEBPB,-0.1750728121227799,GTF2I
113,ZEB1,0.4836867799132178,ERG
114,HENMT1,0.1358360716097011,ERG
115,GTF2I,0.1790637016349155,ERG
116,ERG,-0.1991520997096438,MSX2
117,HBP1,-0.1898462627601095,MSX2
118,WT1,0.2844418751294236,PLAGL1
119,CEBPB,-0.3205072366901612,PLAGL1
120,NFAT5,0.286899730335821,ZEB1
121,CEBPD,-0.1157386872611216,ZEB1
122,STAT5B,0.2113959421950491,ZEB1
123,LHX6,0.3044631468586297,PAX5
124,BCL6,0.2213664057081269,NFIL3
125,JDP2,0.2796749041929722,NFIL3
126,JUN,0.1390856520249643,NFIL3
127,BRCA1,0.2951447974873009,CEBPZ
128,ZNF143,0.1428629366754599,CEBPZ
129,ZBTB18,-0.1221262626887808,CEBPZ
130,ZBTB14,0.0984405725731241,CEBPZ
131,ETV3,0.1525903120409583,CEBPZ
132,RARA,-0.1850946859532852,CEBPZ
133,ZSCAN26,0.1177334919527649,CEBPZ
134,CNOT3,0.2804440739223236,ZNF263
135,IKZF2,0.21752143392415,ZNF263
136,NFYA,0.2003066133133661,ZNF263
137,E2F6,0.2969407006993745,ZNF263
138,ELK4,0.4463782464233397,BBX
139,NR2C2,0.1900891348709951,BBX
140,SIX1,0.474370553527596,PRRX1
141,NR2F2,0.3017767281022614,PRRX1
142,ZFX,-0.0958028166522224,MAFG
143,PKNOX1,0.106853076705153,MAFG
144,NFYA,-0.254560115580265,MAFG
145,GTF2I,-0.1053033652847317,MAFG
146,HLTF,0.5588474621818161,RFX7
147,CEBPB,-0.100044238980596,RFX7
148,RARB,0.0776798974207682,RFX7
149,JUN,-0.0728616977888747,RFX7
150,HMGA1,0.3455729926376022,PATZ1
151,ZBTB7A,-0.2189031163327668,PATZ1
152,NR4A2,-0.1926498876773331,PATZ1
153,ZNF8,0.4820474722894667,SOX10
154,SF1,0.1909685816489152,HIC1
155,BRF1,0.2862382972443941,HIC1
156,CREB5,-0.0882207889875686,HIC1
157,MZF1,0.3215925184023078,DEAF1
158,ERG,0.2004924046295687,DEAF1
159,SMAD1,0.3680362097975788,TCF4
160,MYB,-0.2774445315579808,EGR2
161,HIVEP2,0.3930476842090964,STAT4
162,CUX1,0.351155402288771,HBP1
163,ZNF143,0.2254052111507944,HBP1
164,RFX3,0.2322630354655709,HBP1
165,ZBTB14,0.1063142877251754,HBP1
166,VDR,0.0457587069618676,ZNF524
167,ZBTB14,-0.025589696127546,ZNF524
168,CNOT3,0.4719095513784234,ZNF524
169,HLX,0.1569998050538735,ZNF524
170,ELK4,-0.312401154896843,ZNF524
171,NFAT5,0.2267699658803071,BARHL1
172,NF1,0.083743877782877,CREM
173,WT1,0.000272941854077,CREM
174,PAX6,0.0895167287025554,CREM
175,DEAF1,0.004205565249594,CREM
176,GATA2,0.0054959780845356,CREM
177,ZNF143,0.0383299037392903,CREM
178,WT1,0.1665599270516463,HIVEP2
179,TFEB,-0.2341535472629023,HIVEP2
180,ZBTB18,0.1484826654993322,HIVEP2
181,PATZ1,0.2266627969930912,ETV6
182,RFX3,0.4187567105155922,ETV6
183,IKZF2,0.3315006681203706,STAT5A
184,NFE2L1,0.1966602601045978,STAT5A
185,PARP1,0.2263073260415816,STAT5A
186,WT1,0.0777900450716296,TFAP4
187,BRCA1,0.0546963975906238,TFAP4
188,NFIL3,-0.0682193570657395,TFAP4
189,SOX12,0.5284073996569383,TFAP4
190,STAT4,-0.1019833251444299,TFAP4
191,POLR3A,0.0772363083145703,TFAP4
192,NF1,0.3747460432080791,ELK4
193,NFYA,0.2493005934606029,ELK4
194,FOXP1,0.1387691234007161,ELK4
195,PRRX1,0.2853689659400846,PPARG
196,JDP2,0.2884170820054159,PPARG
197,IKZF2,-0.1540769734908856,PPARG
198,KLF16,-0.0959922222224048,PPARG
199,BBX,-0.2010539507017446,PPARG
200,FOXP1,0.2469952467231773,BPTF
201,RFX7,0.350739067236284,BPTF
202,NFAT5,0.2670562913158206,BPTF
203,ETV6,-0.0515785045060863,CNOT3
204,RXRA,0.1712569164778687,CNOT3
205,ZBTB7A,-0.0486888789211224,CNOT3
206,KLF16,0.4139347365518099,CNOT3
207,HIC1,0.1364155691366576,CNOT3
208,ZNF263,0.317743904880008,CNOT3
209,BRF1,0.2139117442708663,TNFRSF25
210,GATA2,0.1753623086425846,TNFRSF25
211,DLX1,0.1300714309333423,TNFRSF25
212,MYC,0.14331178631228,TNFRSF25
213,FOXJ3,0.2049955944700434,LHX6
214,CUX1,-0.0736114003485621,LHX6
215,ETV6,0.1182402565639219,LHX6
216,NFAT5,0.0854731700025569,LHX6
217,RFX2,-0.103492030796775,LHX6
218,RARB,-0.050747414674807,LHX6
219,NF1,0.2254282598105657,FOXP1
220,BPTF,0.3543618883174012,FOXP1
221,CEBPD,-0.1527395427000847,FOXP1
222,FOXP1,0.1415381628676834,RARB
223,BCL6,-0.1624011148571618,RARB
224,NFAT5,0.1318833558979146,RARB
225,RFX4,0.1277721511127613,ALX3
226,SF1,0.269788461278535,ALX3
227,MYC,0.1183344249655217,ALX3
228,ZSCAN26,0.1806096656666962,ALX3
229,RFX7,0.4021954326080298,NR2C2
230,ZNF589,0.2406521070865263,NR2C2
231,POLR3A,0.2632915188620564,NR2C2
232,ATF2,0.0780410662274132,NFYA
233,ZNF8,0.0548370952321482,NFYA
234,SF1,0.0260312958645643,NFYA
235,NR2C2,0.1276819140364536,NFYA
236,SREBF1,-0.0589202930145963,NFYA
237,NR2F2,0.0398259017999073,NFYA
238,FOXJ3,0.0754975991536911,NFYA
239,CEBPZ,0.0950696370808871,NFYA
240,ZBTB7A,-0.1184741453313064,NFYA
241,HENMT1,0.0807419777727893,NFYA
242,POLR3A,0.2742127794844495,NFYA
243,FOXP1,-0.1659138344358121,JDP2
244,MYB,-0.1596085092099531,JDP2
245,NFIL3,0.2550688914488691,JDP2
246,CEBPB,0.2487134344005902,JDP2
247,VDR,-0.0279111428930011,MYB
248,WT1,0.075482597581749,MYB
249,HLTF,0.1514263441689372,MYB
250,ZNF8,0.0242473299543494,MYB
251,PARP1,0.0184365005697669,MYB
252,ETV6,0.0680451534317933,MYB
253,RXRA,-0.0320045724997769,MYB
254,BCL6,-0.0523358679614653,MYB
255,CEBPZ,0.0372935844807258,MYB
256,MYC,0.0687583102777812,MYB
257,ALX3,0.0324510909455514,MYB
258,SIX1,-0.0156580730976871,MYB
259,STAT6,-0.1057095838230585,MYB
260,PKNOX1,0.1880612514579199,MYB
261,SREBF1,-0.0163272185211736,MYB
262,CEBPB,-0.0561147445891661,MYB
