,Alt_ID,in_degree,out_degree,out/in
STAT4,STAT4,1.0,7.0,7.0
NR2F2,NR2F2,1.0,7.0,7.0
ETV6,ETV6,2.0,9.0,4.5
ELK4,ELK4,3.0,13.0,4.333333333333333
NFAT5,NFAT5,2.0,8.0,4.0
EGR2,EGR2,1.0,4.0,4.0
TCF4,TCF4,1.0,4.0,4.0
SIX1,SIX1,1.0,4.0,4.0
BCL6,BCL6,4.0,15.0,3.75
IKZF2,IKZF2,2.0,7.0,3.5
NF1,NF1,2.0,7.0,3.5
VDR,VDR,2.0,6.0,3.0
HENMT1,HENMT1,1.0,3.0,3.0
CEBPB,CEBPB,5.0,15.0,3.0
BRCA1,BRCA1,2.0,6.0,3.0
WT1,WT1,2.0,6.0,3.0
SF1,SF1,2.0,6.0,3.0
ZBTB14,ZBTB14,2.0,5.0,2.5
RFX3,RFX3,3.0,7.0,2.3333333333333335
TFEB,TFEB,4.0,8.0,2.0
PAX5,PAX5,1.0,2.0,2.0
NFIL3,NFIL3,3.0,6.0,2.0
PRRX1,PRRX1,2.0,4.0,2.0
ZBTB7A,ZBTB7A,2.0,4.0,2.0
FOXP1,FOXP1,3.0,6.0,2.0
ZNF143,ZNF143,4.0,8.0,2.0
JUN,JUN,2.0,4.0,2.0
SREBF2,SREBF2,3.0,5.0,1.6666666666666667
ZNF8,ZNF8,3.0,5.0,1.6666666666666667
SOX12,SOX12,3.0,5.0,1.6666666666666667
RARA,RARA,5.0,8.0,1.6
CUX1,CUX1,4.0,6.0,1.5
GABPB1,GABPB1,2.0,3.0,1.5
HLTF,HLTF,4.0,6.0,1.5
KLF16,KLF16,2.0,3.0,1.5
RFX7,RFX7,4.0,6.0,1.5
GTF2I,GTF2I,5.0,7.0,1.4
HIVEP2,HIVEP2,3.0,4.0,1.3333333333333333
PAX6,PAX6,3.0,4.0,1.3333333333333333
MYC,MYC,3.0,4.0,1.3333333333333333
NR2C2,NR2C2,3.0,4.0,1.3333333333333333
PATZ1,PATZ1,3.0,4.0,1.3333333333333333
RARB,RARB,3.0,4.0,1.3333333333333333
CEBPD,CEBPD,3.0,4.0,1.3333333333333333
ERG,ERG,3.0,4.0,1.3333333333333333
HLX,HLX,3.0,4.0,1.3333333333333333
MZF1,MZF1,3.0,4.0,1.3333333333333333
CTCF,CTCF,3.0,4.0,1.3333333333333333
HBP1,HBP1,4.0,5.0,1.25
JDP2,JDP2,4.0,5.0,1.25
RXRA,RXRA,4.0,5.0,1.25
ZFX,ZFX,4.0,5.0,1.25
PARP1,PARP1,4.0,5.0,1.25
POLR3A,POLR3A,5.0,6.0,1.2
ZNF524,ZNF524,5.0,6.0,1.2
CREB5,CREB5,2.0,2.0,1.0
NFATC2,NFATC2,2.0,2.0,1.0
MESP1,MESP1,1.0,1.0,1.0
STAT5A,STAT5A,3.0,3.0,1.0
DEAF1,DEAF1,2.0,2.0,1.0
MAFB,MAFB,2.0,2.0,1.0
NR4A2,NR4A2,2.0,2.0,1.0
ZEB1,ZEB1,3.0,3.0,1.0
MSX2,MSX2,2.0,2.0,1.0
RFX4,RFX4,1.0,1.0,1.0
ETV3,ETV3,2.0,2.0,1.0
MECP2,MECP2,3.0,3.0,1.0
FOXJ3,FOXJ3,3.0,3.0,1.0
CNOT3,CNOT3,6.0,5.0,0.8333333333333334
STAT6,STAT6,4.0,3.0,0.75
PKNOX1,PKNOX1,4.0,3.0,0.75
RFX2,RFX2,4.0,3.0,0.75
ZSCAN26,ZSCAN26,6.0,4.0,0.6666666666666666
SMAD1,SMAD1,3.0,2.0,0.6666666666666666
BRF1,BRF1,3.0,2.0,0.6666666666666666
BPTF,BPTF,3.0,2.0,0.6666666666666666
HIC1,HIC1,3.0,2.0,0.6666666666666666
STAT5B,STAT5B,6.0,4.0,0.6666666666666666
NFYA,NFYA,11.0,7.0,0.6363636363636364
ATF2,ATF2,5.0,3.0,0.6
HMGA1,HMGA1,6.0,3.0,0.5
BBX,BBX,2.0,1.0,0.5
PLAGL1,PLAGL1,2.0,1.0,0.5
TFAP4,TFAP4,6.0,3.0,0.5
NFE2L1,NFE2L1,4.0,2.0,0.5
SREBF1,SREBF1,9.0,4.0,0.4444444444444444
CEBPZ,CEBPZ,7.0,3.0,0.42857142857142855
MYB,MYB,17.0,7.0,0.4117647058823529
PPARG,PPARG,5.0,2.0,0.4
ZBTB18,ZBTB18,10.0,4.0,0.4
GATA2,GATA2,13.0,5.0,0.38461538461538464
DLX1,DLX1,6.0,2.0,0.3333333333333333
HESX1,HESX1,6.0,2.0,0.3333333333333333
E2F6,E2F6,6.0,2.0,0.3333333333333333
POU2F2,POU2F2,3.0,1.0,0.3333333333333333
FOXJ2,FOXJ2,3.0,1.0,0.3333333333333333
ZNF263,ZNF263,4.0,1.0,0.25
ALX3,ALX3,4.0,1.0,0.25
MAFG,MAFG,4.0,1.0,0.25
ZNF589,ZNF589,6.0,1.0,0.16666666666666666
ZNF713,ZNF713,6.0,1.0,0.16666666666666666
LHX6,LHX6,6.0,1.0,0.16666666666666666
TTF1,TTF1,7.0,1.0,0.14285714285714285
FOXA3,FOXA3,13.0,1.0,0.07692307692307693
ATF5,ATF5,3.0,0.0,0.0
TNFRSF25,TNFRSF25,4.0,0.0,0.0
ID4,ID4,1.0,0.0,0.0
BARHL1,BARHL1,1.0,0.0,0.0
CREM,CREM,6.0,0.0,0.0
HOXD1,HOXD1,16.0,0.0,0.0
DLX6,DLX6,2.0,0.0,0.0
SOX10,SOX10,1.0,0.0,0.0
SIX2,SIX2,1.0,0.0,0.0
TBX19,TBX19,1.0,0.0,0.0
