,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
7544,6,PRRX1,7544,-1.0,6.1488396114715345,0.36397074095047655,5.910099732823556e-07,-3.5059194297429066,2.1814828755321294,0.6666666666666666,0.26666666666666666,15,6
7543,6,PRRX1,7543,-1.0,6.1488396114715345,-0.20244124106211459,0.006728470450746931,3.683359807298378,2.4339181538227566,0.6666666666666666,0.26666666666666666,15,6
7540,6,PRRX1,7540,-1.0,6.1488396114715345,0.34816311071345885,1.9149553169202843e-06,-5.38187245800979,4.770070959876551,0.6666666666666666,0.26666666666666666,15,6
7530,6,PRRX1,7530,-1.0,6.1488396114715345,0.7380218844215392,6.928887292479677e-32,-6.444325615857114,6.312780419556051,0.6666666666666666,0.26666666666666666,15,6
1558,6,SIX3,1558,-1.0,1.4768151311542088,-0.2722423919117261,0.000236677213336222,5.842947319648779,3.8663529518156143,1.0,1.0,1,1
4451,6,GLIS2,4451,-1.0,2.813178513071814,-0.3192507093620901,1.4020588278754846e-05,3.7462443056680077,2.4001573936917917,1.0,0.56,25,14
4456,6,GLIS2,4456,-1.0,2.813178513071814,-0.2628272986576646,0.00039355382924214234,5.887508098933455,4.115177524028518,1.0,0.56,25,14
4452,6,GLIS2,4452,-1.0,2.813178513071814,0.29925345425026784,4.953821708312069e-05,-3.032637847351842,1.8361121633370563,1.0,0.56,25,14
4453,6,GLIS2,4453,-1.0,2.813178513071814,-0.2655275026092397,0.0003407908421408376,4.611014709436112,3.0778958787734716,1.0,0.56,25,14
4442,6,GLIS2,4442,-1.0,2.813178513071814,0.22325835249258189,0.002739449801687816,-6.403760433352561,6.516921943163022,1.0,0.56,25,14
4465,6,GLIS2,4465,-1.0,2.813178513071814,-0.3628391080602897,6.442660985754484e-07,3.1327090174974677,1.9072721458714332,1.0,0.56,25,14
4464,6,GLIS2,4464,-1.0,2.813178513071814,-0.3346008049544168,4.995993369735738e-06,2.257149984318215,1.3432724957322502,1.0,0.56,25,14
4447,6,GLIS2,4447,-1.0,2.813178513071814,0.07751542935689823,0.3037395953413567,-2.200180327272584,1.3056068651747825,1.0,0.56,25,14
4450,6,GLIS2,4450,-1.0,2.813178513071814,-0.3525468413039709,1.390985195852344e-06,4.12340843044423,2.7502436035180513,1.0,0.56,25,14
4457,6,GLIS2,4457,-1.0,2.813178513071814,0.41414936660109436,9.102458779932023e-09,-2.2914761605104066,1.3292549682742867,1.0,0.56,25,14
4462,6,GLIS2,4462,-1.0,2.813178513071814,0.34122045388534666,3.1462610749047425e-06,-2.897499927363414,1.8032328649420573,1.0,0.56,25,14
4448,6,GLIS2,4448,-1.0,2.813178513071814,0.1852107978368579,0.013321257681189136,-3.263916188863738,2.113988348854306,1.0,0.56,25,14
4460,6,GLIS2,4460,-1.0,2.813178513071814,-0.3242404479487281,1.008664224565425e-05,4.1692947793992845,2.7631378153479713,1.0,0.56,25,14
4459,6,GLIS2,4459,-1.0,2.813178513071814,-0.26723401448407275,0.0003109125991644078,5.2144012873610315,3.3226264904865914,1.0,0.56,25,14
274,6,PATZ1,274,-1.0,1.60951205669978,0.5826961398148158,1.4298665809219355e-17,-2.410997849481961,1.4528966303359092,1.0,0.5,12,6
272,6,PATZ1,272,-1.0,1.60951205669978,-0.46799811475122055,4.489717724266834e-11,4.867310486077946,3.1937189682631777,1.0,0.5,12,6
283,6,PATZ1,283,-1.0,1.60951205669978,0.40199525708856737,2.668049422466667e-08,-2.9796873067083993,1.8593701312194444,1.0,0.5,12,6
277,6,PATZ1,277,-1.0,1.60951205669978,0.7102823723919574,1.2261182620969531e-28,-2.9640544536190014,1.8129451690484393,1.0,0.5,12,6
282,6,PATZ1,282,-1.0,1.60951205669978,-0.4634573462463654,7.289046102792829e-11,3.5663925631592237,2.281836826608531,1.0,0.5,12,6
281,6,PATZ1,281,-1.0,1.60951205669978,-0.1699926271026854,0.023296139288446517,2.2373994470294245,1.3149506708258998,1.0,0.5,12,6
1409,6,HMGA1,1409,-1.0,1.3714391172192284,-0.207989114071382,0.005337873837532179,3.9731660748784354,2.572027783285829,0.9230769230769231,0.48,25,13
1414,6,HMGA1,1414,-1.0,1.3714391172192284,0.39030288457958,7.214040437671002e-08,-2.8125961141623157,1.6763184598016188,0.9230769230769231,0.48,25,13
1405,6,HMGA1,1405,-1.0,1.3714391172192284,-0.16032168387186693,0.03253817296456122,2.680301873977408,1.7076602111083086,0.9230769230769231,0.48,25,13
1415,6,HMGA1,1415,-1.0,1.3714391172192284,-0.46378928621204374,7.037051807527068e-11,3.150281848315138,1.9332431168207587,0.9230769230769231,0.48,25,13
1401,6,HMGA1,1401,-1.0,1.3714391172192284,0.5842941328547157,1.1119401870196972e-17,-2.621598211753901,1.5442360216860025,0.9230769230769231,0.48,25,13
1395,6,HMGA1,1395,-1.0,1.3714391172192284,-0.11422671286873798,0.12896115610094616,5.3877666392487,3.5181959040627877,0.9230769230769231,0.48,25,13
1400,6,HMGA1,1400,-1.0,1.3714391172192284,0.2031866236705113,0.006524564717186337,-2.347721481170431,1.3646844084667016,0.9230769230769231,0.48,25,13
1398,6,HMGA1,1398,-1.0,1.3714391172192284,-0.26505087086365037,0.00034959957776677623,4.772910548426221,3.005490695453672,0.9230769230769231,0.48,25,13
1402,6,HMGA1,1402,-1.0,1.3714391172192284,0.22259021692063977,0.002823208275311054,-3.4305688395409915,2.1478028222094765,0.9230769230769231,0.48,25,13
1407,6,HMGA1,1407,-1.0,1.3714391172192284,0.4474859271285384,3.791478730969904e-10,-3.7015700843865016,2.400717188002934,0.9230769230769231,0.48,25,13
1410,6,HMGA1,1410,-1.0,1.3714391172192284,0.5017049160096134,9.759068990365501e-13,-2.5228465426181512,1.4738378633576972,0.9230769230769231,0.48,25,13
1413,6,HMGA1,1413,-1.0,1.3714391172192284,-0.2541606866050521,0.0006183644937127423,2.4773429961805395,1.493521355180166,0.9230769230769231,0.48,25,13
79,6,DEAF1,79,-1.0,2.3596203018338557,-0.28334799756151796,0.00012682402408215252,4.638770081064574,3.0007811185599476,1.0,0.23076923076923078,13,3
91,6,DEAF1,91,-1.0,2.3596203018338557,0.617415783532586,4.3691991736526234e-20,-2.7733137035665854,1.647508269265942,1.0,0.23076923076923078,13,3
85,6,DEAF1,85,-1.0,2.3596203018338557,0.5086458658047577,4.205599859789481e-13,-3.540995968411789,2.2803140807253843,1.0,0.23076923076923078,13,3
1890,6,NFIL3,1890,1.0,1.7889204541101915,0.46021242029983117,1.0260791222045845e-10,2.253017879219212,1.3271578000459985,1.0,0.2631578947368421,19,5
1872,6,NFIL3,1872,1.0,1.7889204541101915,0.38368961910952853,1.245088518960771e-07,5.1885682840734475,3.3906932466362103,1.0,0.2631578947368421,19,5
1880,6,NFIL3,1880,1.0,1.7889204541101915,0.23103340784250725,0.0019173746507675214,4.249271568511294,2.7686505829648267,1.0,0.2631578947368421,19,5
1885,6,NFIL3,1885,1.0,1.7889204541101915,0.7079119805857677,2.2303015545692416e-28,2.593982459639585,1.5509024325608693,1.0,0.2631578947368421,19,5
1876,6,NFIL3,1876,1.0,1.7889204541101915,0.33559662485145153,4.663432476432182e-06,4.108974701573118,2.5755008482052615,1.0,0.2631578947368421,19,5
2198,6,MSX1,2198,-1.0,3.070487639212197,-0.33714605213901666,4.187464010604605e-06,3.8915416877067432,2.6647499508025074,1.0,0.45,20,9
2197,6,MSX1,2197,-1.0,3.070487639212197,0.29292727195736884,7.247875485397472e-05,-3.2480387200481085,2.076809058501154,1.0,0.45,20,9
2210,6,MSX1,2210,-1.0,3.070487639212197,-0.35580908835085095,1.0930573288336771e-06,3.999276215461292,2.552061062675321,1.0,0.45,20,9
