,Regulon_ID,Regulator,Gene
0,0,NFIB,RAB6A
1,0,NFIB,KRT81
2,0,NFIB,UNC13C
3,0,NFIB,CDC42EP3
4,0,NFIB,AP4S1
5,0,NFIB,TESPA1
6,0,NFIB,NRXN3
7,0,NFIB,HOMER1
8,0,NFIB,RASGRF2
9,0,NFIB,ARRB1
10,0,NFIB,PPP1R9A
11,0,NFIB,SCAMP1
12,0,NFIB,NEFL
13,0,NFIB,TMEFF1
14,0,NFIB,FAM81A
15,0,NFIB,PRDM8
16,0,NFIB,IP6K1
17,0,NFIB,FAM9C
18,0,NFIB,APBB1
19,0,NFIB,FRAS1
20,0,NFIB,PPFIA4
21,0,NFIB,MAPK10
22,0,NFIB,IL1RAPL2
23,0,NFIB,MAP4K2
24,0,NFIB,TUBA3D
25,0,NFIB,GFRA4
26,0,NFIB,FXYD7
27,0,NFIB,GLT1D1
28,0,NFIB,RPH3A
29,0,NFIB,ELAVL2
30,0,NFIB,PTPN3
31,0,NFIB,APBA1
32,0,NFIB,GPR68
33,0,NFIB,BHLHE22
34,0,NFIB,DCLK3
35,0,NFIB,TYRP1
36,0,NFIB,CHRNB3
37,0,NFIB,NECAB3
38,0,NFIB,PAK6
39,0,NFIB,UCHL1
40,0,NFIB,CABP1
41,0,NFIB,ADCYAP1
42,0,NFIB,PRRT3
43,0,NFIB,GPR52
44,0,NFIB,PPP1R3F
45,0,NFIB,NPY5R
46,0,NFIB,GPRIN2
47,0,NFIB,KCNT1
48,0,NFIB,S100A5
49,0,NFIB,PCP4
50,0,NFIB,MDH1
51,0,NFIB,AP3B2
52,0,NFIB,ZMAT4
53,0,NFIB,SLC35F4
54,0,NFIB,FGF6
55,0,NFIB,HOMER2
56,0,NFIB,PTPRT
57,0,NFIB,SHISA8
58,0,NFIB,FAM234B
59,0,NFIB,ANKRD2
60,0,NFIB,TNIP3
61,0,NFIB,NMRK1
62,0,NFIB,APOL5
63,0,NFIB,STBD1
64,0,NFIB,CAMK2A
65,0,NFIB,KIF3B
66,0,NFIB,NISCH
67,0,NFIB,PDP1
68,0,NFIB,SSTR4
69,0,NFIB,NTSR1
70,0,NFIB,MAP1A
71,0,NFIB,NEUROD2
72,0,NFIB,LHX6
73,0,NFIB,AKAP12
74,0,NFIB,SYT12
75,0,NFIB,PGP
76,0,NFIB,ABLIM2
77,0,NFIB,MESP2
78,0,NFIB,MCF2L
79,0,NFIB,FAM168B
