,Coefficient
HOXB3,0.31046798846498797
HOXA2,0.2200578008783623
PAX6,0.0
THRA,0.0
NR2E1,0.02203505415855416
PBX1,0.0
FOXK1,-0.0005754048969622981
NF1,0.0
CREB3L1,0.0
SMAD4,0.0
HOXA4,0.0016824545181233896
VAX1,0.0
NEUROD2,0.0
NR2F1,0.0
E2F3,0.000462024447087937
TCF4,0.0
FOXC2,0.0
POU2F1,0.0
CUX1,0.0
ESRRG,0.0
FOXL1,0.005596275387668171
BCL6,0.0
ETV5,0.0
DLX1,0.030046112755714015
SOX2,0.0
ETV4,0.0
ZNF219,0.0
GTF2A1,-4.992568416136733e-05
TCF7L2,-0.016295721875816495
ATF3,0.00021999605762918043
HOXA5,0.12558901415562324
TRAF4,0.0415450489095672
ARID5B,0.0
MSC,0.0
