,Coefficient
HOXA2,0.2032033410704205
NR2E1,0.0
NR2F6,0.0
THRA,0.0014662670466252393
ZNF281,0.0
PBX1,0.0
NFE2,0.004183308782340067
SIX4,0.0
ATF5,0.0
DLX2,0.01814678137686488
SIRT6,0.0006708880910674834
NR2F1,0.0004045954866058149
FOXC2,0.0
FOXD2,0.0
MNT,0.0
CDC5L,0.0
CUX1,0.002331548557173953
ZNF143,0.0
MEOX2,0.09986018708645047
FOXL1,0.0
ZBTB7A,0.0
BCL6,0.0
CREB3,-0.005826157294812282
SOX2,0.0048515414639241
GTF2I,0.0016472833212415156
RBPJ,0.0
ZBTB6,-0.00018117148857855602
TEAD1,0.0
GTF2A1,0.00021336124740057777
SOX3,0.0
MEIS1,0.014619848463192267
HOXA5,0.1472809488817303
RORA,0.0
PURA,0.0
REL,0.0
PEG10,0.020014908107620112
ARID5B,0.0
IKZF2,0.0008468483952113609
MSC,0.0159130873065084
HMGA1,0.0
