,Source,Edge,Target
0,MAZ,0.2658302336645721,HNF1A
1,MEF2D,0.3315825052709071,HNF1A
2,REL,-0.1195329201284169,HNF1A
3,BCL6,0.1717807876344293,ELF2
4,ELK4,0.369543525371234,ELF2
5,SMAD4,0.1949431664814531,ELF2
6,MEIS1,0.1085019103620829,ELF2
7,PAX6,0.0721012165870856,CUX1
8,SMAD1,0.0881372811898297,CUX1
9,SOX2,0.1080506738229737,CUX1
10,ETV4,0.0596616405839097,CUX1
11,GTF2I,0.1356354378845775,CUX1
12,TEAD1,0.2144204334047407,CUX1
13,IKZF2,-0.0753881324586811,CUX1
14,DLX2,0.145514395271756,VAX1
15,SOX21,-0.3349225519341079,VAX1
16,HEY2,-0.0518115474534516,RORA
17,TFCP2L1,0.161247423740857,RORA
18,BCL6,0.0695222621784832,RORA
19,PPARA,0.2883680147834789,RORA
20,ATF2,0.257954686717982,RORA
21,HMGA1,-0.1678589796635648,RORA
22,STAT5A,0.0893199203222208,SMAD1
23,GTF2I,0.4097568934067391,SMAD1
24,TEAD1,0.2969069349544296,SMAD1
25,NR3C1,0.0913037356120579,SMAD1
26,KLF13,0.3127756684120953,GTF2A1
27,FOXK1,0.0514404528178802,GTF2A1
28,TFEC,0.2438039058498673,MAF
29,IRF8,0.4531761743978648,MAF
30,TRAF4,-0.123964958358817,MAF
31,RBPJ,0.0831886497665707,ID4
32,NR2E1,0.2236817987795142,LHX2
33,MAF,-0.234704205316149,LHX2
34,DLX2,0.1202837910155159,LHX2
35,MEF2D,0.1281461893952648,LHX2
36,NR3C1,-0.0969504311344196,LHX2
37,NR2F6,0.2263489147343596,MAZ
38,PURA,-0.2031441321779397,MAZ
39,STAT5A,-0.1606290176891467,MAZ
40,POU2F1,0.1884555720054202,MAZ
41,ZNF219,0.2907540500931295,MAZ
42,DLX2,0.6826411917139273,DLX1
43,BHLHE22,0.2084327873571658,DLX1
44,HOXA2,-0.0687029899531645,RBPJ
45,NF1,0.2477236335165207,RBPJ
46,FOXM1,0.1312274783167525,RBPJ
47,HEY2,0.1033096692523777,RBPJ
48,MESP1,-0.193277519218448,IKZF2
49,MGA,0.1813868564174834,IKZF2
50,BCL6,0.1751977398168162,IKZF2
51,ELK4,0.1817214672276333,IKZF2
52,MEIS1,0.1160255386058215,IKZF2
53,NR2F1,-0.1625687151177562,CREB3L1
54,BCL6,-0.0956393724961343,CREB3L1
55,MEOX2,0.2137161491985038,CREB3L1
56,MSC,0.0711544866985632,CREB3L1
57,NFE2,0.0288658598727381,DMRT1
58,PBX1,0.0001837744230818,DMRT1
59,ETV5,-0.0027329391691968,DMRT1
61,SMAD4,-0.0151159204501812,DMRT1
64,FOXG1,-0.0001736045234828,DMRT1
65,HOXA5,0.2823234578606032,DMRT1
66,NR2F1,0.0337383815332658,DMRT1
67,LHX6,0.0146327451128605,DMRT1
68,REL,0.0021192651318842,DMRT1
70,MEOX2,0.0048884056262127,DMRT1
74,TCF4,0.1629781279727483,FOXG1
75,MEOX2,0.0939366405787432,FOXG1
76,MEF2A,-0.1471717031513777,FOXG1
77,ETV5,0.0731722589300482,FOXG1
78,DLX1,0.2195923468001947,FOXG1
79,TEAD1,-0.0513039917026626,FOXG1
80,PEG10,0.0598753428525531,FOXG1
81,MEF2A,-0.0567104184556498,NEUROG2
82,GTF2I,0.0964625992405158,FOXM1
83,E2F1,0.7359136603459656,FOXM1
84,IRF8,0.0768159993258793,ATF3
85,BCL6B,0.1478079472917557,ATF3
86,SATB1,-0.2354722176612583,ATF3
87,HOXC10,0.0501670836433907,ATF3
88,ARID5B,0.3233017244874592,ATF3
89,FOXJ3,0.1077945369991661,E2F3
90,ELK4,0.2323187622718986,E2F3
91,TCF7L2,0.154966434080236,E2F3
92,E2F1,0.2557486304377283,E2F3
93,TRAF4,0.1161574119574159,E2F3
94,DLX2,-0.0034023374778867,SIX4
95,KLF13,0.0666095461329113,SIX4
96,PAX6,-0.0969460028134523,SIX4
97,SMAD1,0.2032930272314449,SIX4
99,CREB3L1,-0.0836233132244008,SIX4
100,HEY2,0.1153746655538259,SIX4
101,ATF5,-0.1025130405567302,NF1
102,PPARA,0.1704777265243264,NF1
103,TCF4,0.3625861139181721,NF1
104,ZNF148,0.2206676343394341,NF1
105,FOXJ3,0.164901063581089,FOXD1
106,TEAD4,0.2845656755446557,FOXD1
107,HOXA4,0.0677723192881123,FOXD1
108,PURA,-0.1152414891603936,FOXD1
109,MGA,0.1509420947328575,FOXD1
110,BCL6,0.0999815442848264,TEAD4
111,HOXA4,0.2319589018425581,TEAD4
112,MEOX2,-0.0031960372018943,NEUROD2
113,DLX2,-0.0523433386309389,SIRT6
114,FOXJ3,-0.0831355726970751,SIRT6
115,MESP1,0.4383504706211444,SIRT6
116,TEAD4,0.0942463021651871,SIRT6
117,SIX4,0.0582733343678909,SIRT6
118,HOXD11,0.1185831798901116,SIRT6
119,IRF8,0.2350763663088594,MTF1
120,FOXJ3,0.4555757090034577,MTF1
121,ATF7,0.1742346610434766,MTF1
122,IKZF2,0.1537736978631605,MTF1
123,MEF2D,0.15796037243005,ZBTB16
124,BCL6,0.1528192304660882,ZBTB16
125,TEAD1,0.1132113486531805,ZBTB16
126,SATB1,0.1192876347843167,ZBTB16
127,ARID5B,0.258238039123367,ZBTB16
128,HMGA1,-0.1158491964304994,ZBTB16
129,HOXC11,0.466705957661495,HOXD12
130,HOXB3,0.1047221357095854,TEAD3
131,TEAD4,0.1377356883299795,TEAD3
132,RBPJ,-0.0872442446461149,TEAD3
133,HOXA4,0.0728966391238735,TEAD3
134,MEOX2,0.3516917139691876,TEAD3
135,SOX21,-0.043761396886073,TEAD3
136,ATF3,0.1815101697925133,ATF5
137,HOXA5,0.2086825025053658,ATF5
138,HOXC10,0.1115944158571656,ATF5
139,TNFRSF4,0.1545636246461504,ATF5
140,GMEB1,0.0845600492232757,ATF5
141,NF1,0.3767628288779827,ATF2
142,CDC5L,0.3219013952254218,ATF2
143,MEF2D,0.1832726786476777,ATF2
144,E2F3,0.1694753493042048,GTF2I
145,CUX1,0.2228216487262995,GTF2I
146,ATF2,0.3321153090441429,GTF2I
147,ZNF148,0.1599673725215092,GTF2I
