,Alt_ID,in_degree,out_degree,out/in
ID4,ID4,1.0,7.0,7.0
FOXC2,FOXC2,1.0,6.0,6.0
HOXA2,HOXA2,1.0,6.0,6.0
HOXA5,HOXA5,2.0,12.0,6.0
HOXC10,HOXC10,1.0,5.0,5.0
NR2F1,NR2F1,2.0,10.0,5.0
TEAD4,TEAD4,2.0,9.0,4.5
CREB3,CREB3,1.0,4.0,4.0
GMEB1,GMEB1,2.0,7.0,3.5
MEOX2,MEOX2,6.0,19.0,3.1666666666666665
FOXM1,FOXM1,2.0,6.0,3.0
ATF2,ATF2,3.0,9.0,3.0
MNT,MNT,1.0,3.0,3.0
NEUROD2,NEUROD2,1.0,3.0,3.0
ZBTB7A,ZBTB7A,1.0,3.0,3.0
DLX1,DLX1,2.0,6.0,3.0
ETV5,ETV5,1.0,3.0,3.0
TEAD1,TEAD1,4.0,11.0,2.75
ATF7,ATF7,2.0,5.0,2.5
MEF2D,MEF2D,4.0,10.0,2.5
ARID5B,ARID5B,4.0,10.0,2.5
ZNF219,ZNF219,6.0,14.0,2.3333333333333335
ZNF281,ZNF281,3.0,7.0,2.3333333333333335
GTF2I,GTF2I,4.0,9.0,2.25
BCL6,BCL6,9.0,19.0,2.111111111111111
SMAD4,SMAD4,2.0,4.0,2.0
SOX21,SOX21,3.0,6.0,2.0
TCF4,TCF4,3.0,6.0,2.0
CDC5L,CDC5L,2.0,4.0,2.0
IRF8,IRF8,3.0,6.0,2.0
HOXD12,HOXD12,1.0,2.0,2.0
KLF13,KLF13,2.0,4.0,2.0
RBPJ,RBPJ,4.0,8.0,2.0
ELK4,ELK4,3.0,6.0,2.0
NF1,NF1,4.0,8.0,2.0
MSC,MSC,3.0,5.0,1.6666666666666667
BHLHE22,BHLHE22,3.0,5.0,1.6666666666666667
PBX1,PBX1,3.0,5.0,1.6666666666666667
HOXA4,HOXA4,3.0,5.0,1.6666666666666667
ETV4,ETV4,3.0,5.0,1.6666666666666667
MEIS1,MEIS1,5.0,8.0,1.6
FOXJ3,FOXJ3,5.0,8.0,1.6
PAX6,PAX6,7.0,11.0,1.5714285714285714
GTF2A1,GTF2A1,2.0,3.0,1.5
HMGA1,HMGA1,6.0,9.0,1.5
MESP1,MESP1,2.0,3.0,1.5
TNFRSF4,TNFRSF4,2.0,3.0,1.5
NR2E1,NR2E1,4.0,6.0,1.5
SOX2,SOX2,6.0,9.0,1.5
E2F3,E2F3,5.0,7.0,1.4
IKZF2,IKZF2,5.0,7.0,1.4
PEG10,PEG10,5.0,7.0,1.4
MEF2A,MEF2A,4.0,5.0,1.25
REL,REL,4.0,5.0,1.25
MAZ,MAZ,5.0,6.0,1.2
EP300,EP300,5.0,6.0,1.2
ATF3,ATF3,5.0,6.0,1.2
HOXD11,HOXD11,6.0,7.0,1.1666666666666667
HOXB3,HOXB3,9.0,9.0,1.0
SMAD1,SMAD1,4.0,4.0,1.0
E2F1,E2F1,3.0,3.0,1.0
PAX7,PAX7,1.0,1.0,1.0
NR3C1,NR3C1,5.0,5.0,1.0
MAF,MAF,3.0,3.0,1.0
BCL6B,BCL6B,2.0,2.0,1.0
HNF1A,HNF1A,3.0,3.0,1.0
MGA,MGA,5.0,5.0,1.0
ZNF148,ZNF148,4.0,4.0,1.0
STAT5A,STAT5A,4.0,4.0,1.0
SIX4,SIX4,6.0,5.0,0.8333333333333334
LHX6,LHX6,6.0,5.0,0.8333333333333334
PURA,PURA,5.0,4.0,0.8
ATF5,ATF5,5.0,4.0,0.8
DLX2,DLX2,10.0,8.0,0.8
MTF1,MTF1,4.0,3.0,0.75
ZBTB6,ZBTB6,4.0,3.0,0.75
FOXK1,FOXK1,4.0,3.0,0.75
ESRRA,ESRRA,4.0,3.0,0.75
TRAF4,TRAF4,8.0,6.0,0.75
CREB3L1,CREB3L1,4.0,3.0,0.75
TFCP2L1,TFCP2L1,3.0,2.0,0.6666666666666666
TFEC,TFEC,3.0,2.0,0.6666666666666666
SIRT6,SIRT6,6.0,4.0,0.6666666666666666
FOXL1,FOXL1,3.0,2.0,0.6666666666666666
THRA,THRA,6.0,4.0,0.6666666666666666
NR2F6,NR2F6,9.0,6.0,0.6666666666666666
ESRRG,ESRRG,5.0,3.0,0.6
TCF7L2,TCF7L2,5.0,3.0,0.6
FOXG1,FOXG1,7.0,4.0,0.5714285714285714
CUX1,CUX1,7.0,4.0,0.5714285714285714
SATB1,SATB1,7.0,4.0,0.5714285714285714
ZNF143,ZNF143,7.0,4.0,0.5714285714285714
DRGX,DRGX,2.0,1.0,0.5
BPTF,BPTF,4.0,2.0,0.5
NFE2,NFE2,4.0,2.0,0.5
ELF2,ELF2,4.0,2.0,0.5
SOX18,SOX18,4.0,2.0,0.5
PPARA,PPARA,7.0,3.0,0.42857142857142855
SOX3,SOX3,7.0,3.0,0.42857142857142855
LHX2,LHX2,5.0,2.0,0.4
POU2F1,POU2F1,10.0,4.0,0.4
HOXC11,HOXC11,13.0,5.0,0.38461538461538464
SOX17,SOX17,3.0,1.0,0.3333333333333333
FOXO4,FOXO4,6.0,2.0,0.3333333333333333
RXRA,RXRA,6.0,2.0,0.3333333333333333
RFX2,RFX2,4.0,1.0,0.25
ZBTB33,ZBTB33,4.0,1.0,0.25
FOXF2,FOXF2,8.0,2.0,0.25
RFX4,RFX4,8.0,2.0,0.25
FOXD1,FOXD1,5.0,1.0,0.2
KLF16,KLF16,6.0,1.0,0.16666666666666666
ZBTB16,ZBTB16,6.0,1.0,0.16666666666666666
TEAD3,TEAD3,6.0,1.0,0.16666666666666666
RORA,RORA,6.0,1.0,0.16666666666666666
ZNF8,ZNF8,18.0,1.0,0.05555555555555555
OTX2,OTX2,19.0,1.0,0.05263157894736842
MAFB,MAFB,8.0,0.0,0.0
VAX1,VAX1,2.0,0.0,0.0
DMRT1,DMRT1,10.0,0.0,0.0
NEUROG2,NEUROG2,1.0,0.0,0.0
FOXD2,FOXD2,4.0,0.0,0.0
DLX5,DLX5,1.0,0.0,0.0
POU1F1,POU1F1,1.0,0.0,0.0
TP73,TP73,3.0,0.0,0.0
PITX2,PITX2,18.0,0.0,0.0
DBX2,DBX2,8.0,0.0,0.0
