,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
1134,13,MAF,1134,-1.0,2.817570672041098,0.44987706948860073,5.613173275063293e-27,-6.871154017017506,3.531042438912621,0.7142857142857143,0.4,25,14
1131,13,MAF,1131,-1.0,2.817570672041098,0.6395651337301486,1.812158497621922e-60,-3.93741084916479,2.0468845962521076,0.7142857142857143,0.4,25,14
1122,13,MAF,1122,-1.0,2.817570672041098,0.4129722452530531,1.3739646944786684e-22,-5.296972964027343,2.576167528875025,0.7142857142857143,0.4,25,14
1120,13,MAF,1120,-1.0,2.817570672041098,0.5254202270563771,8.077400598928452e-38,-6.7805297300154415,3.6105422959355233,0.7142857142857143,0.4,25,14
1126,13,MAF,1126,-1.0,2.817570672041098,0.4337626898773258,5.39587672499752e-25,-4.794258182941794,2.36214545446469,0.7142857142857143,0.4,25,14
1119,13,MAF,1119,-1.0,2.817570672041098,0.4826037806793311,2.4095790549976154e-31,-4.769092613109959,2.734558022857896,0.7142857142857143,0.4,25,14
1137,13,MAF,1137,-1.0,2.817570672041098,0.1557350303465715,0.000394395167279944,-4.3810377476767695,2.2634968710692744,0.7142857142857143,0.4,25,14
1128,13,MAF,1128,-1.0,2.817570672041098,0.5888867017884075,2.6879709213472095e-49,-5.407245773120667,2.8866258667403524,0.7142857142857143,0.4,25,14
1117,13,MAF,1117,-1.0,2.817570672041098,0.7151132398889131,1.1667328475942287e-81,-5.119239579396877,2.77004698572647,0.7142857142857143,0.4,25,14
1121,13,MAF,1121,-1.0,2.817570672041098,0.47044942263861084,1.146003308513295e-29,-5.397346699429158,3.2798658638740408,0.7142857142857143,0.4,25,14
3167,13,ZNF784,3167,-1.0,2.237007572348851,0.5070245469995743,6.334823210651621e-35,-3.013851852507085,1.5787731020872677,0.8,0.4,10,5
3164,13,ZNF784,3164,-1.0,2.237007572348851,0.271198117944806,4.077214507366662e-10,-6.050898372159069,3.6542718099922102,0.8,0.4,10,5
3168,13,ZNF784,3168,-1.0,2.237007572348851,0.23078279860935758,1.2160997481907538e-07,-3.7906401483666605,2.0711190787451854,0.8,0.4,10,5
3165,13,ZNF784,3165,-1.0,2.237007572348851,0.19301532892334347,1.049031479950347e-05,-5.584795905447185,2.760870734012706,0.8,0.4,10,5
1649,13,TCF7,1649,-1.0,2.720203281176269,0.7188682484042452,6.8028990751885e-83,-4.595304656643988,2.6803771590519565,0.8125,0.52,25,16
1665,13,TCF7,1665,-1.0,2.720203281176269,0.44796108109923233,9.784881617621635e-27,-7.4336667820657985,3.671450473858808,0.8125,0.52,25,16
1656,13,TCF7,1656,-1.0,2.720203281176269,0.3827255734566417,2.2401112086548797e-19,-3.6728185013395045,2.1489390772577663,0.8125,0.52,25,16
1652,13,TCF7,1652,-1.0,2.720203281176269,0.35385390301336056,1.3170441599455596e-16,-4.875619865020256,2.4625584911969387,0.8125,0.52,25,16
