,state
f35f85a8-b3cd-4116-990f-94b2e432f902,2.0
b11ff528-846e-4e40-9e32-e5820ecb5504,6.0
33060001-05c9-4751-aa58-f194207acc08,2.0
5b9d33f5-1b4f-4c06-a73a-cc723c1ef409,7.0
53ba607f-7939-40d9-befa-dc4abdc7630b,1.0
087d4eb4-61ab-4ef4-9c76-7721e7fc5e0f,1.0
1af24109-5fe4-4868-adb9-5dfdb57bca0f,8.0
9fcc850a-554e-4e56-95ba-f7f5cf0d5012,7.0
221384a6-059c-4731-9bd0-68ec9ca5651d,5.0
37a8e941-f86f-449a-86e4-833ac349111f,5.0
d1729a17-148b-4c58-beb5-7c4349a0e920,9.0
30906368-89bc-42e0-8f7b-81b1dede812d,7.0
13ca931d-c2d3-485e-9b18-a21b624c602e,7.0
45b7816c-0a67-441c-8e80-656eaf2ad940,6.0
d902e43a-f384-432a-b690-d20bfcc78443,1.0
b8e080e7-c8a4-4e57-bb7a-6d8bd3b38658,7.0
3bcd8be5-753d-43ef-b830-ea4356620a5c,9.0
194676e1-632c-4b99-a9c8-80e36dd6c85e,13.0
745233f1-df41-4dda-9146-1666dd59355e,1.0
e3a67b7b-7427-4c11-912b-166451072767,5.0
46c04e67-f4d4-41b9-8724-ef7328be226c,8.0
68b73b22-487b-43d8-9b68-06ad1022f46d,11.0
6114e89b-b007-4f1b-b086-21ade26f4573,5.0
be71f250-1529-43bd-84f3-3afe1b42d77d,8.0
ba28ec2f-5186-4ded-8814-5f0464ab8b87,12.0
d5e8379b-621c-4551-9b13-e63b1b068488,5.0
cbb97c4e-43c7-4257-a85e-1f72ba71ef91,5.0
2fbf997d-b138-4bb4-b51e-81cef9c0c8a3,5.0
4fc69960-8ef2-49fe-a718-7004e99e00a8,8.0
37586aac-159b-41f9-9078-c2f7888753ac,13.0
589a94f8-2432-4d6d-94eb-b327eca291af,8.0
46befc7f-2f51-4331-ba86-9823ec5781b3,5.0
713b4da5-fa8a-4e52-bacf-19b912467fbb,5.0
311d796c-bdd1-4c6b-9fd4-a053778ae1bb,12.0
61f5c72a-4ddb-4edb-908a-b2856cafd8bd,5.0
b13e4d9f-672e-4a9a-8745-0ae5308678c1,10.0
2fa21196-17b0-4d16-bca7-7e405ca2c1c5,2.0
b583566b-a014-417a-a973-41204dc35ecf,3.0
