,Coefficient
AHR,-0.06373510817673872
ZBTB18,0.0
ZFX,0.00034432908637104594
ELK4,-0.00025593569576310294
TBP,0.0
MNT,0.0
PPARG,0.09030860814340189
LMO2,-0.0001127854678152755
GMEB1,0.0007568914607895042
TCF7L2,0.030969979992173387
SP1,0.0
FOXJ3,0.0
BHLHE22,0.02960386456738754
FOS,0.0
PAX3,0.028369406113347637
E2F4,0.012870472488100344
ETV4,-0.00011546075883203257
HNF1B,0.0014200041111101288
ZNF143,0.0
ETV1,0.0
STAT1,6.949678953370979e-05
CENPB,0.04337456871705854
STAT5B,0.0
CEBPD,0.0
SREBF2,0.0
GLI3,0.08493982632122017
PAX8,0.0
E2F7,0.03582083300542601
CEBPA,0.0038383033253735154
E2F1,0.0
HOXD9,0.06591255840646959
GTF2IRD1,0.0
ZSCAN16,-0.0016867581034566463
OSR2,0.07411040495930685
