,Alt_ID,in_degree,out_degree,out/in
TFE3,TFE3,1.0,3.0,3.0
SP1,SP1,4.0,10.0,2.5
SOX4,SOX4,4.0,9.0,2.25
PRDM4,PRDM4,5.0,11.0,2.2
PAX6,PAX6,1.0,2.0,2.0
FOXO3,FOXO3,3.0,6.0,2.0
ZFX,ZFX,5.0,9.0,1.8
BPTF,BPTF,3.0,5.0,1.6666666666666667
HMGA2,HMGA2,4.0,6.0,1.5
NR5A2,NR5A2,2.0,2.0,1.0
SP4,SP4,3.0,3.0,1.0
NR2C2,NR2C2,4.0,4.0,1.0
MYB,MYB,8.0,7.0,0.875
FOXA1,FOXA1,6.0,5.0,0.8333333333333334
HBP1,HBP1,5.0,4.0,0.8
ELF2,ELF2,3.0,2.0,0.6666666666666666
SOX12,SOX12,7.0,4.0,0.5714285714285714
SOX13,SOX13,4.0,2.0,0.5
CEBPZ,CEBPZ,3.0,1.0,0.3333333333333333
RARG,RARG,3.0,1.0,0.3333333333333333
TEF,TEF,7.0,0.0,0.0
