,Source,Edge,Target
0,SMAD3,0.2647649134441339,TBX4
1,HNF4A,0.3855434554257078,HNF1A
2,GMEB2,0.1387211079555331,HNF1A
3,ERG,-0.1697602302249477,HNF1A
4,FOXA2,0.2045188039192119,HNF1A
5,BCL6,0.0773942529736083,GMEB2
6,ZBTB7A,0.1807202952015359,GMEB2
7,FOXA2,0.1331727175251453,GMEB2
8,RFX3,0.2636062934568775,ELF2
9,ZEB1,0.3305544593534957,ELF2
10,RFX1,0.2220764946911963,ELF2
11,LMO2,0.2427436224283878,RARG
12,ELF4,0.396443755285012,RARG
13,GLI3,0.1786398297570501,RARG
14,TEAD3,0.1944960520519173,ZSCAN26
15,HLTF,0.2411534684548128,ZSCAN26
16,POU2F1,0.2060567528328516,ZSCAN26
17,CREB1,0.2953387366679141,HLTF
18,BRCA1,0.2885871763872231,HLTF
19,ZKSCAN3,0.1575307435147409,HLTF
20,ETV6,0.1529781399681961,ELF4
21,POU2F2,0.2093263386015012,ELF4
22,PRDM4,0.2895461675669069,ELF4
23,CREB3L1,0.1540466720343603,ELF4
24,KLF7,0.1437093947446518,ELF4
25,FOXJ3,0.2400824864069449,SP4
26,CREB1,0.3639872125843936,SP4
27,BPTF,0.1740998879664639,SP4
28,SOX5,0.3588677550884184,THRB
29,GATA4,0.055048796688893,THRB
30,ZBTB7B,0.0626418011405162,THRB
31,ELF4,-0.1298609332988748,THRB
32,GLI3,-0.0747399983039746,THRB
33,BPTF,0.1316073536321169,THRB
34,ELK4,0.1622108241290425,NR5A2
35,ZKSCAN3,0.2310839739297868,NR5A2
36,CREB1,0.2800516239679354,ZFX
37,EP300,0.1479528744248986,ZFX
38,ZNF148,0.1297699357384903,ZFX
39,PRDM4,0.1672070473130239,ZFX
40,FOXA1,0.1075447142717554,ZFX
41,CEBPZ,0.0979079271050399,ZSCAN16
42,ATF4,0.1124796457160892,ZSCAN16
43,ELK4,0.0518767881781731,ZSCAN16
44,SMAD3,0.0494373244368438,ZSCAN16
45,FOS,-0.0321771375114817,ZSCAN16
46,RFX3,0.0781284437563703,ZSCAN16
47,GMEB2,0.2212081578908149,ZSCAN16
48,HMGA2,0.4752173750945973,DLX6
49,SOX12,0.167316861813441,MAZ
50,CENPB,0.2151887318809757,MAZ
51,GMEB2,0.2077175581073687,MAZ
52,TCF3,0.1898278080962889,MAZ
53,AHR,-0.0280944531828602,EN1
54,BHLHE41,0.1072288835887601,EN1
55,PAX3,0.1271937081870694,EN1
56,PAX6,0.0586251954399754,EN1
57,HMGA2,0.0903419741386557,EN1
58,OSR2,0.0419117107754665,EN1
59,MZF1,0.1184732780283688,ZBTB7B
60,HNF1A,0.1079089627134864,ZBTB7B
61,CLOCK,0.2319886102364951,ZBTB7B
62,NRF1,0.1278548826440896,ZBTB7B
63,BATF3,0.3420427226713471,CREB3L1
64,SMAD3,8.025250297521431e-05,SIX2
66,NFYA,0.1999090110561678,SIX2
67,FOXA1,-0.0060293501771176,SIX2
68,SP4,0.0034531142039463,SIX2
69,ETV3,0.0014342454158764,SIX2
70,ZKSCAN3,0.016903023194947,SIX2
71,ZBTB3,0.0074394308231728,SIX2
72,SOX12,0.092932144040577,NHLH1
73,ONECUT2,-0.0887197373537973,NHLH1
74,ALX3,0.0581019986931026,NHLH1
75,E2F4,0.0925284699047977,NHLH1
76,NR2C2,0.1463621165248608,NHLH1
77,TBX4,0.1081595866276232,SOX7
78,ERG,0.5747577120063915,SOX7
79,FOS,0.1354171822489023,SOX7
80,ETV6,0.1200659128560314,IRF3
81,CNOT3,0.3614627011334355,IRF3
82,ZEB1,-0.1433816261377059,IRF3
83,CLOCK,-0.1694944455811379,IRF3
84,RREB1,-0.1034244807281562,IRF3
85,TCF3,0.1689904223930104,IRF3
86,ETV4,0.2720741458443357,SOX9
87,DLX6,0.1155106256573762,SOX9
88,SOX4,0.3223943857486921,SOX9
89,ZBTB18,-0.1500540862951931,ATF4
90,GMEB2,0.2534604626473429,ATF4
91,SREBF2,0.0571044778758892,ATF4
92,SOX5,-0.0507222749696315,ATF4
93,ETV5,0.2339464709544121,ATF4
94,THRB,-0.080751025783223,ATF4
95,NHLH1,0.0919851480257461,ATF4
96,ZBTB7A,0.1645080080596651,MZF1
97,MNT,0.2136548210007854,MZF1
98,NR2C2,0.2746234086656231,MZF1
99,FOXJ3,0.2688902721983424,E2F3
100,ETV5,0.1674894578646729,E2F3
101,NR2C2,0.1924794162570165,E2F3
102,E2F1,0.1431350300939648,E2F3
103,MAZ,0.1986350470003262,E2F4
104,ATF7,0.3318870274901595,E2F4
105,IRF3,0.2612887256035616,E2F4
106,ZBED6,0.3448652650984301,ZBTB18
107,HNF4A,0.0868736851024322,ZBTB18
108,HOXB4,-0.1070021015399028,ZBTB18
109,ZNF148,0.0882583934117171,ZBTB18
110,TBX4,0.1748425544839695,ZBTB18
111,AHR,0.0674505473612741,MTF1
112,FOXJ3,0.5801178074158323,MTF1
113,CLOCK,0.1070459862345993,MTF1
114,TFE3,0.1132960422625297,SREBF2
115,BPTF,0.1568860819423526,SREBF2
116,ZBED6,0.1123849968874294,SREBF2
117,CEBPA,0.2260502342720823,SREBF2
118,RREB1,0.1254992053864682,SREBF2
119,SP1,0.1667013384688082,TEAD3
120,BCL6,0.1406821159063312,TEAD3
121,E2F3,0.3348263547647442,TEAD3
122,MECP2,0.1590618469343849,TEAD3
123,HNF4A,0.3504702813629227,FOXA2
124,HNF1A,0.2187579869070982,FOXA2
125,SMAD3,0.0873610728679095,FOXA2
126,PATZ1,0.0969053028618935,FOXA2
127,CREB3L1,-0.124636487776692,FOXA2
128,FOXJ3,0.5560358694132127,NFYC
129,BHLHE22,0.0764716875108194,SOX8
130,RARG,0.1950519466480431,SOX8
131,HOXB4,0.2043736832099277,SOX8
132,SOX4,0.0819242642283314,SOX8
133,ATF1,0.1099552539891018,IRF2
134,GABPA,0.0873485546502598,IRF2
135,EOMES,0.1241475061415987,IRF2
136,CLOCK,0.158795776212157,IRF2
137,EP300,0.1780256509901334,IRF2
138,BBX,0.1639093578854038,IRF2
139,SREBF2,0.2658310621328072,EP300
140,SP1,0.2736033006040388,EP300
141,ATF7,0.3384281219946245,EP300
142,GMEB2,0.3149403673048666,POU2F1
143,SP1,0.5067539455752782,POU2F1
144,GMEB1,0.2165021510339254,HINFP
145,SP1,0.1751462193735158,HINFP
146,TCF3,0.2909545374689121,HINFP
147,ZBED6,0.1663324499092315,RFX1
148,PRDM4,0.2347398632193068,RFX1
149,ERF,0.1105327076942097,RFX1
150,MZF1,0.2425281666270908,RFX1
151,PATZ1,0.1071325231143415,RFX1
152,ETV1,-0.1408393298196822,ERG
153,TCF7,-0.0783227200839018,ERG
154,ZEB1,0.5480658082165726,ERG
155,EWSR1,0.2362807480273428,NRF1
156,RFX1,0.224235822467378,NRF1
157,GMEB1,0.1989806301739021,NRF1
158,POU2F1,0.2109901450165317,NRF1
159,BCL6,0.1044333119311364,ZNF691
160,FOXA2,0.1667549539159128,ZNF691
161,ALX3,0.0734006122879687,ZNF691
