,Alt_ID,in_degree,out_degree,out/in
TBX4,TBX4,1.0,8.0,8.0
CREB3L1,CREB3L1,1.0,5.0,5.0
HOXB4,HOXB4,2.0,9.0,4.5
ZNF143,ZNF143,2.0,8.0,4.0
BHLHE22,BHLHE22,1.0,4.0,4.0
CENPB,CENPB,1.0,4.0,4.0
PAX3,PAX3,1.0,4.0,4.0
ETV6,ETV6,2.0,7.0,3.5
ZEB1,ZEB1,4.0,14.0,3.5
GMEB2,GMEB2,3.0,10.0,3.3333333333333335
SMAD3,SMAD3,3.0,10.0,3.3333333333333335
BRCA1,BRCA1,3.0,9.0,3.0
TFE3,TFE3,1.0,3.0,3.0
GMEB1,GMEB1,3.0,9.0,3.0
CREB1,CREB1,4.0,12.0,3.0
EP300,EP300,3.0,9.0,3.0
AHR,AHR,4.0,11.0,2.75
ATF1,ATF1,3.0,8.0,2.6666666666666665
ZBED6,ZBED6,3.0,8.0,2.6666666666666665
ATF7,ATF7,3.0,8.0,2.6666666666666665
POU2F1,POU2F1,2.0,5.0,2.5
SP1,SP1,4.0,10.0,2.5
ZKSCAN3,ZKSCAN3,2.0,5.0,2.5
CNOT3,CNOT3,3.0,7.0,2.3333333333333335
KLF7,KLF7,3.0,7.0,2.3333333333333335
GATA4,GATA4,3.0,7.0,2.3333333333333335
SOX4,SOX4,4.0,9.0,2.25
PRDM4,PRDM4,5.0,11.0,2.2
CLOCK,CLOCK,3.0,6.0,2.0
DLX6,DLX6,1.0,2.0,2.0
GLI3,GLI3,4.0,8.0,2.0
STAT1,STAT1,2.0,4.0,2.0
EGR1,EGR1,1.0,2.0,2.0
FOXO3,FOXO3,3.0,6.0,2.0
PAX6,PAX6,1.0,2.0,2.0
TFCP2,TFCP2,2.0,4.0,2.0
NFYC,NFYC,1.0,2.0,2.0
FOXJ3,FOXJ3,4.0,8.0,2.0
ZBTB7A,ZBTB7A,2.0,4.0,2.0
POLR3A,POLR3A,3.0,6.0,2.0
ETV3,ETV3,3.0,6.0,2.0
ZFX,ZFX,5.0,9.0,1.8
BCL6,BCL6,5.0,9.0,1.8
ELK4,ELK4,4.0,7.0,1.75
RREB1,RREB1,4.0,7.0,1.75
PATZ1,PATZ1,4.0,7.0,1.75
BBX,BBX,3.0,5.0,1.6666666666666667
BPTF,BPTF,3.0,5.0,1.6666666666666667
RFX3,RFX3,3.0,5.0,1.6666666666666667
ERF,ERF,3.0,5.0,1.6666666666666667
LMO2,LMO2,3.0,5.0,1.6666666666666667
MZF1,MZF1,3.0,5.0,1.6666666666666667
HMBOX1,HMBOX1,4.0,6.0,1.5
HMGA2,HMGA2,4.0,6.0,1.5
ETV4,ETV4,2.0,3.0,1.5
E2F7,E2F7,2.0,3.0,1.5
HNF1A,HNF1A,4.0,6.0,1.5
ALX3,ALX3,2.0,3.0,1.5
FOXA2,FOXA2,5.0,7.0,1.4
ZNF148,ZNF148,3.0,4.0,1.3333333333333333
E2F4,E2F4,3.0,4.0,1.3333333333333333
GTF2IRD1,GTF2IRD1,3.0,4.0,1.3333333333333333
E2F3,E2F3,4.0,5.0,1.25
TEAD3,TEAD3,4.0,5.0,1.25
MAZ,MAZ,4.0,5.0,1.25
HNF4A,HNF4A,8.0,10.0,1.25
ZBTB7B,ZBTB7B,4.0,5.0,1.25
SREBF2,SREBF2,5.0,6.0,1.2
ZBTB18,ZBTB18,5.0,6.0,1.2
FOS,FOS,6.0,7.0,1.1666666666666667
BHLHE41,BHLHE41,8.0,9.0,1.125
E2F1,E2F1,4.0,4.0,1.0
TBP,TBP,3.0,3.0,1.0
NR2C2,NR2C2,4.0,4.0,1.0
IRX2,IRX2,1.0,1.0,1.0
MNT,MNT,4.0,4.0,1.0
TFAP2A,TFAP2A,2.0,2.0,1.0
SP4,SP4,3.0,3.0,1.0
ETV1,ETV1,3.0,3.0,1.0
GABPA,GABPA,3.0,3.0,1.0
HINFP,HINFP,3.0,3.0,1.0
NR5A2,NR5A2,2.0,2.0,1.0
ERG,ERG,3.0,3.0,1.0
SOX9,SOX9,3.0,3.0,1.0
HLTF,HLTF,3.0,3.0,1.0
EOMES,EOMES,2.0,2.0,1.0
RFX1,RFX1,5.0,5.0,1.0
PPARG,PPARG,5.0,5.0,1.0
MYB,MYB,8.0,7.0,0.875
FOXA1,FOXA1,6.0,5.0,0.8333333333333334
TCF7,TCF7,5.0,4.0,0.8
EWSR1,EWSR1,5.0,4.0,0.8
ELF1,ELF1,5.0,4.0,0.8
HBP1,HBP1,5.0,4.0,0.8
NFYA,NFYA,5.0,4.0,0.8
TCF3,TCF3,9.0,7.0,0.7777777777777778
CEBPA,CEBPA,7.0,5.0,0.7142857142857143
SOX7,SOX7,3.0,2.0,0.6666666666666666
HOXD9,HOXD9,3.0,2.0,0.6666666666666666
ELF2,ELF2,3.0,2.0,0.6666666666666666
ZBTB3,ZBTB3,3.0,2.0,0.6666666666666666
RXRA,RXRA,3.0,2.0,0.6666666666666666
CEBPB,CEBPB,3.0,2.0,0.6666666666666666
MTF1,MTF1,3.0,2.0,0.6666666666666666
SOX17,SOX17,3.0,2.0,0.6666666666666666
TCF7L2,TCF7L2,3.0,2.0,0.6666666666666666
ONECUT2,ONECUT2,3.0,2.0,0.6666666666666666
POU2F2,POU2F2,5.0,3.0,0.6
E2F6,E2F6,5.0,3.0,0.6
ELF4,ELF4,5.0,3.0,0.6
SOX12,SOX12,7.0,4.0,0.5714285714285714
ZSCAN16,ZSCAN16,7.0,4.0,0.5714285714285714
NR6A1,NR6A1,9.0,5.0,0.5555555555555556
IRF2,IRF2,6.0,3.0,0.5
IRF3,IRF3,6.0,3.0,0.5
OSR2,OSR2,6.0,3.0,0.5
HNF1B,HNF1B,4.0,2.0,0.5
THRB,THRB,6.0,3.0,0.5
NRF1,NRF1,4.0,2.0,0.5
CEBPD,CEBPD,2.0,1.0,0.5
BATF3,BATF3,2.0,1.0,0.5
SOX13,SOX13,4.0,2.0,0.5
FOXJ2,FOXJ2,2.0,1.0,0.5
TBX20,TBX20,4.0,2.0,0.5
ATF4,ATF4,7.0,3.0,0.42857142857142855
CUX2,CUX2,5.0,2.0,0.4
PAX8,PAX8,5.0,2.0,0.4
SOX5,SOX5,10.0,4.0,0.4
HOXB7,HOXB7,5.0,2.0,0.4
PEG10,PEG10,8.0,3.0,0.375
ELK1,ELK1,3.0,1.0,0.3333333333333333
SMAD4,SMAD4,3.0,1.0,0.3333333333333333
RARG,RARG,3.0,1.0,0.3333333333333333
SP8,SP8,3.0,1.0,0.3333333333333333
CEBPZ,CEBPZ,3.0,1.0,0.3333333333333333
MAFG,MAFG,6.0,2.0,0.3333333333333333
ETV5,ETV5,13.0,4.0,0.3076923076923077
MECP2,MECP2,11.0,3.0,0.2727272727272727
MEIS1,MEIS1,4.0,1.0,0.25
SOX8,SOX8,4.0,1.0,0.25
ZNF423,ZNF423,4.0,1.0,0.25
YY1,YY1,4.0,1.0,0.25
NHLH1,NHLH1,5.0,1.0,0.2
TP73,TP73,5.0,1.0,0.2
MYCN,MYCN,5.0,1.0,0.2
LHX9,LHX9,11.0,2.0,0.18181818181818182
TAL1,TAL1,6.0,1.0,0.16666666666666666
ZNF263,ZNF263,6.0,1.0,0.16666666666666666
EN1,EN1,6.0,1.0,0.16666666666666666
ZNF691,ZNF691,7.0,1.0,0.14285714285714285
SIX2,SIX2,7.0,1.0,0.14285714285714285
GLIS2,GLIS2,8.0,1.0,0.125
HOXA7,HOXA7,20.0,1.0,0.05
ZSCAN26,ZSCAN26,3.0,0.0,0.0
STAT5B,STAT5B,10.0,0.0,0.0
TEF,TEF,7.0,0.0,0.0
ZNF35,ZNF35,5.0,0.0,0.0
POU2F3,POU2F3,3.0,0.0,0.0
TBX21,TBX21,1.0,0.0,0.0
