,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2171,3,AHR,R-2171,1.0,2.845342361411723,0.3106148231528634,9.681501770775792e-10,3.79871729540057,3.431127861564327,1.0,0.6666666666666666,3,2
2172,3,AHR,R-2172,1.0,2.845342361411723,-0.4071152449728226,3.0377409582342525e-16,-6.235227692426265,6.220671357711203,1.0,0.6666666666666666,3,2
1475,3,NR2F1,R-1475,1.0,1.6749344716742545,0.3061682062899348,1.7168937466228867e-09,4.140585675538118,3.699860439895031,0.7142857142857143,0.4,25,14
1479,3,NR2F1,R-1479,1.0,1.6749344716742545,0.199082570963277,0.0001132144657579,5.6941439494709725,5.438353275854294,0.7142857142857143,0.4,25,14
1481,3,NR2F1,R-1481,1.0,1.6749344716742545,-0.1924429603066243,0.0001921499484455,-4.149084446203897,3.580394110688931,0.7142857142857143,0.4,25,14
1465,3,NR2F1,R-1465,1.0,1.6749344716742545,0.3305362400919309,6.598033416354214e-11,4.013445829692003,3.71690405764746,0.7142857142857143,0.4,25,14
1486,3,NR2F1,R-1486,1.0,1.6749344716742545,0.1948822311573377,0.0001585323635326,6.189937586720774,5.959837642809664,0.7142857142857143,0.4,25,14
1478,3,NR2F1,R-1478,1.0,1.6749344716742545,0.254102933469945,7.067883584930764e-07,2.102002779079203,1.412341616549306,0.7142857142857143,0.4,25,14
1483,3,NR2F1,R-1483,1.0,1.6749344716742545,0.5124010368076102,3.172717485664541e-26,3.597787663635772,2.9313358468625874,0.7142857142857143,0.4,25,14
1484,3,NR2F1,R-1484,1.0,1.6749344716742545,0.2323109388842803,6.139338246279138e-06,6.151965632479747,5.971480673980742,0.7142857142857143,0.4,25,14
1482,3,NR2F1,R-1482,1.0,1.6749344716742545,0.1790253256473585,0.0005308900687026,4.440842229646226,4.0198809989508835,0.7142857142857143,0.4,25,14
1473,3,NR2F1,R-1473,1.0,1.6749344716742545,0.4700033134604042,8.722124221878203e-22,3.2742908639908213,2.569866695840515,0.7142857142857143,0.4,25,14
6669,3,ELK4,R-6669,1.0,2.966488941651883,0.1315904374942719,0.0111775219885882,2.4269841859460346,1.6495649362024385,0.6666666666666666,0.4,15,9
6656,3,ELK4,R-6656,1.0,2.966488941651883,-0.3348063740638299,3.6149754682128637e-11,-6.3586798210990505,6.4351210917601795,0.6666666666666666,0.4,15,9
6655,3,ELK4,R-6655,1.0,2.966488941651883,0.6232950366243125,2.5834176508842063e-41,4.1920694398375105,3.979145467060489,0.6666666666666666,0.4,15,9
6667,3,ELK4,R-6667,1.0,2.966488941651883,0.569229467707861,3.0406880043971117e-33,3.1058532059110626,2.388597834842379,0.6666666666666666,0.4,15,9
6666,3,ELK4,R-6666,1.0,2.966488941651883,0.5398129892347787,1.9156600425290186e-29,3.645033835505572,3.041926909784785,0.6666666666666666,0.4,15,9
6663,3,ELK4,R-6663,1.0,2.966488941651883,0.747000143348287,2.1019767377585462e-67,4.23637029159651,3.674670180559504,0.6666666666666666,0.4,15,9
7717,3,KLF15,R-7717,1.0,1.3377081208443746,-0.0684311822473721,0.1884521270635377,-3.4177367759919877,2.7173573896735306,0.7857142857142857,0.5238095238095238,21,14
7703,3,KLF15,R-7703,1.0,1.3377081208443746,-0.1639096012802647,0.0015353387656825,-5.67543513277012,5.504766904327213,0.7857142857142857,0.5238095238095238,21,14
7716,3,KLF15,R-7716,1.0,1.3377081208443746,-0.3457553632234095,7.403579608928434e-12,-4.057267776207673,3.402304368939938,0.7857142857142857,0.5238095238095238,21,14
7710,3,KLF15,R-7710,1.0,1.3377081208443746,-0.0954018099483711,0.0664232887530571,-2.415957297908437,1.6524449606356493,0.7857142857142857,0.5238095238095238,21,14
7714,3,KLF15,R-7714,1.0,1.3377081208443746,-0.2606006058227604,3.565304327270147e-07,-5.941443124246263,5.887295937946883,0.7857142857142857,0.5238095238095238,21,14
7713,3,KLF15,R-7713,1.0,1.3377081208443746,-0.5042597940954606,2.5267657356786104e-25,-4.913830826341816,4.774611452724527,0.7857142857142857,0.5238095238095238,21,14
7702,3,KLF15,R-7702,1.0,1.3377081208443746,-0.3721572977202922,1.2442486497395796e-13,-3.669298803316722,3.1896635550018,0.7857142857142857,0.5238095238095238,21,14
7699,3,KLF15,R-7699,1.0,1.3377081208443746,-0.4309326803544698,3.2973748249877898e-18,-5.973377092547231,6.7375584434422695,0.7857142857142857,0.5238095238095238,21,14
7709,3,KLF15,R-7709,1.0,1.3377081208443746,-0.3169118079038955,4.231063927869345e-10,-6.3488325371667536,6.530312327662616,0.7857142857142857,0.5238095238095238,21,14
7715,3,KLF15,R-7715,1.0,1.3377081208443746,-0.305156073384923,1.9534178977412467e-09,-2.960234580891829,2.242852960105641,0.7857142857142857,0.5238095238095238,21,14
7701,3,KLF15,R-7701,1.0,1.3377081208443746,-0.3751490469688888,7.64431022190269e-14,-3.332831828654324,2.8891863147227173,0.7857142857142857,0.5238095238095238,21,14
5025,3,SOX7,R-5025,1.0,6.196869367315654,0.2976516730625069,5.008850987612704e-09,3.617805569470524,2.910642340939703,0.9411764705882352,0.64,25,17
5041,3,SOX7,R-5041,1.0,6.196869367315654,0.3904990635361907,5.794281106566606e-15,2.8644219272637343,2.114154226847881,0.9411764705882352,0.64,25,17
5037,3,SOX7,R-5037,1.0,6.196869367315654,0.3356843235723333,3.190638941258048e-11,6.403424094800167,6.2495657241809655,0.9411764705882352,0.64,25,17
5026,3,SOX7,R-5026,1.0,6.196869367315654,0.7833553839031624,3.329044445421924e-78,6.105459600413966,6.159645701667893,0.9411764705882352,0.64,25,17
5033,3,SOX7,R-5033,1.0,6.196869367315654,-0.329108397154654,8.051775776231762e-11,-2.539126128333841,1.7622860849777406,0.9411764705882352,0.64,25,17
5035,3,SOX7,R-5035,1.0,6.196869367315654,0.5105504339223147,5.1097637911393064e-26,4.028130754103672,3.4176674111604317,0.9411764705882352,0.64,25,17
5032,3,SOX7,R-5032,1.0,6.196869367315654,-0.4913422334603101,6.077116272268443e-24,-4.718176690911708,4.536068503254544,0.9411764705882352,0.64,25,17
5023,3,SOX7,R-5023,1.0,6.196869367315654,0.6101605735811457,3.2849174944265734e-39,2.1308894835463983,1.406648116032073,0.9411764705882352,0.64,25,17
5027,3,SOX7,R-5027,1.0,6.196869367315654,-0.3285909333383466,8.652090930876931e-11,-4.203418496955778,3.7589770875331783,0.9411764705882352,0.64,25,17
5020,3,SOX7,R-5020,1.0,6.196869367315654,0.2445982370510672,1.8605052779302508e-06,4.2825494453613615,4.087304300017438,0.9411764705882352,0.64,25,17
5024,3,SOX7,R-5024,1.0,6.196869367315654,0.3128303766769987,7.251347834890916e-10,4.887801833844536,4.455821209886858,0.9411764705882352,0.64,25,17
5031,3,SOX7,R-5031,1.0,6.196869367315654,-0.4739063818187373,3.6083943922605953e-22,-5.456006124096996,5.703902687598109,0.9411764705882352,0.64,25,17
