,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2171,2,AHR,2171,1.0,3.718967711235872,0.3106148231528634,9.681501770775792e-10,6.08068303058787,8.259521726041548,1.0,0.6666666666666666,3,2
2173,2,AHR,2173,1.0,3.718967711235872,0.45475340569680195,2.4661478782183514e-20,2.1572482018431933,1.4768453863715334,1.0,0.6666666666666666,3,2
1475,2,NR2F1,1475,1.0,4.753829322514189,0.30616820628993485,1.7168937466228869e-09,2.7176862358713456,2.1225029987356323,0.6875,0.44,25,16
1479,2,NR2F1,1479,1.0,4.753829322514189,0.19908257096327703,0.00011321446575793589,4.902419420474745,5.483281862230803,0.6875,0.44,25,16
1476,2,NR2F1,1476,1.0,4.753829322514189,0.11072832679649479,0.03299521211529847,3.0871708964399343,2.5758141626688347,0.6875,0.44,25,16
1465,2,NR2F1,1465,1.0,4.753829322514189,0.3305362400919309,6.598033416354214e-11,5.987998759814385,8.053240686829186,0.6875,0.44,25,16
1486,2,NR2F1,1486,1.0,4.753829322514189,0.1948822311573377,0.00015853236353265045,5.588157256613621,6.9511552850041545,0.6875,0.44,25,16
1470,2,NR2F1,1470,1.0,4.753829322514189,0.28715364351396,1.7881402702824462e-08,3.8329644844210327,3.706684878660454,0.6875,0.44,25,16
1472,2,NR2F1,1472,1.0,4.753829322514189,0.4355741098893869,1.308913793342868e-18,4.626119246223929,5.031305026097556,0.6875,0.44,25,16
1469,2,NR2F1,1469,1.0,4.753829322514189,0.3116363559455465,8.476101588519932e-10,3.399222332058052,2.9855531272591316,0.6875,0.44,25,16
1484,2,NR2F1,1484,1.0,4.753829322514189,0.23231093888428037,6.139338246279138e-06,7.935583205871659,11.942316405908077,0.6875,0.44,25,16
1474,2,NR2F1,1474,1.0,4.753829322514189,0.3258788307479726,1.258457539909734e-10,9.713489634077854,16.786896717888894,0.6875,0.44,25,16
1473,2,NR2F1,1473,1.0,4.753829322514189,0.4700033134604042,8.722124221878203e-22,3.238774780487417,2.7910472540669913,0.6875,0.44,25,16
6657,2,ELK4,6657,1.0,3.766134474196352,0.2268221094757918,1.0251808251154506e-05,8.341975573051226,12.986068104397646,1.0,0.7333333333333333,15,11
6669,2,ELK4,6669,1.0,3.766134474196352,0.13159043749427193,0.011177521988588282,4.6100056150734,4.940847080016175,1.0,0.7333333333333333,15,11
6661,2,ELK4,6661,1.0,3.766134474196352,0.22774259347600798,9.415389832905218e-06,4.758556680569506,5.161978665582469,1.0,0.7333333333333333,15,11
6658,2,ELK4,6658,1.0,3.766134474196352,0.49242486552285697,4.6793281502186414e-24,5.471648689481681,6.655921813312672,1.0,0.7333333333333333,15,11
6668,2,ELK4,6668,1.0,3.766134474196352,0.09441035679623629,0.06930988410555862,2.0855447334855612,1.4090040944665068,1.0,0.7333333333333333,15,11
6664,2,ELK4,6664,1.0,3.766134474196352,0.6403546577618398,3.3488373140013543e-44,6.634252159171342,9.108537224623454,1.0,0.7333333333333333,15,11
6655,2,ELK4,6655,1.0,3.766134474196352,0.6232950366243125,2.5834176508842063e-41,6.188953205287477,8.49593117339713,1.0,0.7333333333333333,15,11
6667,2,ELK4,6667,1.0,3.766134474196352,0.569229467707861,3.040688004397112e-33,8.973211166167006,14.751764103723545,1.0,0.7333333333333333,15,11
6660,2,ELK4,6660,1.0,3.766134474196352,0.33906734314524944,1.964762753171819e-11,4.221058738491528,4.305980430829022,1.0,0.7333333333333333,15,11
6666,2,ELK4,6666,1.0,3.766134474196352,0.5398129892347787,1.9156600425290183e-29,6.684635793436814,8.953140374508049,1.0,0.7333333333333333,15,11
6663,2,ELK4,6663,1.0,3.766134474196352,0.747000143348287,2.1019767377585462e-67,5.015437700172089,5.811948030720386,1.0,0.7333333333333333,15,11
9533,2,ATF5,9533,1.0,2.6361729813934356,0.23412394221889046,5.168493449324564e-06,2.3683758517766353,1.7002042413901417,0.6,0.42857142857142855,7,5
9538,2,ATF5,9538,1.0,2.6361729813934356,0.24139851528774234,2.5546745755016054e-06,2.788307094799873,2.1952694318584656,0.6,0.42857142857142855,7,5
9535,2,ATF5,9535,1.0,2.6361729813934356,0.6577479749116998,2.435328015740409e-47,3.776037906764306,3.540443955983733,0.6,0.42857142857142855,7,5
5021,2,SOX7,5021,-1.0,8.507160065896038,0.2853258353562675,2.219941789840859e-08,-3.7302907831679173,3.536132648296651,0.75,0.6,25,20
5036,2,SOX7,5036,-1.0,8.507160065896038,-0.15747702314957338,0.002350211321522967,9.017552926949843,14.26666031288494,0.75,0.6,25,20
5029,2,SOX7,5029,-1.0,8.507160065896038,0.4062236656271958,3.573486008551735e-16,-3.864892785049903,3.8000558171928707,0.75,0.6,25,20
5026,2,SOX7,5026,-1.0,8.507160065896038,0.7833553839031624,3.329044445421924e-78,-6.128250428041574,8.059748659569111,0.75,0.6,25,20
5038,2,SOX7,5038,-1.0,8.507160065896038,0.45871075840643705,1.0527967951087406e-20,-11.681666930962152,22.25062286418166,0.75,0.6,25,20
5042,2,SOX7,5042,-1.0,8.507160065896038,0.3980253185974428,1.555669997102972e-15,-4.499770074289054,4.8286855463615455,0.75,0.6,25,20
5032,2,SOX7,5032,-1.0,8.507160065896038,-0.49134223346031014,6.0771162722684435e-24,3.117552950393785,2.6496752072751755,0.75,0.6,25,20
5023,2,SOX7,5023,-1.0,8.507160065896038,0.6101605735811457,3.2849174944265734e-39,-12.95652185485656,29.67559658468,0.75,0.6,25,20
5027,2,SOX7,5027,-1.0,8.507160065896038,-0.3285909333383466,8.652090930876931e-11,5.026993857327782,5.782603336090412,0.75,0.6,25,20
5031,2,SOX7,5031,-1.0,8.507160065896038,-0.47390638181873734,3.608394392260595e-22,3.1632681181298388,2.7192894363097233,0.75,0.6,25,20
