,state
2bea18cb-dcdd-43b7-815f-d4abf905f603,6.0
d909c8f2-de93-461e-8f7c-f4992aa8270c,2.0
bfa1ab5c-3853-475e-ac26-23deaffeec24,8.0
74acdf1d-3ad8-4166-8ac8-ad5b51eef63e,1.0
24fe253b-bc9f-48fe-84c4-33aa8ef99641,6.0
86f16b3c-e263-4dd7-be9e-8af4546fc548,9.0
34dcae72-1b3e-4bfa-bc49-1a27d091c653,8.0
4674a803-3bfe-4349-b3d1-19eabc78ff59,10.0
55540ae6-b3bf-4128-a44c-5a0aa7635664,1.0
321a3603-b668-4e2c-b605-2ac9f447326f,8.0
ab5fba7e-aaca-4b63-907f-f22b22d0cc75,10.0
146ff141-8ef0-4fbe-a11f-6f644e986581,2.0
0784f46f-9363-44e9-8799-cc7e5b3fa396,6.0
91469c7a-ac09-4ec6-858b-0ff1ddb4cba0,6.0
754f721e-f29a-42f2-80fb-fa0db78805a2,7.0
bdaa3946-afe8-44b7-a750-97cdac3812aa,2.0
f8cec135-7af2-4819-94d1-5410e5903daf,1.0
8430da8a-aef6-40a2-b298-9ee519b112b6,1.0
e706ee8e-ebc7-4bcd-b2fe-8d5bddb6d2c8,2.0
2dddbb5d-dd6c-4297-895f-4110e8a015cf,8.0
233c9f66-c27a-4c57-81cb-d43e5b94d5dd,1.0
202ee6aa-5cb4-4452-9404-a470ff2c32e0,6.0
c3627a35-8bb9-4492-9f2b-ce8b75853bf3,2.0
a92317d5-061f-49d4-b0e9-c4c8338d5b01,1.0
1e2b9409-5ff4-4fa8-b644-3ab134aa220c,4.0
92b0c87e-67f6-4e1e-bc47-27bea737ef0e,1.0
add6f72c-49d0-4ff1-be53-fa5fe58a0d11,1.0
ae6afb55-6d43-46c1-9ec7-162cbb5f1613,8.0
344a0ac1-04ba-42c9-a9c5-53137fd6dc15,1.0
bcda877a-d7ad-4f0a-8ac0-e6d00d848c1a,7.0
6c9f2e98-05e0-4d02-a0ff-e8378c32a422,6.0
821e3d5d-5bac-415b-b722-ae97a23d142c,5.0
3eac4354-09ae-4702-880d-45ab4d98ac2e,2.0
79c6f42b-6bc4-43fd-831b-200df3ae2c30,6.0
d476b37d-9a7f-4a5b-acc8-b9348233d533,2.0
8335df3d-6ee3-4fba-a771-477d5332423d,2.0
d6988f7f-9d15-466e-9586-018c41098a3f,7.0
b5430330-bfe8-4a04-8e85-81e3bcb22d41,6.0
a95868a5-84d9-4538-843d-35fc17e37141,7.0
91ba307e-5c60-4142-8425-19182de09a48,6.0
3e431a9a-d1d3-469b-9602-713b7bd71548,6.0
58ba322c-ec09-4a4d-a44a-65c0ed975a4d,6.0
9f93bf19-4b00-4828-aacd-10b455706954,6.0
bd96dbb9-e64a-43b1-9452-126dc0623058,11.0
1b142e28-116e-4d61-94ed-9e89f6a7685d,10.0
4a3985ca-fc08-4478-ab20-a18bafdfbc64,1.0
