,Regulon_ID,Regulator,Gene
0,0,ETS1,ATAD5
1,0,ETS1,AHCY
2,0,ETS1,DENR
3,0,ETS1,SRP9
4,0,ETS1,AGO1
5,0,ETS1,SDHD
6,0,ETS1,MCM8
7,0,ETS1,TIMM8B
8,0,ETS1,MYBL2
9,0,ETS1,CCT5
10,0,ETS1,WDR76
11,0,ETS1,DPH3
12,0,ETS1,IMMT
13,0,ETS1,CUEDC2
14,0,ETS1,SNRPA
15,0,ETS1,RNF138
16,0,ETS1,MED28
17,0,ETS1,NME1-NME2
18,0,ETS1,PHB2
19,0,ETS1,DPM1
20,0,ETS1,MYL5
21,0,ETS1,SAPCD2
22,0,ETS1,SERPINB5
23,0,ETS1,E2F1
24,0,ETS1,NEDD8
25,0,ETS1,OLA1
26,0,ETS1,MKKS
27,0,ETS1,NIP7
28,0,ETS1,NOSIP
29,0,ETS1,TOMM6
30,0,ETS1,PFDN4
31,0,ETS1,RPL18
32,0,ETS1,RBAK
33,0,ETS1,LDAH
34,0,ETS1,MRPS24
35,0,ETS1,TFAM
36,0,ETS1,COX14
37,0,ETS1,KHDRBS1
38,0,ETS1,VAMP5
39,0,ETS1,CCNE1
40,0,ETS1,DHX35
41,0,ETS1,NEB
42,0,ETS1,NUP35
43,0,ETS1,RNF168
44,0,ETS1,PSRC1
45,0,ETS1,ADNP
46,0,ETS1,B4GALT6
47,0,ETS1,ARHGAP11A
48,0,ETS1,CHCHD5
49,0,ETS1,KIF7
50,0,ETS1,RPL29
51,0,ETS1,RNF7
52,0,ETS1,HINT1
53,0,ETS1,ITGB1
54,0,ETS1,S100P
55,0,ETS1,TMEM14B
56,0,ETS1,ZNHIT1
57,0,ETS1,AKR1C2
58,0,ETS1,TMEM175
59,0,ETS1,HOXB7
60,0,ETS1,ANAPC15
61,0,ETS1,FGB
62,0,ETS1,CYC1
63,0,ETS1,LSM5
64,0,ETS1,EEF1AKMT1
65,0,ETS1,TIMMDC1
66,0,ETS1,GSTO1
67,0,ETS1,TPI1
68,0,ETS1,XPO1
69,0,ETS1,NIF3L1
70,0,ETS1,A1BG
71,0,ETS1,ABT1
72,0,ETS1,SLIRP
73,0,ETS1,NUP210
74,0,ETS1,SEPHS1
75,0,ETS1,TMEM201
76,0,ETS1,MTERF1
77,0,ETS1,WSB2
78,0,ETS1,UBR7
79,0,ETS1,ARPC4
80,0,ETS1,ENY2
81,0,ETS1,C1orf52
82,0,ETS1,NTPCR
83,0,ETS1,SNU13
84,0,ETS1,LARP6
85,0,ETS1,WDR5
86,0,ETS1,NUP107
87,0,ETS1,PFDN5
88,0,ETS1,PPIL1
89,0,ETS1,KIFC1
90,0,ETS1,FUNDC2
91,0,ETS1,MTHFD1L
92,0,ETS1,PAXIP1
93,0,ETS1,COPZ1
94,0,ETS1,APPL2
95,0,ETS1,MAD2L1
96,0,ETS1,IL10RB
97,0,ETS1,C14orf119
98,0,ETS1,OST4
99,0,ETS1,BUD31
100,0,ETS1,FADS1
101,0,ETS1,MAFG
102,0,ETS1,CLTA
103,0,ETS1,TMEM183A
104,0,ETS1,RPL24
105,0,ETS1,CCNB1IP1
106,0,ETS1,SLC50A1
107,0,ETS1,TDP1
108,0,ETS1,PPCS
109,0,ETS1,NDUFB4
110,0,ETS1,PGD
111,0,ETS1,ELAVL1
112,0,ETS1,PGAM1
113,0,ETS1,LTV1
114,0,ETS1,TRERF1
115,0,ETS1,GCLM
116,0,ETS1,DNAJC13
117,0,ETS1,RTTN
118,0,ETS1,POMT2
119,0,ETS1,KCP
120,0,ETS1,CDT1
121,0,ETS1,LGALS3
122,0,ETS1,SNRPB2
123,0,ETS1,DDX27
124,0,ETS1,POM121
125,0,ETS1,BMS1
126,0,ETS1,MRPL27
127,0,ETS1,NKRF
128,0,ETS1,DIABLO
129,0,ETS1,SMC6
130,0,ETS1,ITGA6
131,0,ETS1,NASP
132,0,ETS1,NRDC
133,0,ETS1,RPL27
134,0,ETS1,MPDU1
135,0,ETS1,PM20D2
136,0,ETS1,POLR2G
137,0,ETS1,C12orf43
138,0,ETS1,TACC3
139,0,ETS1,CRYL1
140,0,ETS1,SNRPB
141,0,ETS1,NOP58
142,0,ETS1,MTPN
143,0,ETS1,SET
144,0,ETS1,CAPZA2
145,0,ETS1,SLC25A11
146,0,ETS1,TNPO2
147,0,ETS1,DHX8
148,0,ETS1,AURKB
149,0,ETS1,DAD1
150,0,ETS1,COX17
151,0,ETS1,RFC4
152,0,ETS1,RMI1
153,0,ETS1,WDR35
154,0,ETS1,PNP
155,0,ETS1,SNX3
156,0,ETS1,FAU
157,0,ETS1,RAD51AP1
158,0,ETS1,RPS25
159,0,ETS1,PIF1
160,0,ETS1,HOXA10
161,0,ETS1,TMEM14C
162,0,ETS1,APRT
163,0,ETS1,BUD13
164,0,ETS1,TRAPPC6B
165,0,ETS1,PET100
166,0,ETS1,STOML2
167,0,ETS1,ASNSD1
168,0,ETS1,LIN9
169,0,ETS1,HCCS
170,0,ETS1,ESCO2
171,0,ETS1,IFRD1
172,0,ETS1,ARL6IP1
173,0,ETS1,RSL24D1
174,0,ETS1,BCL2L12
175,0,ETS1,THAP12
176,0,ETS1,CKS1B
177,0,ETS1,BCAN
178,0,ETS1,MRPL13
179,0,ETS1,TMA7
180,0,ETS1,MRPS10
181,0,ETS1,SMUG1
182,0,ETS1,ZNF473
183,0,ETS1,UBAC1
184,0,ETS1,HPS3
185,0,ETS1,ARL5A
186,0,ETS1,EVA1B
187,0,ETS1,FOXJ3
188,0,ETS1,KLC2
189,0,ETS1,PRPF4
190,0,ETS1,RALA
191,0,ETS1,ZSCAN20
192,0,ETS1,CKLF
193,0,ETS1,IWS1
194,0,ETS1,TRIP12
195,0,ETS1,KIF3C
196,0,ETS1,YARS2
197,0,ETS1,CEP55
198,0,ETS1,SCYL2
199,0,ETS1,TERF1
200,0,ETS1,LSM14A
201,0,ETS1,EEF1G
202,0,ETS1,CPSF3
203,0,ETS1,RAD52
204,0,ETS1,RPL32
205,0,ETS1,DCTN3
206,0,ETS1,PRKAG1
207,0,ETS1,UBA3
208,0,ETS1,PGM2
209,0,ETS1,RCC1
210,0,ETS1,HENMT1
211,0,ETS1,PPP6R3
212,0,ETS1,NUDCD1
213,0,ETS1,ACYP1
214,0,ETS1,KRR1
215,0,ETS1,FAM24B
216,0,ETS1,RIOK1
217,0,ETS1,HAUS1
218,0,ETS1,CSRP2
219,0,ETS1,KIF4B
220,0,ETS1,PDSS1
221,0,ETS1,PTGES3
222,0,ETS1,POLR1C
223,0,ETS1,CDV3
224,0,ETS1,LRRC1
225,0,ETS1,CBLC
226,0,ETS1,SRI
227,0,ETS1,COX6A1
228,0,ETS1,DPP3
229,0,ETS1,CENPP
230,0,ETS1,DGUOK
231,0,ETS1,NME1
232,0,ETS1,PFDN6
233,0,ETS1,ZNF200
234,0,ETS1,XRCC2
235,0,ETS1,ARMC10
236,0,ETS1,RAE1
237,0,ETS1,GART
238,0,ETS1,MRPL42
239,0,ETS1,TRMT6
240,0,ETS1,ZNF326
241,0,ETS1,COX7B
242,0,ETS1,DHX33
243,0,ETS1,EBAG9
244,0,ETS1,PSMB7
245,0,ETS1,PSMA4
246,0,ETS1,MTMR4
247,0,ETS1,NAIF1
248,0,ETS1,COA3
249,0,ETS1,TMEM265
250,0,ETS1,DDI2
251,0,ETS1,EIF2S2
252,0,ETS1,TBL2
253,0,ETS1,NDUFB3
254,0,ETS1,GTF3A
255,0,ETS1,CIB2
256,0,ETS1,TMSB10
257,0,ETS1,ZHX1-C8orf76
258,0,ETS1,MAGEF1
259,0,ETS1,ERH
260,0,ETS1,ZFR
261,0,ETS1,WDR77
262,0,ETS1,LUC7L2
263,0,ETS1,TOMM5
264,0,ETS1,CDC45
265,0,ETS1,SFXN4
266,0,ETS1,SUPT4H1
267,0,ETS1,RHOA
268,0,ETS1,UXT
269,0,ETS1,NUP153
270,0,ETS1,SART3
271,0,ETS1,FAM20B
272,0,ETS1,PQBP1
273,0,ETS1,INO80B
274,0,ETS1,MCFD2
275,0,ETS1,CHERP
276,0,ETS1,SF3B6
277,0,ETS1,WDR53
278,0,ETS1,USE1
279,0,ETS1,RPL28
280,0,ETS1,CREB3
281,0,ETS1,TUBA1B
282,0,ETS1,METTL23
283,0,ETS1,PSMA7
284,0,ETS1,SNRNP40
285,0,ETS1,PRMT1
286,0,ETS1,EIF1B
287,0,ETS1,ASAP1
288,0,ETS1,ISCA2
289,0,ETS1,RAD54L
290,0,ETS1,RPL19
291,0,ETS1,NOL9
292,0,ETS1,COA6
293,0,ETS1,CMAS
294,0,ETS1,SLC25A5
295,0,ETS1,MDH2
296,0,ETS1,PRR11
297,0,ETS1,TMEM135
298,0,ETS1,SERP1
299,0,ETS1,R3HDM1
300,0,ETS1,TIMM17B
301,0,ETS1,SERBP1
302,0,ETS1,LSM3
303,0,ETS1,OAZ1
304,0,ETS1,C1orf54
305,0,ETS1,HACE1
306,0,ETS1,FBXO30
307,0,ETS1,BCL2L13
308,0,ETS1,EMC6
309,0,ETS1,EDEM2
310,0,ETS1,LYSMD2
311,0,ETS1,ZC3H8
312,0,ETS1,EBNA1BP2
313,0,ETS1,NME6
314,0,ETS1,TRAPPC3
315,0,ETS1,MAP7D3
316,0,ETS1,DNAJB4
317,0,ETS1,SSBP1
318,0,ETS1,MPLKIP
319,0,ETS1,ATP6V1E1
320,0,ETS1,METTL2B
321,0,ETS1,UBAP2
322,0,ETS1,PIR
323,0,ETS1,PEX11G
324,0,ETS1,NDUFA9
325,0,ETS1,RPE
