,Coefficient
NR2F2,-0.0025325411789878017
HOXB3,0.07851625339985711
EWSR1,0.0
IKZF3,0.0
MEF2A,0.0
LMO2,0.0
HOXA3,-0.0011627739588202627
ZNF75A,0.0
NFE2L2,0.0
WT1,0.0
GATA3,-7.425063033520687e-06
STAT4,-0.00038864240920355756
MYC,-0.0025487306928101976
STAT5A,-0.001285706528937795
FOXF2,0.00019980825926951856
TCF3,0.0
IRF1,-0.10881212077111246
SMAD1,0.10237551579307654
GLI1,0.0
PRDM1,0.009300822193203445
E2F8,0.0
NFYA,0.0016685478892363374
FOXF1,0.0
TTF1,0.05612483812248689
ZNF628,0.0
SNAI2,0.0016313684017874419
NRF1,0.003638878267237918
GMEB2,-0.0005480496040801309
CUX2,0.0012366682901311205
E2F3,0.061320879244966174
HOXB7,0.013877385748703872
HOXA1,-0.0008500568205762921
GLI3,0.05792716817328533
SF1,0.0
TGIF2,0.0017774622417099947
ARID5A,0.0
SOX17,0.0
NKX6-1,0.08388908833904836
E2F7,0.002746465033255879
IKZF1,0.0
FOXC2,0.003431806020747928
ARID3A,0.0
FOXC1,3.023879668985942e-05
MSC,0.0005181432635799122
IRF4,0.0
