,out_degree_aligned
IKZF1,11
BHLHE41,10
E2F7,8
RUNX3,8
TFAP2A,8
SNAI2,8
GLI3,8
FOXC1,8
MSC,8
GFI1,8
HOXB3,7
ARID5A,7
FLI1,7
NR2F2,7
E2F8,7
IRF5,6
NFAT5,6
NFE2L2,6
STAT5A,6
EWSR1,6
NFYA,6
FOXF1,6
VDR,6
RARA,6
GATA3,6
NRF1,6
ARID3A,6
NR1H3,5
FOXC2,5
TGIF2,5
E2F3,5
LMO2,5
IRF4,5
GLIS2,5
IRF8,5
GMEB2,5
IRF9,5
IKZF3,4
POU2AF1,4
FOXK1,4
PKNOX1,4
HOXB7,4
MAF,4
POU2F2,4
HOXA3,4
SF1,4
HOXD1,4
NFATC1,4
GLI1,3
RUNX2,3
TNFRSF4,3
EOMES,3
FOSL1,3
MYBL1,3
PRDM1,3
NFATC2,3
RELA,3
EGR2,3
MAX,3
SPI1,3
PRDM4,3
FOXP3,3
ZNF423,3
TCF3,3
CDC5L,2
WT1,2
SOX17,2
FOXF2,2
ETS1,2
TAL1,2
ZNF740,2
TCF7,2
SMAD1,2
IRF1,2
IRF2,2
SPIB,2
TFE3,2
TTF1,2
ATF5,2
MYC,2
SOX11,1
MEF2A,1
MAFB,1
MEIS3,1
CTCF,1
ZNF75A,1
CUX2,1
NKX6-1,1
HOXA1,1
STAT4,1
TBX21,1
HDX,1
AIRE,0
POU3F1,0
ZNF628,0
ELF4,0
LHX1,0
ELK1,0
BCL6B,0
BATF3,0
