,Source,Edge,Target
0,GLI1,-0.1158835539983194,GMEB2
1,EGR2,0.2105597573248931,NR1H3
2,HOXD1,0.1001106044713216,NFATC2
3,IKZF1,0.5471209530445639,NFATC2
4,NFATC1,0.1689301819003257,NFATC2
5,HOXB3,0.1681602116635359,RUNX2
6,IKZF3,0.0874322161519653,RUNX2
7,SNAI2,0.2908363572603243,RUNX2
8,GFI1,0.2097456961687647,FOXP3
9,ATF5,0.1794211819259875,FOXP3
10,IRF5,0.1702495245909118,FOXP3
11,MSC,0.2226700443114584,FOXP3
12,NFATC2,0.1250102758180024,FOXP3
13,ATF5,0.1142553745358968,ARID5A
14,GMEB2,0.1307527849319015,ARID5A
15,HOXA3,0.0476580655340663,ARID5A
16,RUNX3,0.4354990911377935,ARID5A
17,NFAT5,-0.0949535417529305,ARID5A
18,IRF9,0.0599415183271745,ARID5A
19,POU2F2,0.3718627626725672,POU2AF1
20,IRF4,0.3959959154887146,POU2AF1
21,NRF1,0.2423710825256677,TTF1
22,NFE2L2,0.121049991198515,TTF1
23,TFAP2A,0.0832716912860408,ZNF75A
24,E2F8,0.0477919428293215,ZNF75A
25,STAT5A,0.3554813858778189,ELF4
26,VDR,0.1884651419685972,ELF4
27,E2F7,0.1873466949211509,ELF4
28,BHLHE41,0.2916333560630826,SNAI2
29,HOXB3,0.0777815245268183,SMAD1
30,RUNX2,0.1308626170407607,SMAD1
31,CDC5L,0.0826989558253329,SMAD1
32,VDR,0.1670008233214025,SMAD1
33,GLI3,0.1232421846056968,SMAD1
34,E2F7,0.0782140878193775,SMAD1
35,SOX11,0.0843344938034673,SMAD1
36,GLIS2,0.3669876516695388,RARA
37,IRF5,0.0795777281413483,RARA
38,GFI1,-0.2003339255946918,RARA
39,VDR,0.1015609329663488,RARA
40,SF1,0.1028367184954987,RARA
41,ARID5A,0.1183982346099782,RARA
42,GFI1,0.2812841852137005,RUNX3
43,ARID5A,0.1176694655533083,RUNX3
44,IRF1,0.0865037330927852,RUNX3
45,NFATC1,0.235816862645929,RUNX3
46,SPI1,0.1595830550938739,RUNX3
47,RUNX2,0.0980354216578579,MAF
48,SNAI2,0.1570399294710039,MAF
49,BHLHE41,0.1724927413214925,MAF
50,FLI1,0.3823943862517923,MAF
51,TFE3,0.0514568193146925,FOSL1
52,BHLHE41,0.0180931785878042,FOSL1
53,GATA3,0.0185601306516134,FOSL1
54,EGR2,0.0190995002219051,FOSL1
55,TNFRSF4,0.0251993853502822,FOSL1
56,FOXK1,0.0392236772109333,FOSL1
57,HOXB3,0.0315196287638189,NKX6-1
58,GLIS2,0.0361351138390014,NKX6-1
59,SNAI2,0.0672231594429808,NKX6-1
60,HOXB7,0.0780051650250871,NKX6-1
61,HOXA1,0.0830951327985951,NKX6-1
62,TGIF2,0.0214432561420707,NKX6-1
63,E2F7,0.0855292254490448,NKX6-1
64,STAT5A,0.1719319020080519,NR2F2
65,TFAP2A,0.0534392901451116,NR2F2
66,MAF,0.029223715129788,NR2F2
67,NFAT5,0.142374558630425,NR2F2
68,GLI3,0.0392566674617963,NR2F2
69,NRF1,0.277207179732242,PKNOX1
70,MAF,0.1360758209331465,PKNOX1
71,IKZF3,0.5849059345279976,IRF4
72,MSC,0.1805920423949413,IRF4
73,E2F8,0.4004077575708214,E2F3
74,ARID5A,0.1771683317007719,IKZF3
75,HOXB3,0.0161903293159559,IKZF3
76,GLIS2,-0.0242913049587114,IKZF3
77,PKNOX1,0.020756835786087,IKZF3
78,SOX11,-0.000794593758916,IKZF3
79,MYC,-0.0009123563524177,IKZF3
