,Alt_ID,in_degree,out_degree,out/in
SNAI2,SNAI2,1.0,9.0,9.0
FLI1,FLI1,1.0,8.0,8.0
E2F8,E2F8,1.0,7.0,7.0
GMEB2,GMEB2,1.0,6.0,6.0
NR1H3,NR1H3,1.0,6.0,6.0
IKZF1,IKZF1,2.0,11.0,5.5
E2F3,E2F3,1.0,5.0,5.0
BHLHE41,BHLHE41,2.0,10.0,5.0
E2F7,E2F7,2.0,10.0,5.0
MYC,MYC,1.0,4.0,4.0
MSC,MSC,2.0,8.0,4.0
GFI1,GFI1,3.0,9.0,3.0
POU2AF1,POU2AF1,2.0,5.0,2.5
IRF4,IRF4,2.0,5.0,2.5
STAT5A,STAT5A,3.0,7.0,2.3333333333333335
NFAT5,NFAT5,4.0,9.0,2.25
SF1,SF1,2.0,4.0,2.0
GLI3,GLI3,4.0,8.0,2.0
POU2F2,POU2F2,2.0,4.0,2.0
GLI1,GLI1,2.0,4.0,2.0
MEIS3,MEIS3,1.0,2.0,2.0
HOXA1,HOXA1,1.0,2.0,2.0
MYBL1,MYBL1,2.0,4.0,2.0
PKNOX1,PKNOX1,2.0,4.0,2.0
GATA3,GATA3,4.0,7.0,1.75
LMO2,LMO2,3.0,5.0,1.6666666666666667
NR2F2,NR2F2,5.0,8.0,1.6
RUNX3,RUNX3,5.0,8.0,1.6
EOMES,EOMES,2.0,3.0,1.5
CDC5L,CDC5L,2.0,3.0,1.5
NRF1,NRF1,4.0,6.0,1.5
ARID5A,ARID5A,6.0,9.0,1.5
FOXF1,FOXF1,4.0,6.0,1.5
GLIS2,GLIS2,4.0,6.0,1.5
EGR2,EGR2,2.0,3.0,1.5
IRF5,IRF5,5.0,7.0,1.4
ARID3A,ARID3A,5.0,7.0,1.4
NFATC1,NFATC1,3.0,4.0,1.3333333333333333
STAT4,STAT4,3.0,4.0,1.3333333333333333
FOXC1,FOXC1,6.0,8.0,1.3333333333333333
NFATC2,NFATC2,3.0,4.0,1.3333333333333333
HOXA3,HOXA3,4.0,5.0,1.25
MAF,MAF,4.0,5.0,1.25
FOXC2,FOXC2,4.0,5.0,1.25
VDR,VDR,5.0,6.0,1.2
HOXB3,HOXB3,6.0,7.0,1.1666666666666667
NFE2L2,NFE2L2,7.0,8.0,1.1428571428571428
SOX17,SOX17,2.0,2.0,1.0
IRF8,IRF8,6.0,6.0,1.0
MAX,MAX,3.0,3.0,1.0
RUNX2,RUNX2,3.0,3.0,1.0
NFYA,NFYA,6.0,6.0,1.0
RARA,RARA,6.0,6.0,1.0
IRF9,IRF9,5.0,5.0,1.0
BATF3,BATF3,1.0,1.0,1.0
TNFRSF4,TNFRSF4,4.0,4.0,1.0
HOXB7,HOXB7,4.0,4.0,1.0
TTF1,TTF1,2.0,2.0,1.0
TFE3,TFE3,2.0,2.0,1.0
TFAP2A,TFAP2A,9.0,8.0,0.8888888888888888
PRDM1,PRDM1,5.0,4.0,0.8
HOXD1,HOXD1,5.0,4.0,0.8
IRF1,IRF1,4.0,3.0,0.75
WT1,WT1,4.0,3.0,0.75
RELA,RELA,4.0,3.0,0.75
ZNF423,ZNF423,4.0,3.0,0.75
EWSR1,EWSR1,9.0,6.0,0.6666666666666666
SPIB,SPIB,3.0,2.0,0.6666666666666666
IKZF3,IKZF3,8.0,5.0,0.625
FOXP3,FOXP3,5.0,3.0,0.6
PRDM4,PRDM4,5.0,3.0,0.6
FOXF2,FOXF2,5.0,3.0,0.6
ATF5,ATF5,5.0,3.0,0.6
MEF2A,MEF2A,4.0,2.0,0.5
ZNF740,ZNF740,4.0,2.0,0.5
CUX2,CUX2,2.0,1.0,0.5
FOSL1,FOSL1,6.0,3.0,0.5
ZNF75A,ZNF75A,2.0,1.0,0.5
FOXK1,FOXK1,8.0,4.0,0.5
TAL1,TAL1,4.0,2.0,0.5
SPI1,SPI1,7.0,3.0,0.42857142857142855
ETS1,ETS1,5.0,2.0,0.4
TCF7,TCF7,5.0,2.0,0.4
TCF3,TCF3,8.0,3.0,0.375
TGIF2,TGIF2,14.0,5.0,0.35714285714285715
MAFB,MAFB,3.0,1.0,0.3333333333333333
SMAD1,SMAD1,7.0,2.0,0.2857142857142857
IRF2,IRF2,8.0,2.0,0.25
CTCF,CTCF,8.0,2.0,0.25
TBX21,TBX21,4.0,1.0,0.25
HDX,HDX,5.0,1.0,0.2
NKX6-1,NKX6-1,7.0,1.0,0.14285714285714285
SOX11,SOX11,27.0,3.0,0.1111111111111111
ELK1,ELK1,3.0,0.0,0.0
LHX1,LHX1,7.0,0.0,0.0
AIRE,AIRE,3.0,0.0,0.0
POU3F1,POU3F1,7.0,0.0,0.0
BCL6B,BCL6B,3.0,0.0,0.0
ELF4,ELF4,3.0,0.0,0.0
ZNF628,ZNF628,1.0,0.0,0.0
