,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
2233,11,BCL6B,2233,-1.0,1.4960044855880121,0.5333597013554764,5.032665226052524e-41,-6.241828733261965,2.2519009366229925,1.0,0.68,25,17
2227,11,BCL6B,2227,-1.0,1.4960044855880121,0.4032063057677,1.5818992536985136e-22,-6.284616952521168,2.2025167746485534,1.0,0.68,25,17
2237,11,BCL6B,2237,-1.0,1.4960044855880121,0.2815225322751069,2.7004948560175843e-11,-3.29711352623652,1.3533892863546912,1.0,0.68,25,17
2235,11,BCL6B,2235,-1.0,1.4960044855880121,0.31955855663275784,2.7606820833668242e-14,-9.719697163350205,2.8290128549074383,1.0,0.68,25,17
2222,11,BCL6B,2222,-1.0,1.4960044855880121,0.4417836366608482,3.3257998917479535e-27,-6.797359884269293,2.3485949449627133,1.0,0.68,25,17
2219,11,BCL6B,2219,-1.0,1.4960044855880121,0.5058483282407233,2.002544078157608e-36,-7.836303645779003,2.570972567871909,1.0,0.68,25,17
2215,11,BCL6B,2215,-1.0,1.4960044855880121,0.5270671938746933,6.1845203280047084e-40,-10.823347149279776,3.247911796297704,1.0,0.68,25,17
2221,11,BCL6B,2221,-1.0,1.4960044855880121,0.4539753413268069,8.207499806804582e-29,-8.336113418098364,3.0377000337325417,1.0,0.68,25,17
2217,11,BCL6B,2217,-1.0,1.4960044855880121,0.5202123464072236,8.963324575901801e-39,-3.156975529283322,1.3332676337320404,1.0,0.68,25,17
2216,11,BCL6B,2216,-1.0,1.4960044855880121,0.42388752285768405,5.846779258683012e-25,-5.9916923291601725,2.2438180381931105,1.0,0.68,25,17
2229,11,BCL6B,2229,-1.0,1.4960044855880121,0.4429007720267292,2.3838123285671307e-27,-8.28839602273168,2.6146214468878775,1.0,0.68,25,17
2236,11,BCL6B,2236,-1.0,1.4960044855880121,0.38377939872526623,2.1565244119893055e-20,-8.637735493831999,2.616806552677433,1.0,0.68,25,17
2214,11,BCL6B,2214,-1.0,1.4960044855880121,0.3462646381579575,1.1760965664633754e-16,-4.602684175906379,1.7958269398802933,1.0,0.68,25,17
2228,11,BCL6B,2228,-1.0,1.4960044855880121,0.44035732480411643,5.078882285991802e-27,-11.142226858325742,3.151765708190442,1.0,0.68,25,17
2220,11,BCL6B,2220,-1.0,1.4960044855880121,0.6301490898269351,4.207478021415043e-61,-6.0068105053469525,2.140513649236625,1.0,0.68,25,17
2231,11,BCL6B,2231,-1.0,1.4960044855880121,0.7505133190900288,7.54408337472687e-99,-6.568414356471341,2.251313341596986,1.0,0.68,25,17
2218,11,BCL6B,2218,-1.0,1.4960044855880121,0.35098481895418787,4.23685356513544e-17,-6.657118960160041,2.3148027957474797,1.0,0.68,25,17
6938,11,SMAD3,6938,-1.0,1.552148943143342,0.2647017155599147,4.139983602076451e-10,-4.094040568380784,1.6469392328705166,1.0,0.52,25,13
6937,11,SMAD3,6937,-1.0,1.552148943143342,-0.22778762768200317,8.720355053574715e-08,6.290745062995124,2.178283075248305,1.0,0.52,25,13
6933,11,SMAD3,6933,-1.0,1.552148943143342,0.19785123481981154,3.6063522190770142e-06,-5.017110301671614,1.9285149515609654,1.0,0.52,25,13
6935,11,SMAD3,6935,-1.0,1.552148943143342,-0.2285518430752125,7.873894469048451e-08,7.083876210891225,2.328397965273978,1.0,0.52,25,13
6931,11,SMAD3,6931,-1.0,1.552148943143342,0.3459855638889175,1.248602645538281e-16,-3.384268581564646,1.374359294415161,1.0,0.52,25,13
6932,11,SMAD3,6932,-1.0,1.552148943143342,0.21046086501592182,8.02693189591359e-07,-3.532834502183058,1.4452874437365977,1.0,0.52,25,13
6939,11,SMAD3,6939,-1.0,1.552148943143342,0.4045964949582589,1.0988717182488563e-22,-5.133662484588659,1.9884592524305154,1.0,0.52,25,13
6920,11,SMAD3,6920,-1.0,1.552148943143342,0.3344084780049924,1.417357040871891e-15,-7.854686795324091,2.5573750128401858,1.0,0.52,25,13
6926,11,SMAD3,6926,-1.0,1.552148943143342,0.2203414811283837,2.3146795077582542e-07,-5.163672700356389,1.9031276731181221,1.0,0.52,25,13
6918,11,SMAD3,6918,-1.0,1.552148943143342,0.2454029144285284,7.55854580127955e-09,-4.789918856178282,1.8270520940853412,1.0,0.52,25,13
6934,11,SMAD3,6934,-1.0,1.552148943143342,0.28135289291877624,2.778489456226432e-11,-7.347045228723041,2.3246007182060198,1.0,0.52,25,13
6942,11,SMAD3,6942,-1.0,1.552148943143342,0.1822422802090085,2.0365370123064557e-05,-4.02652319924827,1.5816923148021218,1.0,0.52,25,13
6923,11,SMAD3,6923,-1.0,1.552148943143342,0.13994682956922197,0.0011117914816658942,-12.887879870887126,3.889581214979686,1.0,0.52,25,13
5484,11,SPI1,5484,-1.0,1.5226152167388352,0.4843175426222693,4.170611001387161e-33,-4.806604459524118,1.840207688425134,0.9285714285714286,0.52,25,14
5486,11,SPI1,5486,-1.0,1.5226152167388352,0.5616852062059351,3.1786703136958237e-46,-4.0612264118805435,1.638953162463832,0.9285714285714286,0.52,25,14
5485,11,SPI1,5485,-1.0,1.5226152167388352,0.5412713273288927,1.9907809737479874e-42,-7.047123333070331,2.414893038238732,0.9285714285714286,0.52,25,14
5494,11,SPI1,5494,-1.0,1.5226152167388352,0.5071344170895268,1.2467527877316496e-36,-35.14818605807896,14.329123937467864,0.9285714285714286,0.52,25,14
5479,11,SPI1,5479,-1.0,1.5226152167388352,0.43035866225726277,9.34419698943261e-26,-6.19031289660496,2.1739049382590143,0.9285714285714286,0.52,25,14
5474,11,SPI1,5474,-1.0,1.5226152167388352,0.5297143603982791,2.16646516473267e-40,-4.717671523213879,1.8514941710167068,0.9285714285714286,0.52,25,14
5472,11,SPI1,5472,-1.0,1.5226152167388352,0.8279287651878093,3.0942457390299707e-137,-3.8172331918162223,1.5422087053591351,0.9285714285714286,0.52,25,14
5491,11,SPI1,5491,-1.0,1.5226152167388352,0.36468049158833427,1.9841493405969698e-18,-3.8149630395699448,1.54167474896378,0.9285714285714286,0.52,25,14
5475,11,SPI1,5475,-1.0,1.5226152167388352,0.36356388967954856,2.5608784658598673e-18,-11.10405382150589,3.3352053260737335,0.9285714285714286,0.52,25,14
5477,11,SPI1,5477,-1.0,1.5226152167388352,0.3733117511834175,2.6681345326697912e-19,-3.4084138705830402,1.414621636881316,0.9285714285714286,0.52,25,14
5478,11,SPI1,5478,-1.0,1.5226152167388352,0.6731360532786465,1.5918995864908923e-72,-3.4123468758877418,1.4222562719377965,0.9285714285714286,0.52,25,14
5473,11,SPI1,5473,-1.0,1.5226152167388352,0.22258070539031727,1.7319697790898963e-07,-3.0756038656082407,1.360973816966326,0.9285714285714286,0.52,25,14
5496,11,SPI1,5496,-1.0,1.5226152167388352,0.24667421889497415,6.2881433386177565e-09,-9.211117461559933,2.8447902987538436,0.9285714285714286,0.52,25,14
5374,11,MEIS3,5374,-1.0,2.8502456467890225,0.5591547143699243,9.710704138988774e-46,-6.889096031434713,2.2911827199936137,1.0,0.5833333333333334,12,7
5371,11,MEIS3,5371,-1.0,2.8502456467890225,0.4191021078795043,2.2123202667254984e-24,-6.465060091661363,2.2352290277786797,1.0,0.5833333333333334,12,7
5364,11,MEIS3,5364,-1.0,2.8502456467890225,0.803819247970291,1.8674162154701254e-123,-7.2984453084918615,2.4582543496696303,1.0,0.5833333333333334,12,7
5363,11,MEIS3,5363,-1.0,2.8502456467890225,0.2877264096699006,9.406356229846962e-12,-5.546366565401917,2.019511260480696,1.0,0.5833333333333334,12,7
5368,11,MEIS3,5368,-1.0,2.8502456467890225,0.5479818365479839,1.2013693546361938e-43,-4.85236308561892,1.9849098172853843,1.0,0.5833333333333334,12,7
5372,11,MEIS3,5372,-1.0,2.8502456467890225,0.20647754088472334,1.3034440327700365e-06,-3.4202483379134208,1.408177177253071,1.0,0.5833333333333334,12,7
5365,11,MEIS3,5365,-1.0,2.8502456467890225,0.5644320529982004,9.354621864745593e-47,-6.29178583499624,2.2040298336328443,1.0,0.5833333333333334,12,7
683,11,NR2F1,683,-1.0,1.3672812531787184,0.374013171055685,2.2606671629839813e-19,-4.719132977042796,1.8231192604682604,1.0,0.4,25,10
699,11,NR2F1,699,-1.0,1.3672812531787184,0.34523377042521486,1.466510792644229e-16,-6.549360820635967,2.2930409538409506,1.0,0.4,25,10
703,11,NR2F1,703,-1.0,1.3672812531787184,0.41351909833557576,1.0173732491943702e-23,-4.588656169728401,1.7853537025440984,1.0,0.4,25,10
698,11,NR2F1,698,-1.0,1.3672812531787184,0.08151643562258826,0.05835353513915952,-27.30365633587497,9.247346550149413,1.0,0.4,25,10
701,11,NR2F1,701,-1.0,1.3672812531787184,0.37691007170806484,1.135344131607749e-19,-7.758071888259305,2.5002246463300004,1.0,0.4,25,10
684,11,NR2F1,684,-1.0,1.3672812531787184,0.24328890016769608,1.0241100379571497e-08,-8.988027068558885,2.812396784558908,1.0,0.4,25,10
705,11,NR2F1,705,-1.0,1.3672812531787184,0.20238920191389168,2.122930324294982e-06,-3.577288564083809,1.4383935989549532,1.0,0.4,25,10
696,11,NR2F1,696,-1.0,1.3672812531787184,0.32359042535963584,1.2527713701093638e-14,-11.289622203966656,3.2116380636604998,1.0,0.4,25,10
682,11,NR2F1,682,-1.0,1.3672812531787184,0.26664334697078296,3.049966045884513e-10,-4.4407720483019615,1.7345257247095087,1.0,0.4,25,10
695,11,NR2F1,695,-1.0,1.3672812531787184,0.4020366629820023,2.146504182461823e-22,-8.155060970364488,3.2923012101356224,1.0,0.4,25,10
3756,11,TCF4,3756,-1.0,2.276474925230721,0.5052067317712948,2.5346867034249015e-36,-3.8237438254072313,1.5390597279677272,0.8888888888888888,0.32,25,9
