,Regulon_ID,Regulator,Gene
0,0,KLF15,LBR
1,0,KLF15,WSB1
2,0,KLF15,PRDM15
3,0,KLF15,ANO7
4,0,KLF15,SKOR1
5,0,KLF15,SSBP3
6,0,KLF15,NLRP1
7,0,KLF15,ZNF347
8,0,KLF15,CHRNE
9,0,KLF15,UBE2O
10,0,KLF15,HOXC9
11,0,KLF15,FBXO44
12,0,KLF15,PPT2
13,0,KLF15,HIC1
14,0,KLF15,DGKE
15,0,KLF15,ZWILCH
16,0,KLF15,KDM2B
17,0,KLF15,IER2
18,0,KLF15,NHS
19,0,KLF15,XPO1
20,0,KLF15,PAXBP1
21,0,KLF15,USP20
22,0,KLF15,PURG
23,0,KLF15,FAAP20
24,0,KLF15,ZGLP1
25,0,KLF15,TCAP
26,0,KLF15,KNOP1
27,0,KLF15,WNK3
28,0,KLF15,ZMYM2
29,0,KLF15,ABCD4
30,0,KLF15,LIMD2
31,0,KLF15,ARHGEF25
32,0,KLF15,PTGDR2
33,0,KLF15,MIB2
34,0,KLF15,ITGA7
35,0,KLF15,GTSF1
36,0,KLF15,UPF3A
37,0,KLF15,USP35
38,0,KLF15,NFKBID
39,0,KLF15,GGT7
40,0,KLF15,COL4A3
41,0,KLF15,SRCAP
42,0,KLF15,PHACTR4
43,0,KLF15,TNNI1
44,0,KLF15,PCGF2
45,0,KLF15,KIFC1
46,0,KLF15,CCDC57
47,0,KLF15,BRWD1
48,0,KLF15,CELF6
49,0,KLF15,ZNF529
50,0,KLF15,POLQ
51,0,KLF15,KMT2A
52,0,KLF15,FKBP6
53,0,KLF15,CLK4
54,0,KLF15,PHF7
55,0,KLF15,ANAPC4
56,0,KLF15,DTX3
57,0,KLF15,WRN
58,0,KLF15,RIMS4
59,0,KLF15,TAF4
60,0,KLF15,LPIN3
61,0,KLF15,CHD3
62,0,KLF15,AANAT
63,0,KLF15,PANK1
64,0,KLF15,ZNF275
65,0,KLF15,TOE1
66,0,KLF15,CUL9
67,0,KLF15,ZNF608
68,0,KLF15,KDM6B
69,0,KLF15,TSPOAP1
70,0,KLF15,GOLGA2
71,0,KLF15,FBXL19
72,0,KLF15,MEX3A
73,0,KLF15,ACTR3B
74,0,KLF15,NHLH1
75,0,KLF15,DCAF4
76,0,KLF15,SLC15A3
77,0,KLF15,VWA2
78,0,KLF15,BMF
79,0,KLF15,TRIM46
80,0,KLF15,DDB2
81,0,KLF15,PROX1
82,0,KLF15,NADSYN1
83,0,KLF15,IFFO1
84,0,KLF15,TSEN54
85,0,KLF15,CACTIN
86,0,KLF15,GIPR
87,0,KLF15,MAGI2
88,0,KLF15,RSAD1
89,0,KLF15,SF1
90,0,KLF15,CCDC40
91,0,KLF15,KAT2A
92,0,KLF15,GPATCH2L
93,0,KLF15,HECTD2
94,0,KLF15,CBX3
95,0,KLF15,CACNA1F
96,0,KLF15,TEX22
97,0,KLF15,HOXC10
98,0,KLF15,HNRNPDL
99,0,KLF15,SUOX
100,0,KLF15,BSDC1
101,0,KLF15,PRR14
102,0,KLF15,ANP32A
103,0,KLF15,S1PR2
104,0,KLF15,ZNF587
105,0,KLF15,HSF4
106,0,KLF15,IREB2
107,0,KLF15,HNRNPA2B1
108,0,KLF15,LBX2
109,0,KLF15,OSBPL3
110,0,KLF15,PRSS53
111,0,KLF15,LIG1
112,0,KLF15,ESYT3
113,0,KLF15,MPP2
114,0,KLF15,RPL36
115,0,KLF15,KCNAB3
116,0,KLF15,PLXNB1
117,0,KLF15,DDX17
118,0,KLF15,ZBTB14
119,0,KLF15,THAP3
120,0,KLF15,NT5M
121,0,KLF15,STX10
122,0,KLF15,USP11
123,0,KLF15,MIA3
124,0,KLF15,CACNB3
125,0,KLF15,CCDC24
126,0,KLF15,ECHDC2
127,0,KLF15,NPHP3
128,0,KLF15,ACP6
129,0,KLF15,UVSSA
130,0,KLF15,BICDL1
131,0,KLF15,KLHDC3
132,0,KLF15,SPATA20
133,0,KLF15,CSNK1D
134,0,KLF15,IER5L
135,0,KLF15,NR6A1
136,0,KLF15,AMDHD2
137,0,KLF15,IGF2BP1
138,0,KLF15,TRA2B
139,0,KLF15,METTL21A
140,0,KLF15,SRSF1
141,0,KLF15,LRRC24
142,0,KLF15,COQ4
143,0,KLF15,ACSS1
144,0,KLF15,BCLAF1
145,0,KLF15,MAP3K8
146,0,KLF15,ZBTB3
147,0,KLF15,ARL3
148,0,KLF15,SRRM1
149,0,KLF15,PDXP
150,0,KLF15,ZNF285
151,0,KLF15,PLEKHG2
152,0,KLF15,KCNH2
153,0,KLF15,ZGPAT
154,0,KLF15,TNKS
155,0,KLF15,AGO3
156,0,KLF15,PRRT1
157,0,KLF15,HAUS8
158,0,KLF15,CCDC86
159,0,KLF15,SOX12
160,0,KLF15,SERINC4
161,0,KLF15,CNTROB
162,0,KLF15,SPIRE2
163,0,KLF15,HOXC6
164,0,KLF15,THUMPD2
165,0,KLF15,C17orf67
166,0,KLF15,ACAA2
167,0,KLF15,BBIP1
168,0,KLF15,DVL2
169,0,KLF15,STAT6
170,0,KLF15,UBE4B
171,0,KLF15,MST1
172,0,KLF15,HDAC8
173,0,KLF15,ZNF7
174,0,KLF15,R3HDM4
175,0,KLF15,MTG1
176,0,KLF15,NPHP4
177,0,KLF15,ODF2
178,0,KLF15,HAUS3
179,0,KLF15,CACNB1
180,0,KLF15,HES4
181,0,KLF15,ZNF382
182,0,KLF15,AGPAT1
183,0,KLF15,MBD5
184,0,KLF15,HECTD4
185,0,KLF15,OTX1
186,0,KLF15,HCFC1
187,0,KLF15,ZNF195
188,0,KLF15,ANKRD13B
189,0,KLF15,SLC4A3
190,0,KLF15,ALMS1
191,0,KLF15,ZNF839
192,0,KLF15,SF3A2
193,0,KLF15,CDPF1
194,0,KLF15,ACBD4
195,0,KLF15,CDK20
196,0,KLF15,RBM10
197,0,KLF15,KCTD7
198,0,KLF15,KLHL31
199,0,KLF15,RDH5
200,0,KLF15,CFAP73
201,0,KLF15,ZNF644
202,0,KLF15,RSF1
203,0,KLF15,CREBZF
204,0,KLF15,UBXN11
205,1,KLF15,THRAP3
206,1,KLF15,ANKRD17
207,1,KLF15,COL2A1
208,1,KLF15,CHD3
209,1,KLF15,SEMA4C
210,1,KLF15,RAB5B
211,1,KLF15,KMT2E
212,1,KLF15,KIF1B
213,1,KLF15,ZNF142
214,1,KLF15,PATZ1
215,1,KLF15,KBTBD4
216,1,KLF15,IQCK
217,1,KLF15,ZNF318
218,1,KLF15,NCOA2
219,1,KLF15,TCF12
220,1,KLF15,CHAMP1
221,1,KLF15,RSF1
222,1,KLF15,KNOP1
223,1,KLF15,BCL9
224,1,KLF15,MEX3C
225,1,KLF15,SOX11
226,1,KLF15,MBD5
227,1,KLF15,UPF2
228,1,KLF15,TNKS
229,2,KLF15,SMTNL2
230,2,KLF15,ST6GALNAC6
231,2,KLF15,MUC5B
232,2,KLF15,FMO5
233,2,KLF15,CLIC3
234,2,KLF15,PPP1R1B
235,2,KLF15,UCP2
236,2,KLF15,TJP3
237,2,KLF15,STX12
238,2,KLF15,KCNK5
239,2,KLF15,AKAP13
240,2,KLF15,SNAI1
241,3,KLF15,RCC2
242,3,KLF15,KCNMB4
243,3,KLF15,RNF220
244,3,KLF15,PDXP
