,Coefficient
FOXK1,0.015055399775039216
BARX1,0.0007875989601853182
HOXD8,0.0
RORA,0.0006967626186902931
ETV4,0.0003372777441460086
PROX1,0.0
DR1,-0.006227974368292743
GRHL1,0.0026285011293267152
KLF11,0.03045825726883149
C10orf90,0.0
IKZF3,0.0058081792325124
FOXF1,0.0
NFIB,-0.07358528446198007
BPTF,0.10856775882273316
BCL6,0.0
MYC,0.0
RUNX1,0.0
PPARG,0.003207662520378576
NR2F1,0.00015629944396311656
EGR2,0.0
FOXO1,-0.0005546249787807436
NEUROD2,0.009554955307305154
NFYA,0.0
BHLHE22,0.0
DLX1,0.030165681357818486
CDC5L,0.0
ESRRG,0.0
DLX5,0.0482349792307891
MGA,0.0006237388129767195
SOX21,0.007810936808207691
SF1,0.0
KLF4,0.01176936142750946
HOXA9,0.0
CREB5,0.0
ETV1,0.0
GSC,0.0
GATA4,0.0
SNAI2,-0.0012969534007229084
ETV5,0.0
NFE2L2,-0.020980889107555706
OTX1,0.022167235823187418
ISL2,0.0
ZNF217,0.0309559346960058
OSR2,0.004295150431518198
E2F3,0.017357387051670017
E2F8,0.0
PLAG1,0.0
ZNF589,0.12382587489387988
DEAF1,3.6624530346610615e-05
RFX1,0.1909589759449476
NR2F2,7.261849197319038e-05
HMX1,0.0027176918604646405
GLI2,0.0
SP1,0.0
KLF12,0.0006324522715048655
SIX1,-7.650698363715957e-05
