,Coefficient
FOXD3,0.02972351951298327
ETV1,0.0007839146359197454
SREBF2,0.0
SNAI2,0.03345802520944135
CUX1,0.003102916891506225
TGIF2,0.09116550758982747
IKZF3,-0.053388571340314064
MTERF1,0.030546033314578103
NFE2L2,0.00046316652997461773
STAT5B,0.0069323900574552845
OTX1,0.04107142768125864
HIVEP2,0.0018110498797060132
HOXC9,0.09374852309557871
MYC,0.0
OSR2,0.15105233112254665
BACH2,0.004445548702045568
RUNX1,-0.007710951725439889
E2F8,-0.0041456793260819975
TCF3,0.03520332930995336
MZF1,-0.006205671507317346
DEAF1,0.04712900676866398
SMAD3,0.0
NR2F2,0.0
BHLHE22,-0.015407335925589696
GLI2,0.05035589262216811
SP1,0.0
CDC5L,0.03957812243501836
MGA,0.010990438871340007
SIX1,0.0006710749091901508
SOX21,0.0
